Attrition_Flag,Dependent_count,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Avg_Utilization_Ratio
Attrited Customer,3,$80K - $120K,Blue,36,13382,1828,0.087
Existing Customer,2,$40K - $60K,Blue,24,14632,1399,0.079
Existing Customer,1,Unknown,Blue,36,2751,4861,0.421
Existing Customer,2,Less than $40K,Blue,33,3893,1536,0.297
Existing Customer,0,Unknown,Blue,25,12917,4108,0.09
Existing Customer,2,$120K +,Blue,43,34516,3974,0.033
Existing Customer,0,Less than $40K,Blue,49,1634,4522,0.707
Existing Customer,2,Less than $40K,Blue,22,3616,15391,0.319
Existing Customer,2,Less than $40K,Blue,36,2051,3912,0.563
Existing Customer,3,$80K - $120K,Blue,29,30733,3455,0.038
Existing Customer,1,Less than $40K,Blue,49,5097,2052,0.226
Existing Customer,2,Unknown,Blue,36,4319,1852,0.266
Attrited Customer,3,$80K - $120K,Blue,29,3616,820,0.318
Existing Customer,2,$80K - $120K,Blue,36,6452,4835,0.178
Existing Customer,4,Less than $40K,Blue,46,4271,2052,0.269
Existing Customer,0,Less than $40K,Blue,44,3790,4455,0.303
Existing Customer,4,Less than $40K,Blue,36,4440,14973,0.259
Existing Customer,1,$80K - $120K,Blue,50,6978,1362,0.165
Existing Customer,5,$60K - $80K,Blue,37,15626,3386,0.073
Existing Customer,3,Less than $40K,Blue,41,1519,4927,0.756
Existing Customer,1,Unknown,Blue,51,23566,4274,0.049
Existing Customer,1,$80K - $120K,Blue,25,16665,4657,0.069
Existing Customer,2,$40K - $60K,Blue,31,8687,2279,0.132
Existing Customer,1,Less than $40K,Blue,18,1895,4333,0.605
Existing Customer,2,$40K - $60K,Blue,45,11467,14373,0.1
Existing Customer,4,Less than $40K,Blue,36,2509,1804,0.456
Existing Customer,3,$120K +,Blue,43,2884,4887,0.397
Existing Customer,4,Unknown,Blue,42,1882,4536,0.607
Existing Customer,3,$80K - $120K,Blue,38,9959,7300,0.115
Existing Customer,0,Less than $40K,Blue,51,4920,1420,0.232
Existing Customer,0,$60K - $80K,Blue,46,10817,3889,0.106
Existing Customer,1,$40K - $60K,Blue,25,1793,5293,0.636
Existing Customer,3,Unknown,Blue,20,1829,1610,0.623
Existing Customer,3,$60K - $80K,Silver,22,25293,4059,0.045
Existing Customer,2,Less than $40K,Blue,46,2129,4509,0.535
Existing Customer,3,$40K - $60K,Blue,38,3115,3704,0.365
Existing Customer,1,$40K - $60K,Blue,37,3943,4180,0.288
Existing Customer,3,$120K +,Blue,33,34516,4520,0.033
Existing Customer,3,$80K - $120K,Blue,36,1438.3,1935,0.788
Existing Customer,1,$80K - $120K,Blue,44,3370,4726,0.336
Existing Customer,3,$60K - $80K,Blue,36,8876,3779,0.128
Existing Customer,3,$60K - $80K,Blue,22,6985,1694,0.162
Existing Customer,1,Unknown,Blue,36,4134,2475,0.273
Existing Customer,3,$120K +,Blue,36,6565,7729,0.172
Existing Customer,1,Unknown,Blue,33,2392,4309,0.472
Existing Customer,5,$40K - $60K,Blue,42,2465,4030,0.458
Existing Customer,4,Less than $40K,Blue,36,2459,4343,0.458
Existing Customer,2,Less than $40K,Blue,32,1933,4833,0.583
Existing Customer,3,$40K - $60K,Blue,29,2533,3436,0.445
Existing Customer,0,$40K - $60K,Blue,36,4469,1765,0.252
Existing Customer,0,Less than $40K,Blue,53,5512,1975,0.204
Existing Customer,2,Unknown,Blue,28,14999,3441,0.075
Existing Customer,3,$40K - $60K,Blue,36,4707,3188,0.238
Existing Customer,0,$60K - $80K,Blue,33,10452,3592,0.107
Existing Customer,3,$120K +,Blue,40,12875,1624,0.087
Existing Customer,3,Less than $40K,Blue,25,2149,1581,0.52
Existing Customer,1,$40K - $60K,Blue,20,9956,1447,0.112
Existing Customer,2,$60K - $80K,Blue,36,5950,4682,0.188
Existing Customer,1,$120K +,Blue,28,5260,2546,0.212
Existing Customer,3,$80K - $120K,Blue,36,9683,15627,0.115
Existing Customer,4,$60K - $80K,Blue,25,3092,2133,0.361
Existing Customer,4,$80K - $120K,Blue,31,32210,1821,0.035
Existing Customer,4,Less than $40K,Blue,34,6721,3718,0.166
Existing Customer,1,$40K - $60K,Blue,39,2164,4341,0.515
Existing Customer,0,Less than $40K,Blue,23,2156,4106,0.517
Existing Customer,4,Unknown,Blue,49,14915,1388,0.074
Existing Customer,0,Less than $40K,Blue,19,3416,4614,0.325
Existing Customer,3,Less than $40K,Blue,42,1438.3,4776,0.77
Existing Customer,2,$60K - $80K,Blue,32,1687,1670,0.656
Attrited Customer,2,Less than $40K,Blue,36,1746,1907,0.634
Existing Customer,2,$40K - $60K,Blue,48,4442,14437,0.249
Existing Customer,3,$120K +,Silver,36,34516,7936,0.032
Existing Customer,1,Less than $40K,Blue,22,2403,4186,0.46
Attrited Customer,4,Less than $40K,Blue,33,1748,2335,0.631
Existing Customer,1,$40K - $60K,Blue,36,2148,4711,0.514
Existing Customer,2,$120K +,Blue,23,14914,4478,0.074
Existing Customer,4,Less than $40K,Blue,36,2407,4543,0.458
Existing Customer,2,$60K - $80K,Blue,33,5940,1872,0.185
Existing Customer,2,$80K - $120K,Blue,36,10851,3688,0.101
Existing Customer,1,Less than $40K,Blue,36,1936,4578,0.569
Existing Customer,3,Less than $40K,Blue,35,2069,7307,0.532
Existing Customer,5,Less than $40K,Gold,39,15987,14209,0.069
Existing Customer,3,$60K - $80K,Blue,36,2572,5038,0.425
Existing Customer,2,Less than $40K,Blue,30,9598,2216,0.114
Existing Customer,2,Less than $40K,Blue,25,8917,3327,0.122
Attrited Customer,1,Unknown,Blue,49,8708,2508,0.125
Existing Customer,2,$60K - $80K,Blue,36,14785,4354,0.074
Existing Customer,3,Less than $40K,Blue,35,5596,3896,0.194
Existing Customer,1,$80K - $120K,Blue,34,20620,1477,0.053
Existing Customer,2,$40K - $60K,Blue,27,1613,5000,0.673
Existing Customer,4,Unknown,Blue,36,17023,1610,0.064
Existing Customer,2,$120K +,Blue,41,20148,3921,0.054
Existing Customer,4,Less than $40K,Blue,36,2193,4755,0.494
Existing Customer,2,Unknown,Blue,40,10748,16541,0.101
Existing Customer,2,Less than $40K,Blue,45,6210,3095,0.174
Existing Customer,1,$60K - $80K,Blue,43,10602,14084,0.102
Existing Customer,3,Less than $40K,Blue,25,9512,1007,0.114
Existing Customer,1,$40K - $60K,Blue,43,1981,3913,0.546
Existing Customer,2,$120K +,Blue,34,34516,7845,0.031
Existing Customer,1,$120K +,Blue,41,9036,4500,0.12
Existing Customer,1,$80K - $120K,Blue,39,7562,5010,0.143
Attrited Customer,3,Less than $40K,Blue,36,2566,2340,0.42
Existing Customer,4,Less than $40K,Blue,43,2066,4678,0.521
Existing Customer,2,$80K - $120K,Blue,31,34516,3015,0.031
Existing Customer,2,$40K - $60K,Blue,22,3143,2510,0.342
Existing Customer,1,Less than $40K,Blue,47,3445,1074,0.312
Existing Customer,2,$80K - $120K,Blue,32,26222,1988,0.041
Existing Customer,2,Less than $40K,Blue,36,1858,4388,0.576
Existing Customer,0,$40K - $60K,Blue,13,2010,3625,0.532
Existing Customer,3,Less than $40K,Blue,49,2031,1943,0.526
Existing Customer,2,$60K - $80K,Blue,36,1490,3790,0.717
Existing Customer,2,$120K +,Blue,35,34516,16428,0.031
Existing Customer,4,$40K - $60K,Blue,34,4244,4016,0.251
Existing Customer,4,$40K - $60K,Blue,27,1950,3873,0.545
Existing Customer,1,Less than $40K,Blue,36,7087,1712,0.15
Existing Customer,0,$40K - $60K,Blue,43,4154,4325,0.255
Attrited Customer,2,$80K - $120K,Blue,30,20798,8038,0.051
Existing Customer,1,$120K +,Blue,40,7522,2533,0.141
Existing Customer,4,Less than $40K,Blue,36,1438.3,4532,0.734
Existing Customer,3,$40K - $60K,Blue,30,8960,1488,0.118
Existing Customer,1,Less than $40K,Blue,23,2640,3116,0.398
Existing Customer,2,$40K - $60K,Blue,38,2457,3256,0.428
Existing Customer,5,Less than $40K,Blue,30,1762,4986,0.596
Existing Customer,1,$80K - $120K,Blue,34,3766,1514,0.279
Existing Customer,4,$40K - $60K,Blue,30,1892,4558,0.554
Existing Customer,2,$80K - $120K,Blue,36,23510,1661,0.045
Existing Customer,3,$120K +,Blue,45,14699,4890,0.071
Existing Customer,2,$80K - $120K,Blue,36,9959,15195,0.105
Existing Customer,3,$120K +,Blue,36,34516,1378,0.03
Existing Customer,4,Less than $40K,Blue,36,7231,15571,0.145
Existing Customer,3,$40K - $60K,Blue,32,8603,1758,0.122
Existing Customer,2,$80K - $120K,Blue,41,34516,3435,0.03
Existing Customer,4,$80K - $120K,Blue,36,30666,3709,0.034
Attrited Customer,3,$60K - $80K,Blue,32,4697,1679,0.223
Existing Customer,4,$120K +,Gold,30,34516,3574,0.03
Existing Customer,3,$40K - $60K,Blue,35,2297,3161,0.455
Existing Customer,4,Less than $40K,Blue,25,1602,5428,0.652
Existing Customer,2,$80K - $120K,Blue,48,13457,3303,0.078
Existing Customer,2,Unknown,Blue,27,5245,4938,0.199
Existing Customer,4,$80K - $120K,Blue,36,2171,4531,0.48
Existing Customer,3,$40K - $60K,Blue,39,8513,2015,0.122
Existing Customer,3,Less than $40K,Blue,27,3541,14511,0.294
Existing Customer,2,Less than $40K,Blue,37,6611,4037,0.157
Existing Customer,5,Unknown,Blue,34,3317,4264,0.314
Existing Customer,2,Less than $40K,Blue,36,1543,4312,0.675
Existing Customer,3,$40K - $60K,Blue,31,1586,1724,0.654
Existing Customer,3,Less than $40K,Blue,45,1638,4150,0.634
Existing Customer,2,Less than $40K,Blue,36,1721,2681,0.603
Existing Customer,1,Less than $40K,Blue,38,2033,4100,0.51
Existing Customer,1,$60K - $80K,Blue,35,21696,3354,0.048
Existing Customer,2,Less than $40K,Blue,39,2796,4869,0.37
Existing Customer,4,$60K - $80K,Blue,32,3233,1256,0.32
Existing Customer,1,$80K - $120K,Blue,36,14111,2950,0.073
Existing Customer,1,Less than $40K,Blue,36,1857,5149,0.556
Existing Customer,0,Unknown,Blue,36,7595,4080,0.136
Existing Customer,2,Less than $40K,Blue,44,1438.3,3308,0.717
Existing Customer,1,Less than $40K,Blue,43,7199,4041,0.143
Existing Customer,2,$60K - $80K,Blue,40,3569,4612,0.289
Attrited Customer,3,Less than $40K,Blue,34,1438.3,1985,0.716
Existing Customer,1,$40K - $60K,Blue,39,2421,2377,0.425
Existing Customer,0,Less than $40K,Blue,51,1570,1430,0.655
Existing Customer,3,$60K - $80K,Blue,29,6733,4444,0.153
Existing Customer,3,$40K - $60K,Blue,35,4543,4093,0.226
Existing Customer,2,$120K +,Blue,38,10747,4538,0.096
Existing Customer,1,Less than $40K,Blue,40,2319,4099,0.442
Existing Customer,0,$80K - $120K,Blue,43,2852,1651,0.359
Existing Customer,3,$60K - $80K,Blue,30,5924,3305,0.173
Existing Customer,2,Less than $40K,Silver,36,10580,4721,0.097
Existing Customer,3,$80K - $120K,Blue,54,18713,1524,0.055
Existing Customer,2,$120K +,Blue,24,34516,8202,0.03
Existing Customer,0,$80K - $120K,Blue,51,10257,1508,0.1
Existing Customer,2,$80K - $120K,Blue,37,1965,3968,0.52
Existing Customer,3,$60K - $80K,Blue,42,14782,3206,0.069
Existing Customer,2,Less than $40K,Blue,28,1794,4455,0.568
Existing Customer,3,Unknown,Blue,31,2369,4317,0.43
Existing Customer,4,$120K +,Blue,30,34516,2350,0.029
Existing Customer,4,$60K - $80K,Blue,31,1702,4301,0.598
Existing Customer,2,Unknown,Blue,42,11794,5547,0.086
Existing Customer,1,Less than $40K,Blue,36,1835,2801,0.554
Existing Customer,4,$80K - $120K,Blue,36,1536,3816,0.662
Existing Customer,1,$60K - $80K,Blue,36,11371,2768,0.089
Existing Customer,2,$120K +,Blue,33,19715,1979,0.051
Existing Customer,3,$80K - $120K,Blue,34,1626,5262,0.623
Existing Customer,3,$60K - $80K,Blue,51,6941,4097,0.146
Existing Customer,0,$40K - $60K,Blue,36,11000,7302,0.092
Attrited Customer,4,Less than $40K,Blue,36,1663,2729,0.609
Existing Customer,1,$60K - $80K,Blue,56,10215,1904,0.099
Existing Customer,0,Unknown,Blue,36,7646,1667,0.132
Existing Customer,1,Less than $40K,Blue,30,2617,2003,0.386
Existing Customer,2,$40K - $60K,Blue,47,4682,4322,0.216
Existing Customer,0,Less than $40K,Blue,36,2107,3913,0.478
Existing Customer,3,Less than $40K,Blue,13,1630,4143,0.618
Existing Customer,1,$80K - $120K,Blue,29,8315,4088,0.121
Existing Customer,2,$40K - $60K,Blue,34,2032,4736,0.496
Existing Customer,3,Unknown,Blue,40,7212,5169,0.14
Existing Customer,2,$80K - $120K,Blue,38,19999,3183,0.05
Existing Customer,2,$60K - $80K,Blue,36,7879,4844,0.128
Existing Customer,2,$80K - $120K,Blue,42,21782,1537,0.046
Existing Customer,1,Less than $40K,Blue,40,3944,15315,0.255
Existing Customer,3,$120K +,Blue,44,9025,4412,0.111
Existing Customer,2,$40K - $60K,Blue,38,1989,5070,0.504
Existing Customer,2,Unknown,Blue,31,3002,2624,0.334
Existing Customer,5,Less than $40K,Blue,36,8464,4227,0.118
Existing Customer,3,$40K - $60K,Blue,33,6884,975,0.145
Existing Customer,3,$60K - $80K,Blue,27,12397,1888,0.081
Existing Customer,2,Less than $40K,Blue,36,1640,4597,0.609
Existing Customer,2,$60K - $80K,Blue,36,7959,1855,0.125
Existing Customer,2,Less than $40K,Blue,44,9797,15013,0.102
Existing Customer,2,Unknown,Blue,31,1438.3,2583,0.693
Existing Customer,0,$40K - $60K,Blue,46,1648,1776,0.605
Existing Customer,1,$60K - $80K,Blue,40,4092,2298,0.243
Existing Customer,2,Less than $40K,Blue,46,8708,3927,0.114
Existing Customer,0,Less than $40K,Blue,37,1515,4324,0.657
Existing Customer,2,Less than $40K,Blue,47,1727,5112,0.577
Existing Customer,5,$60K - $80K,Blue,35,5947,4984,0.167
Existing Customer,2,Less than $40K,Blue,47,7030,3211,0.141
Existing Customer,1,$80K - $120K,Blue,41,18591,15063,0.053
Existing Customer,2,Less than $40K,Blue,43,2736,4078,0.363
Existing Customer,4,$80K - $120K,Blue,45,1687,4342,0.588
Existing Customer,1,$80K - $120K,Blue,41,5068,5173,0.196
Existing Customer,2,Less than $40K,Blue,36,7065,3758,0.14
Existing Customer,1,Less than $40K,Blue,13,1438.3,3855,0.688
Existing Customer,1,$120K +,Blue,41,33864,1751,0.029
Existing Customer,3,Less than $40K,Blue,34,1707,3935,0.579
Existing Customer,2,Less than $40K,Blue,40,2167,7199,0.456
Existing Customer,0,$80K - $120K,Blue,36,19354,1207,0.051
Existing Customer,1,Less than $40K,Blue,50,1665,4420,0.59
Existing Customer,4,Less than $40K,Blue,36,1438.3,1114,0.682
Existing Customer,3,Less than $40K,Blue,39,4389,3598,0.224
Existing Customer,1,$40K - $60K,Silver,36,17905,4399,0.055
Existing Customer,2,$80K - $120K,Blue,31,12386,3274,0.079
Attrited Customer,3,$60K - $80K,Blue,36,8411,990,0.116
Attrited Customer,3,Unknown,Blue,39,11410,2736,0.086
Existing Customer,1,$80K - $120K,Blue,42,6514,3084,0.15
Existing Customer,3,Less than $40K,Blue,31,2016,4379,0.485
Attrited Customer,3,Less than $40K,Blue,37,2363,2635,0.414
Existing Customer,1,$40K - $60K,Silver,41,20231,1215,0.048
Existing Customer,0,$60K - $80K,Blue,26,5175,2405,0.189
Existing Customer,1,Less than $40K,Blue,28,1438.3,4840,0.679
Existing Customer,3,$80K - $120K,Blue,33,34516,12871,0.028
Existing Customer,3,$80K - $120K,Blue,26,18410,3778,0.053
Existing Customer,2,$40K - $60K,Blue,35,2430,4344,0.401
Existing Customer,3,Less than $40K,Blue,33,2016,4535,0.482
Existing Customer,3,Less than $40K,Blue,36,1867,4537,0.52
Existing Customer,4,$40K - $60K,Blue,36,1628,1893,0.595
Existing Customer,3,$40K - $60K,Blue,28,3701,3222,0.262
Existing Customer,4,$60K - $80K,Blue,38,5005,5066,0.194
Existing Customer,4,$40K - $60K,Silver,35,16985,2961,0.057
Existing Customer,3,Less than $40K,Blue,32,2948,7834,0.328
Existing Customer,1,$40K - $60K,Blue,36,2146,4253,0.451
Attrited Customer,3,$80K - $120K,Blue,25,25256,2048,0.038
Existing Customer,3,Less than $40K,Blue,36,1438.3,4182,0.671
Existing Customer,3,$120K +,Silver,30,34516,2922,0.028
Existing Customer,2,$60K - $80K,Blue,21,3433,4444,0.281
Existing Customer,1,Less than $40K,Blue,36,1665,4881,0.579
Existing Customer,2,Less than $40K,Blue,53,7712,1574,0.125
Existing Customer,1,$40K - $60K,Blue,46,5379,1778,0.179
Existing Customer,3,Less than $40K,Blue,27,1902,4203,0.506
Existing Customer,3,$60K - $80K,Blue,47,1602,4873,0.6
Existing Customer,1,$80K - $120K,Blue,36,6175,1847,0.155
Existing Customer,2,$60K - $80K,Blue,28,10331,3695,0.093
Existing Customer,4,Less than $40K,Blue,42,7789,3412,0.123
Existing Customer,1,Unknown,Blue,13,12007,2678,0.08
Existing Customer,0,Less than $40K,Blue,20,4712,2568,0.203
Existing Customer,3,$80K - $120K,Blue,30,3460,3642,0.276
Existing Customer,4,$60K - $80K,Blue,36,22322,1348,0.043
Attrited Customer,4,Less than $40K,Blue,24,1679,2492,0.566
Existing Customer,3,$80K - $120K,Blue,41,5848,1961,0.162
Attrited Customer,2,Less than $40K,Blue,36,1615,2212,0.588
Existing Customer,3,Less than $40K,Blue,41,1489,4669,0.637
Attrited Customer,2,$120K +,Blue,39,11714,5366,0.081
Existing Customer,1,$40K - $60K,Blue,56,5152,4074,0.184
Existing Customer,2,$80K - $120K,Blue,39,11332,3806,0.083
Attrited Customer,1,$80K - $120K,Blue,39,24462,1709,0.039
Existing Customer,3,Less than $40K,Blue,31,4736,3927,0.2
Existing Customer,4,$60K - $80K,Blue,40,14370,4510,0.066
Existing Customer,0,Unknown,Blue,36,6959,4553,0.136
Existing Customer,3,$40K - $60K,Blue,36,1565,4798,0.603
Existing Customer,3,$60K - $80K,Blue,47,8185,4525,0.115
Existing Customer,3,Unknown,Blue,31,18056,4473,0.052
Existing Customer,2,$120K +,Blue,36,34516,15552,0.027
Existing Customer,3,Less than $40K,Blue,27,5780,2960,0.162
Existing Customer,3,$120K +,Blue,42,9227,3948,0.102
Existing Customer,1,$40K - $60K,Blue,45,1611,4087,0.582
Existing Customer,1,$80K - $120K,Blue,24,34516,1768,0.027
Existing Customer,4,$40K - $60K,Blue,37,1792,4120,0.521
Attrited Customer,1,$40K - $60K,Blue,46,1493,1554,0.624
Existing Customer,2,$40K - $60K,Blue,45,2428,4823,0.384
Existing Customer,2,$120K +,Blue,36,34516,1022,0.027
Existing Customer,1,Less than $40K,Silver,36,12590,4182,0.074
Attrited Customer,3,$40K - $60K,Blue,36,2954,2433,0.315
Existing Customer,3,$60K - $80K,Blue,42,6085,3154,0.153
Existing Customer,1,Less than $40K,Blue,23,1438.3,2186,0.645
Existing Customer,5,$60K - $80K,Silver,38,33521,4115,0.028
Existing Customer,2,$60K - $80K,Blue,36,1594,3851,0.582
Existing Customer,0,Less than $40K,Blue,42,1858,3660,0.498
Attrited Customer,4,$80K - $120K,Blue,39,2886,5481,0.321
Existing Customer,3,$60K - $80K,Blue,36,19671,13908,0.047
Existing Customer,1,Less than $40K,Blue,53,3346,1276,0.276
Existing Customer,1,Less than $40K,Blue,43,5319,15048,0.173
Existing Customer,3,Unknown,Silver,31,34516,3415,0.027
Existing Customer,2,Less than $40K,Blue,31,6798,3961,0.135
Existing Customer,3,Less than $40K,Blue,30,8793,5342,0.104
Existing Customer,1,Unknown,Blue,13,4016,2572,0.228
Existing Customer,4,$60K - $80K,Blue,26,4534,4211,0.202
Existing Customer,3,Less than $40K,Blue,41,1937,4303,0.473
Attrited Customer,3,Less than $40K,Blue,35,2214,2144,0.413
Existing Customer,4,$80K - $120K,Blue,39,8561,7341,0.107
Existing Customer,2,Less than $40K,Silver,29,10024,3906,0.091
Existing Customer,2,$40K - $60K,Blue,45,4621,4952,0.198
Existing Customer,3,Less than $40K,Blue,30,1625,3968,0.561
Existing Customer,1,Unknown,Blue,36,12621,4945,0.072
Existing Customer,5,Less than $40K,Blue,36,1855,4191,0.489
Existing Customer,0,$60K - $80K,Blue,36,4980,2273,0.182
Existing Customer,2,$120K +,Blue,31,6176,15102,0.147
Existing Customer,2,$40K - $60K,Blue,34,13129,2564,0.069
Attrited Customer,3,$80K - $120K,Blue,39,20769,1835,0.043
Attrited Customer,0,Less than $40K,Blue,52,1438.3,760,0.626
Existing Customer,1,Less than $40K,Blue,26,1918,4237,0.469
Existing Customer,2,Less than $40K,Blue,36,6979,1665,0.129
Existing Customer,1,Less than $40K,Blue,36,7982,4387,0.112
Existing Customer,1,$80K - $120K,Blue,51,16835,4059,0.053
Attrited Customer,1,Less than $40K,Blue,35,1850,2613,0.484
Existing Customer,1,Less than $40K,Blue,52,1709,1673,0.524
Existing Customer,0,$60K - $80K,Blue,36,3674,1703,0.244
Attrited Customer,3,$80K - $120K,Blue,36,3022,2724,0.296
Existing Customer,4,$60K - $80K,Blue,30,17625,1773,0.051
Existing Customer,3,$60K - $80K,Blue,36,1591,3698,0.562
Existing Customer,3,Less than $40K,Blue,32,1438.3,4687,0.622
Existing Customer,1,Less than $40K,Blue,45,6703,1388,0.133
Existing Customer,4,$80K - $120K,Blue,24,16335,2733,0.055
Existing Customer,4,$60K - $80K,Blue,37,6784,1900,0.131
Existing Customer,5,$120K +,Silver,36,34516,2687,0.026
Existing Customer,1,Less than $40K,Silver,30,10190,3768,0.087
Existing Customer,2,$60K - $80K,Blue,36,1790,4498,0.498
Attrited Customer,3,Less than $40K,Blue,34,1605,2722,0.555
Existing Customer,3,Less than $40K,Blue,33,2990,4757,0.298
Existing Customer,3,$40K - $60K,Blue,52,1454,3060,0.611
Existing Customer,0,Less than $40K,Blue,36,2242,4708,0.396
Existing Customer,4,Less than $40K,Blue,31,1640,4074,0.541
Existing Customer,2,$60K - $80K,Blue,36,5464,4866,0.162
Existing Customer,4,Less than $40K,Blue,38,2396,7480,0.37
Existing Customer,3,$40K - $60K,Blue,49,1438.3,4385,0.616
Existing Customer,0,Less than $40K,Blue,44,1904,4798,0.465
Existing Customer,1,$40K - $60K,Blue,36,1484,4819,0.596
Existing Customer,1,$80K - $120K,Blue,45,1826,2199,0.484
Existing Customer,3,$40K - $60K,Blue,36,6274,4726,0.141
Existing Customer,4,$40K - $60K,Blue,33,3653,3297,0.241
Existing Customer,3,$40K - $60K,Blue,42,3743,4621,0.235
Existing Customer,4,Less than $40K,Blue,34,1926,4385,0.456
Existing Customer,1,$60K - $80K,Blue,33,1503,4439,0.585
Existing Customer,3,Less than $40K,Blue,47,2577,5021,0.341
Existing Customer,5,$80K - $120K,Blue,32,14910,1150,0.059
Existing Customer,2,Less than $40K,Blue,34,1438.3,4283,0.61
Existing Customer,1,$80K - $120K,Blue,36,25008,1753,0.035
Existing Customer,2,Less than $40K,Blue,50,1438.3,4815,0.609
Existing Customer,2,Unknown,Blue,36,6990,4861,0.125
Attrited Customer,2,$80K - $120K,Blue,34,1837,2169,0.476
Existing Customer,1,$40K - $60K,Blue,36,5590,14643,0.157
Existing Customer,4,$40K - $60K,Blue,33,5776,4029,0.151
Existing Customer,2,Unknown,Blue,39,9716,5007,0.09
Existing Customer,3,$40K - $60K,Blue,20,8698,15683,0.1
Attrited Customer,4,Less than $40K,Blue,24,1555,2252,0.561
Existing Customer,2,Less than $40K,Blue,25,2468,4426,0.353
Existing Customer,2,$120K +,Blue,36,10816,3221,0.081
Existing Customer,2,Unknown,Blue,38,5076,4115,0.172
Existing Customer,3,$60K - $80K,Silver,38,32417,14381,0.027
Existing Customer,0,Less than $40K,Blue,36,3532,4297,0.246
Existing Customer,2,$40K - $60K,Blue,45,1438.3,4124,0.604
Existing Customer,3,Less than $40K,Blue,38,1538,5228,0.564
Attrited Customer,4,$80K - $120K,Blue,31,19782,2535,0.044
Existing Customer,1,$40K - $60K,Blue,56,1456,3953,0.595
Existing Customer,3,$40K - $60K,Blue,39,7109,4047,0.122
Existing Customer,1,Less than $40K,Silver,34,13259,8998,0.065
Existing Customer,2,$120K +,Blue,47,16258,3761,0.053
Existing Customer,3,$40K - $60K,Silver,29,15472,14132,0.056
Existing Customer,5,Less than $40K,Blue,44,8256,1291,0.105
Attrited Customer,3,$80K - $120K,Blue,26,1438.3,2299,0.601
Existing Customer,0,Unknown,Blue,56,4100,3593,0.21
Existing Customer,2,Less than $40K,Blue,36,1438.3,4482,0.6
Existing Customer,2,$80K - $120K,Blue,37,1438.3,1391,0.599
Existing Customer,4,$120K +,Blue,36,3104,2781,0.278
Existing Customer,1,$60K - $80K,Blue,36,2836,4121,0.304
Existing Customer,4,Less than $40K,Blue,27,1438.3,4655,0.598
Existing Customer,3,Less than $40K,Blue,22,1438.3,4754,0.598
Existing Customer,3,$80K - $120K,Blue,40,10879,4629,0.079
Existing Customer,4,Unknown,Blue,34,5756,5298,0.149
Existing Customer,4,Unknown,Blue,40,11164,4227,0.077
Existing Customer,5,Less than $40K,Blue,33,6519,3088,0.131
Existing Customer,1,Less than $40K,Blue,39,1438.3,4379,0.592
Existing Customer,4,$40K - $60K,Blue,28,2432,4760,0.35
Existing Customer,4,$80K - $120K,Blue,36,32431,4400,0.026
Existing Customer,1,Unknown,Blue,22,9817,4636,0.086
Existing Customer,1,$40K - $60K,Blue,47,1438.3,1397,0.589
Existing Customer,1,$80K - $120K,Blue,36,34458,8271,0.025
Existing Customer,0,Unknown,Blue,26,14140,5036,0.06
Existing Customer,1,Less than $40K,Blue,43,3368,2022,0.251
Existing Customer,2,$80K - $120K,Blue,36,2407,1470,0.35
Existing Customer,2,Less than $40K,Blue,31,2069,4117,0.406
Existing Customer,4,$60K - $80K,Blue,33,9442,3157,0.089
Existing Customer,4,Unknown,Blue,39,24880,1208,0.034
Existing Customer,2,Unknown,Blue,36,22886,2652,0.037
Existing Customer,4,Unknown,Blue,37,3829,4313,0.218
Existing Customer,4,Less than $40K,Blue,37,5726,2311,0.146
Existing Customer,4,Unknown,Blue,36,4396,4826,0.19
Existing Customer,3,Less than $40K,Blue,36,2837,3892,0.294
Existing Customer,2,Less than $40K,Blue,13,1798,4551,0.463
Existing Customer,2,Less than $40K,Blue,40,1612,4924,0.516
Existing Customer,1,Less than $40K,Blue,36,6616,9065,0.126
Existing Customer,1,$120K +,Gold,44,34516,13247,0.024
Existing Customer,2,$80K - $120K,Blue,36,4731,14952,0.176
Existing Customer,5,$120K +,Blue,31,34516,3789,0.024
Existing Customer,0,$40K - $60K,Blue,36,11473,2147,0.072
Existing Customer,1,Unknown,Blue,36,26053,2768,0.032
Existing Customer,3,$40K - $60K,Blue,36,10949,7685,0.076
Attrited Customer,1,$60K - $80K,Blue,17,17744,9658,0.047
Existing Customer,4,$120K +,Blue,35,34516,3127,0.024
Attrited Customer,4,$80K - $120K,Silver,28,34516,2022,0.024
Existing Customer,4,Less than $40K,Blue,43,3232,3915,0.255
Existing Customer,3,Unknown,Blue,27,24987,3995,0.033
Existing Customer,3,Less than $40K,Blue,31,1980,4467,0.416
Existing Customer,4,Unknown,Blue,43,3805,4326,0.216
Attrited Customer,2,$60K - $80K,Silver,25,26794,8788,0.031
Existing Customer,3,Unknown,Blue,36,21242,1283,0.039
Attrited Customer,4,$40K - $60K,Blue,39,1438.3,2488,0.569
Existing Customer,2,$120K +,Blue,48,30967,1473,0.026
Existing Customer,4,$40K - $60K,Silver,36,16268,13969,0.05
Existing Customer,2,Less than $40K,Blue,35,1438.3,4777,0.567
Existing Customer,2,Less than $40K,Blue,37,8520,1193,0.096
Existing Customer,0,$40K - $60K,Blue,56,7118,3964,0.114
Existing Customer,1,Less than $40K,Blue,36,3918,15867,0.208
