Visitor_Age,Visitor_Gender,Visitor_Nationality,Travel_Purpose,Group_Size,Accommodation_Type,Length_of_Stay_Days,Room_Type,Booking_Channel,Daily_Spending_SGD,Accommodation_Cost_SGD,Satisfaction_Rating,Service_Quality_Rating,Likelihood_to_Return,Visit_Date,Departure_Date,Season,Travel_With_Children,Special_Requests,Previous_Visits
60,Female,Chinese,Leisure,3,Hotel,20,Standard,Online,768.99,15379.8,2.2,1.6,Low,2021-06-21,2021-07-11 00:00:00,Off-Peak,No,Yes,4
39,Female,Indian,Transit,8,Hostel,17,Standard,Travel Agency,746.9,12697.3,3.7,3.8,None,2021-06-23,2021-07-10 00:00:00,Peak,No,Yes,2
35,Male,British,Transit,5,Others,11,Standard,Travel Agency,153.93,1693.23,2.1,4.3,Moderate,2021-06-24,2021-07-05 00:00:00,Off-Peak,Yes,Yes,4
62,Female,Chinese,Business,7,Hotel,16,Suite,Travel Agency,628.49,10055.84,3.5,2.1,None,2021-06-25,2021-07-11 00:00:00,Peak,No,No,4
76,Male,Others,Visiting Friends/Relatives,2,Private Home,2,Suite,Travel Agency,63.5,127,4.1,4.4,Low,2021-06-26,2021-06-28 00:00:00,Off-Peak,Yes,Yes,4
25,Female,Indian,Leisure,9,Hostel,17,Suite,Online,868.04,14756.68,4.7,2.6,High,2021-06-27,2021-07-14 00:00:00,Peak,No,Yes,3
71,Female,Others,Business,5,Private Home,24,Deluxe,Travel Agency,585.19,14044.56,4.6,4,None,2021-06-28,2021-07-22 00:00:00,Off-Peak,Yes,No,2
21,Female,Chinese,Visiting Friends/Relatives,7,Private Home,28,Deluxe,Direct Booking,569.01,15932.28,4.6,2.2,None,2021-06-29,2021-07-27 00:00:00,Off-Peak,Yes,No,1
66,Male,Australian,Business,4,Hostel,20,Suite,Online,517.65,10353,2.7,2.4,Low,2021-06-30,2021-07-20 00:00:00,Peak,Yes,Yes,2
34,Female,British,Leisure,6,Serviced Apartment,8,Deluxe,Travel Agency,162.66,1301.28,3.7,3.8,Low,2021-07-01,2021-07-09 00:00:00,Off-Peak,No,Yes,1
23,Male,Chinese,Transit,2,Private Home,28,Deluxe,Direct Booking,317.15,8880.2,1.9,3.8,Low,2021-07-02,2021-07-30 00:00:00,Peak,Yes,No,3
48,Female,Indian,Visiting Friends/Relatives,7,Others,26,Suite,Direct Booking,237.03,6162.78,3.6,3.7,Moderate,2021-07-03,2021-07-29 00:00:00,Off-Peak,No,Yes,3
20,Female,British,Transit,8,Hotel,5,Suite,Direct Booking,961.09,4805.45,2.9,3.5,None,2021-07-05,2021-07-10 00:00:00,Off-Peak,Yes,Yes,1
34,Female,British,Transit,7,Serviced Apartment,27,Standard,Travel Agency,409.66,11060.82,2.8,3.5,Low,2021-07-06,2021-08-02 00:00:00,Peak,Yes,Yes,1
43,Male,Chinese,Business,3,Serviced Apartment,22,Standard,Travel Agency,446.4,9820.8,4.9,4.4,Moderate,2021-07-07,2021-07-29 00:00:00,Peak,No,Yes,2
62,Female,Others,Transit,8,Private Home,24,Standard,Travel Agency,846.07,20305.68,1.1,4,Moderate,2021-07-08,2021-08-01 00:00:00,Off-Peak,No,No,4
51,Female,Others,Visiting Friends/Relatives,4,Hostel,10,Suite,Direct Booking,482.87,4828.7,1.1,4.3,Low,2021-07-09,2021-07-19 00:00:00,Peak,Yes,No,4
24,Female,British,Leisure,9,Hostel,25,Deluxe,Travel Agency,182.09,4552.25,4.3,1.5,High,2021-07-10,2021-08-04 00:00:00,Off-Peak,Yes,Yes,3
58,Female,Australian,Leisure,2,Hostel,3,Suite,Online,764.81,2294.43,4.5,3.5,None,2021-07-11,2021-07-14 00:00:00,Off-Peak,Yes,Yes,0
39,Male,Chinese,Visiting Friends/Relatives,7,Hostel,16,Standard,Online,932.46,14919.36,1.9,4.1,None,2021-07-12,2021-07-28 00:00:00,Peak,No,No,2
78,Female,Australian,Business,4,Hotel,22,Deluxe,Online,953.58,20978.76,1.2,2.3,Moderate,2021-07-13,2021-08-04 00:00:00,Off-Peak,Yes,No,4
76,Male,Australian,Transit,3,Hostel,3,Deluxe,Online,527.67,1583.01,4,3.6,Moderate,2021-07-14,2021-07-17 00:00:00,Off-Peak,No,Yes,1
73,Female,Chinese,Visiting Friends/Relatives,2,Hostel,16,Deluxe,Travel Agency,171.99,2751.84,4.4,3.7,Low,2021-07-16,2021-08-01 00:00:00,Off-Peak,No,No,0
32,Male,British,Transit,7,Others,19,Deluxe,Online,803.26,15261.94,3.5,1.9,None,2021-07-17,2021-08-05 00:00:00,Peak,No,Yes,2
62,Female,Others,Transit,5,Private Home,10,Standard,Online,440.45,4404.5,1.1,3.9,Moderate,2021-07-18,2021-07-28 00:00:00,Peak,Yes,No,4
70,Male,Australian,Business,2,Private Home,3,Deluxe,Travel Agency,789.42,2368.26,4.1,3.7,High,2021-07-19,2021-07-22 00:00:00,Off-Peak,No,Yes,0
29,Female,British,Transit,2,Serviced Apartment,11,Deluxe,Online,371.73,4089.03,2.3,4.4,High,2021-07-20,2021-07-31 00:00:00,Peak,No,No,2
36,Female,American,Visiting Friends/Relatives,7,Hotel,26,Standard,Travel Agency,187.09,4864.34,1.2,3.8,High,2021-07-21,2021-08-16 00:00:00,Off-Peak,Yes,No,3
56,Female,Chinese,Business,9,Hotel,4,Deluxe,Direct Booking,462.35,1849.4,3.8,4,High,2021-07-22,2021-07-26 00:00:00,Peak,Yes,Yes,2
55,Male,Indian,Business,8,Hotel,5,Suite,Travel Agency,443.82,2219.1,4.5,2.9,Low,2021-07-23,2021-07-28 00:00:00,Peak,Yes,Yes,4
60,Male,Chinese,Visiting Friends/Relatives,7,Private Home,19,Suite,Online,957.96,18201.24,3.7,3.7,Moderate,2021-07-24,2021-08-12 00:00:00,Off-Peak,Yes,No,2
32,Male,Australian,Leisure,3,Others,29,Suite,Travel Agency,932.18,27033.22,3,1.3,Moderate,2021-07-25,2021-08-23 00:00:00,Peak,No,Yes,3
37,Female,Others,Business,4,Serviced Apartment,26,Deluxe,Online,714.04,18565.04,3.9,2.6,Moderate,2021-07-26,2021-08-21 00:00:00,Off-Peak,Yes,Yes,0
79,Male,American,Business,1,Serviced Apartment,23,Standard,Travel Agency,859.08,19758.84,3.8,2.3,Moderate,2021-07-28,2021-08-20 00:00:00,Off-Peak,No,Yes,1
21,Male,Australian,Visiting Friends/Relatives,6,Serviced Apartment,5,Suite,Travel Agency,424.96,2124.8,2.9,2.3,None,2021-07-29,2021-08-03 00:00:00,Off-Peak,Yes,No,4
59,Male,Australian,Leisure,5,Serviced Apartment,13,Suite,Travel Agency,71.69,931.97,1.6,2.6,High,2021-07-30,2021-08-12 00:00:00,Peak,Yes,No,0
28,Female,Australian,Business,2,Serviced Apartment,10,Suite,Direct Booking,826.97,8269.7,3.9,2.6,None,2021-07-31,2021-08-10 00:00:00,Off-Peak,No,No,1
30,Female,Chinese,Transit,7,Private Home,15,Deluxe,Online,672.32,10084.8,1.2,1.4,None,2021-08-01,2021-08-16 00:00:00,Peak,No,No,0
78,Male,Indian,Leisure,9,Others,20,Suite,Direct Booking,806.03,16120.6,1,4.4,Low,2021-08-02,2021-08-22 00:00:00,Peak,Yes,No,4
59,Male,American,Visiting Friends/Relatives,9,Hotel,10,Suite,Direct Booking,528.41,5284.1,1.8,3,None,2021-08-03,2021-08-13 00:00:00,Off-Peak,Yes,Yes,2
45,Male,American,Business,9,Hotel,27,Suite,Direct Booking,778.3,21014.1,2.5,2,Moderate,2021-08-04,2021-08-31 00:00:00,Off-Peak,No,Yes,1
35,Female,American,Leisure,6,Hostel,26,Suite,Direct Booking,856.79,22276.54,2.8,3.2,High,2021-08-05,2021-08-31 00:00:00,Peak,Yes,Yes,1
53,Male,Australian,Visiting Friends/Relatives,7,Private Home,13,Standard,Online,841.75,10942.75,3.7,2.3,Moderate,2021-08-06,2021-08-19 00:00:00,Peak,No,Yes,4
58,Male,Chinese,Transit,5,Serviced Apartment,27,Standard,Travel Agency,580.58,15675.66,2.2,1.6,Low,2021-08-08,2021-09-04 00:00:00,Off-Peak,No,Yes,0
21,Female,Others,Leisure,6,Others,9,Deluxe,Direct Booking,988.73,8898.57,1.1,2.7,High,2021-08-09,2021-08-18 00:00:00,Off-Peak,No,No,0
31,Female,Indian,Visiting Friends/Relatives,3,Others,29,Suite,Direct Booking,611.6,17736.4,2.4,1.5,Moderate,2021-08-10,2021-09-08 00:00:00,Off-Peak,No,No,4
59,Female,Australian,Leisure,6,Serviced Apartment,3,Deluxe,Online,631.45,1894.35,3.3,4.2,None,2021-08-11,2021-08-14 00:00:00,Off-Peak,Yes,No,3
55,Male,Indian,Business,9,Others,29,Deluxe,Direct Booking,809.71,23481.59,1.8,1.5,High,2021-08-12,2021-09-10 00:00:00,Off-Peak,No,Yes,3
62,Male,American,Visiting Friends/Relatives,3,Others,29,Deluxe,Direct Booking,656.51,19038.79,3.4,3,Moderate,2021-08-13,2021-09-11 00:00:00,Peak,No,No,4
27,Male,Australian,Leisure,8,Serviced Apartment,13,Deluxe,Online,181.1,2354.3,4.9,2.1,None,2021-08-14,2021-08-27 00:00:00,Peak,No,No,1
68,Female,Chinese,Business,4,Hotel,11,Deluxe,Online,109.1,1200.1,3.1,1.4,Low,2021-08-15,2021-08-26 00:00:00,Peak,Yes,Yes,1
28,Female,Australian,Business,7,Private Home,20,Standard,Travel Agency,928.92,18578.4,3.4,1.1,High,2021-08-16,2021-09-05 00:00:00,Off-Peak,No,No,1
40,Female,Chinese,Business,1,Serviced Apartment,25,Standard,Travel Agency,600.94,15023.5,3.4,4.4,None,2021-08-17,2021-09-11 00:00:00,Off-Peak,Yes,No,2
26,Female,Others,Business,1,Hostel,29,Suite,Direct Booking,105.55,3060.95,4.7,2.8,Moderate,2021-08-18,2021-09-16 00:00:00,Peak,Yes,No,4
78,Male,Others,Leisure,3,Private Home,15,Suite,Online,833.45,12501.75,4.7,1.6,None,2021-08-20,2021-09-04 00:00:00,Off-Peak,No,Yes,4
59,Male,Australian,Visiting Friends/Relatives,1,Others,16,Suite,Online,971.22,15539.52,4.3,1.7,Moderate,2021-08-21,2021-09-06 00:00:00,Off-Peak,No,Yes,2
45,Male,Australian,Business,1,Others,23,Deluxe,Direct Booking,597.62,13745.26,1.6,4.8,None,2021-08-22,2021-09-14 00:00:00,Peak,No,Yes,0
63,Male,Chinese,Visiting Friends/Relatives,7,Others,15,Deluxe,Direct Booking,996.34,14945.1,3.4,1,Low,2021-08-23,2021-09-07 00:00:00,Off-Peak,No,No,2
37,Female,Chinese,Transit,7,Hotel,27,Suite,Direct Booking,371.81,10038.87,3.6,1.8,None,2021-08-24,2021-09-20 00:00:00,Off-Peak,No,No,1
71,Male,Australian,Visiting Friends/Relatives,5,Private Home,16,Suite,Travel Agency,264.22,4227.52,4.5,3.9,Moderate,2021-08-25,2021-09-10 00:00:00,Off-Peak,No,No,1
62,Female,Chinese,Visiting Friends/Relatives,2,Hostel,20,Standard,Online,837.96,16759.2,2.1,2.5,High,2021-08-26,2021-09-15 00:00:00,Peak,Yes,No,4
60,Female,Indian,Leisure,1,Others,14,Suite,Direct Booking,423.85,5933.9,4.6,1.6,None,2021-08-27,2021-09-10 00:00:00,Off-Peak,No,No,1
66,Female,Australian,Leisure,3,Hotel,9,Suite,Direct Booking,924.9,8324.1,4.8,1.9,High,2021-08-28,2021-09-06 00:00:00,Peak,No,Yes,4
70,Female,Others,Leisure,1,Serviced Apartment,3,Standard,Direct Booking,772.82,2318.46,4.3,4.2,Low,2021-08-29,2021-09-01 00:00:00,Off-Peak,Yes,No,3
57,Female,Australian,Transit,8,Serviced Apartment,23,Suite,Direct Booking,351.59,8086.57,1.5,4.1,Moderate,2021-08-31,2021-09-23 00:00:00,Peak,Yes,No,0
46,Male,American,Leisure,4,Private Home,19,Deluxe,Direct Booking,751.51,14278.69,3.9,4.7,High,2021-09-01,2021-09-20 00:00:00,Off-Peak,Yes,No,4
41,Female,Indian,Visiting Friends/Relatives,9,Hostel,17,Standard,Online,294.02,4998.34,1.6,4.1,Low,2021-09-02,2021-09-19 00:00:00,Off-Peak,Yes,No,4
19,Male,Chinese,Visiting Friends/Relatives,5,Hostel,27,Suite,Direct Booking,927.42,25040.34,1.6,1.7,Moderate,2021-09-03,2021-09-30 00:00:00,Off-Peak,Yes,No,0
73,Female,Indian,Leisure,6,Serviced Apartment,23,Suite,Online,68.61,1578.03,4,3.1,Low,2021-09-04,2021-09-27 00:00:00,Peak,Yes,Yes,1
68,Female,American,Transit,6,Hostel,7,Deluxe,Online,428.83,3001.81,1.1,2.2,Moderate,2021-09-05,2021-09-12 00:00:00,Peak,No,No,3
74,Male,British,Leisure,1,Hostel,3,Standard,Direct Booking,530.51,1591.53,2.9,4.7,Low,2021-09-06,2021-09-09 00:00:00,Peak,No,No,2
49,Male,Australian,Visiting Friends/Relatives,6,Hotel,28,Standard,Travel Agency,746.91,20913.48,1.4,2.8,Low,2021-09-07,2021-10-05 00:00:00,Off-Peak,No,No,0
71,Female,American,Leisure,2,Serviced Apartment,22,Suite,Direct Booking,59.58,1310.76,3.5,3.1,None,2021-09-08,2021-09-30 00:00:00,Peak,Yes,Yes,2
62,Female,Australian,Leisure,7,Serviced Apartment,9,Standard,Online,523.37,4710.33,1.6,3.5,Low,2021-09-09,2021-09-18 00:00:00,Peak,No,Yes,1
65,Female,Others,Leisure,1,Private Home,20,Deluxe,Online,182.17,3643.4,4.6,3.4,Moderate,2021-09-10,2021-09-30 00:00:00,Off-Peak,No,No,2
40,Male,Chinese,Transit,8,Private Home,12,Standard,Online,415.66,4987.92,2,3.6,Moderate,2021-09-12,2021-09-24 00:00:00,Peak,Yes,No,1
62,Female,Others,Transit,7,Hostel,16,Suite,Travel Agency,603.98,9663.68,3.1,4.2,High,2021-09-13,2021-09-29 00:00:00,Off-Peak,No,Yes,3
25,Female,British,Transit,4,Hostel,19,Standard,Travel Agency,787.84,14968.96,4.3,1.9,None,2021-09-14,2021-10-03 00:00:00,Off-Peak,Yes,Yes,1
61,Female,Others,Transit,8,Hotel,22,Standard,Online,262.17,5767.74,4.6,2.2,None,2021-09-15,2021-10-07 00:00:00,Off-Peak,Yes,Yes,3
48,Female,Australian,Visiting Friends/Relatives,4,Others,14,Standard,Direct Booking,505.46,7076.44,1.6,2.2,High,2021-09-16,2021-09-30 00:00:00,Off-Peak,No,Yes,4
32,Male,British,Leisure,2,Others,5,Standard,Direct Booking,259.26,1296.3,1.8,2.9,Low,2021-09-17,2021-09-22 00:00:00,Peak,Yes,No,2
54,Male,American,Visiting Friends/Relatives,3,Serviced Apartment,23,Deluxe,Direct Booking,681.5,15674.5,4.3,2.7,Low,2021-09-18,2021-10-11 00:00:00,Off-Peak,Yes,Yes,4
62,Male,Others,Leisure,6,Serviced Apartment,26,Deluxe,Direct Booking,139.43,3625.18,2,4.7,High,2021-09-19,2021-10-15 00:00:00,Peak,No,No,0
52,Female,American,Visiting Friends/Relatives,4,Private Home,21,Deluxe,Online,68.79,1444.59,4.8,3.2,Moderate,2021-09-20,2021-10-11 00:00:00,Peak,No,Yes,2
59,Female,British,Visiting Friends/Relatives,2,Hostel,28,Deluxe,Direct Booking,694.69,19451.32,2.6,1.4,Moderate,2021-09-21,2021-10-19 00:00:00,Off-Peak,Yes,No,1
27,Female,American,Transit,8,Hotel,20,Suite,Travel Agency,423.79,8475.8,2.8,2.5,High,2021-09-23,2021-10-13 00:00:00,Off-Peak,No,Yes,2
22,Male,Chinese,Transit,4,Hostel,11,Suite,Direct Booking,637.74,7015.14,1.4,2,Low,2021-09-24,2021-10-05 00:00:00,Off-Peak,No,Yes,0
23,Female,American,Business,5,Hostel,15,Deluxe,Travel Agency,944.32,14164.8,1.7,2,Low,2021-09-25,2021-10-10 00:00:00,Peak,No,Yes,4
44,Female,Indian,Transit,1,Hostel,12,Deluxe,Online,660.61,7927.32,2.4,2.9,Low,2021-09-26,2021-10-08 00:00:00,Peak,Yes,Yes,4
78,Male,American,Leisure,3,Hostel,23,Suite,Direct Booking,860.3,19786.9,4.7,3.4,None,2021-09-27,2021-10-20 00:00:00,Peak,Yes,No,3
34,Female,Chinese,Business,1,Hotel,22,Standard,Online,935.37,20578.14,4.1,4.9,High,2021-09-28,2021-10-20 00:00:00,Peak,Yes,No,0
49,Male,Chinese,Business,6,Private Home,19,Deluxe,Online,249.74,4745.06,1.3,3.8,None,2021-09-29,2021-10-18 00:00:00,Off-Peak,No,Yes,0
27,Male,Chinese,Transit,8,Others,13,Deluxe,Travel Agency,671.45,8728.85,2.3,4.6,Moderate,2021-09-30,2021-10-13 00:00:00,Off-Peak,No,Yes,0
43,Male,American,Transit,2,Private Home,19,Standard,Travel Agency,267.92,5090.48,2.6,1.2,None,2021-10-01,2021-10-20 00:00:00,Peak,Yes,Yes,3
58,Male,Indian,Leisure,8,Hostel,11,Standard,Online,737.19,8109.09,1.9,3.9,None,2021-10-02,2021-10-13 00:00:00,Off-Peak,Yes,Yes,1
36,Male,Others,Business,9,Hotel,8,Suite,Online,128.56,1028.48,1.8,1.5,Moderate,2021-10-03,2021-10-11 00:00:00,Off-Peak,Yes,Yes,2
45,Female,American,Transit,1,Serviced Apartment,15,Deluxe,Travel Agency,552.61,8289.15,1.4,2,None,2021-10-05,2021-10-20 00:00:00,Peak,No,Yes,2
20,Female,Australian,Transit,6,Serviced Apartment,21,Suite,Travel Agency,922.77,19378.17,3.9,4.2,Low,2021-10-06,2021-10-27 00:00:00,Peak,Yes,Yes,0
24,Female,American,Leisure,9,Hostel,27,Standard,Direct Booking,199.29,5380.83,4.6,3.4,None,2021-10-07,2021-11-03 00:00:00,Peak,Yes,No,3
32,Male,Chinese,Visiting Friends/Relatives,5,Hotel,11,Deluxe,Travel Agency,82.16,903.76,4.1,1.2,Moderate,2021-10-08,2021-10-19 00:00:00,Peak,Yes,Yes,1
57,Male,Chinese,Leisure,5,Hotel,7,Standard,Direct Booking,214.35,1500.45,2.8,2.9,Moderate,2021-10-09,2021-10-16 00:00:00,Peak,No,No,0
45,Male,Chinese,Transit,6,Others,27,Standard,Direct Booking,932.91,25188.57,1.3,3.1,Low,2021-10-10,2021-11-06 00:00:00,Off-Peak,No,No,0
59,Female,British,Business,4,Others,8,Suite,Direct Booking,905.94,7247.52,4.2,1.8,Moderate,2021-10-11,2021-10-19 00:00:00,Off-Peak,No,Yes,0
52,Female,Australian,Business,3,Hostel,12,Standard,Online,89.14,1069.68,1.2,3,None,2021-10-12,2021-10-24 00:00:00,Peak,No,Yes,3
32,Male,American,Visiting Friends/Relatives,5,Private Home,17,Suite,Direct Booking,729.27,12397.59,4.2,3.8,High,2021-10-13,2021-10-30 00:00:00,Peak,Yes,No,2
30,Male,American,Business,5,Others,23,Deluxe,Online,848.07,19505.61,4.2,4,High,2021-10-14,2021-11-06 00:00:00,Peak,Yes,No,3
61,Female,British,Business,3,Private Home,12,Deluxe,Travel Agency,998.06,11976.72,3.9,1.6,None,2021-10-16,2021-10-28 00:00:00,Off-Peak,Yes,Yes,4
32,Female,Australian,Leisure,9,Hostel,28,Suite,Direct Booking,845.75,23681,1.6,1.8,Low,2021-10-17,2021-11-14 00:00:00,Off-Peak,No,No,1
34,Male,Indian,Business,7,Hostel,1,Deluxe,Online,476.67,476.67,2.3,3.4,Low,2021-10-18,2021-10-19 00:00:00,Peak,Yes,Yes,2
46,Male,Australian,Visiting Friends/Relatives,4,Private Home,26,Suite,Travel Agency,882.84,22953.84,2.5,4.8,High,2021-10-19,2021-11-14 00:00:00,Peak,No,No,3
62,Female,Chinese,Leisure,8,Serviced Apartment,28,Deluxe,Travel Agency,652.65,18274.2,2.4,1.8,Moderate,2021-10-20,2021-11-17 00:00:00,Off-Peak,No,No,0
48,Female,American,Transit,1,Private Home,7,Standard,Online,408.99,2862.93,1.1,3.5,None,2021-10-21,2021-10-28 00:00:00,Off-Peak,No,Yes,1
73,Male,Indian,Transit,7,Serviced Apartment,14,Standard,Direct Booking,369.01,5166.14,2.1,2.5,Moderate,2021-10-22,2021-11-05 00:00:00,Off-Peak,No,Yes,1
77,Female,Chinese,Transit,8,Serviced Apartment,23,Suite,Online,825.64,18989.72,3.8,2.2,Moderate,2021-10-23,2021-11-15 00:00:00,Off-Peak,No,No,2
60,Male,Others,Leisure,8,Others,22,Standard,Online,311.29,6848.38,2.3,1.2,High,2021-10-24,2021-11-15 00:00:00,Off-Peak,No,No,1
62,Male,Indian,Visiting Friends/Relatives,7,Hostel,1,Suite,Travel Agency,891.53,891.53,4.3,4.4,Low,2021-10-25,2021-10-26 00:00:00,Off-Peak,Yes,No,1
74,Male,Indian,Transit,2,Serviced Apartment,23,Suite,Travel Agency,726.94,16719.62,4.5,1.6,None,2021-10-26,2021-11-18 00:00:00,Peak,No,Yes,1
73,Male,Australian,Visiting Friends/Relatives,8,Hostel,28,Suite,Travel Agency,599.25,16779,2.7,3.8,High,2021-10-28,2021-11-25 00:00:00,Off-Peak,No,Yes,2
61,Male,British,Transit,4,Hotel,13,Deluxe,Direct Booking,156.12,2029.56,5,2.6,None,2021-10-29,2021-11-11 00:00:00,Peak,No,Yes,0
39,Female,Others,Transit,1,Hotel,14,Suite,Direct Booking,445.34,6234.76,3.4,2.9,Moderate,2021-10-30,2021-11-13 00:00:00,Off-Peak,Yes,No,2
68,Female,British,Leisure,5,Serviced Apartment,28,Standard,Travel Agency,148.37,4154.36,4.9,2.6,Low,2021-10-31,2021-11-28 00:00:00,Off-Peak,Yes,No,3
30,Male,American,Transit,7,Hotel,28,Standard,Direct Booking,642.47,17989.16,4.8,1.7,High,2021-11-01,2021-11-29 00:00:00,Peak,No,Yes,4
69,Male,Australian,Business,1,Hostel,22,Standard,Online,372.3,8190.6,4.8,3.1,None,2021-11-02,2021-11-24 00:00:00,Peak,No,No,3
64,Female,Others,Leisure,9,Others,4,Deluxe,Direct Booking,321.06,1284.24,2.6,4.5,None,2021-11-03,2021-11-07 00:00:00,Off-Peak,No,No,1
75,Female,Chinese,Leisure,4,Hostel,13,Deluxe,Travel Agency,690.96,8982.48,2.5,3.2,Moderate,2021-11-04,2021-11-17 00:00:00,Peak,No,Yes,4
60,Female,Chinese,Visiting Friends/Relatives,4,Others,12,Standard,Online,341.56,4098.72,2.7,2,Moderate,2021-11-05,2021-11-17 00:00:00,Peak,Yes,No,4
33,Male,British,Business,4,Hotel,6,Deluxe,Direct Booking,538.26,3229.56,2.1,1.2,High,2021-11-06,2021-11-12 00:00:00,Off-Peak,Yes,No,3
64,Male,British,Visiting Friends/Relatives,8,Others,8,Standard,Travel Agency,654.91,5239.28,4.3,2.7,None,2021-11-08,2021-11-16 00:00:00,Off-Peak,No,Yes,1
22,Male,British,Business,7,Hostel,2,Standard,Direct Booking,768.1,1536.2,3.7,4.1,Moderate,2021-11-09,2021-11-11 00:00:00,Off-Peak,Yes,Yes,1
76,Female,Indian,Transit,1,Private Home,1,Standard,Online,934.76,934.76,2.1,2.1,Moderate,2021-11-10,2021-11-11 00:00:00,Peak,No,No,3
50,Female,Indian,Leisure,9,Hotel,15,Standard,Travel Agency,571.37,8570.55,1.8,3.4,Moderate,2021-11-11,2021-11-26 00:00:00,Peak,Yes,No,0
26,Female,American,Visiting Friends/Relatives,6,Private Home,10,Suite,Travel Agency,404.72,4047.2,1.2,2.6,None,2021-11-12,2021-11-22 00:00:00,Off-Peak,No,No,3
27,Female,American,Leisure,4,Private Home,28,Deluxe,Travel Agency,63.09,1766.52,1.1,4.2,High,2021-11-13,2021-12-11 00:00:00,Peak,Yes,Yes,2
79,Female,Indian,Leisure,3,Private Home,29,Standard,Online,121.12,3512.48,4.6,2.9,None,2021-11-14,2021-12-13 00:00:00,Peak,No,No,2
21,Male,Indian,Leisure,8,Serviced Apartment,8,Deluxe,Travel Agency,220.23,1761.84,4.7,3.1,None,2021-11-15,2021-11-23 00:00:00,Peak,No,Yes,4
67,Male,Others,Visiting Friends/Relatives,8,Hotel,23,Deluxe,Direct Booking,792.6,18229.8,1,2.8,Low,2021-11-16,2021-12-09 00:00:00,Peak,Yes,No,3
63,Male,Australian,Business,6,Serviced Apartment,22,Deluxe,Travel Agency,601.27,13227.94,1.6,2.8,Low,2021-11-17,2021-12-09 00:00:00,Peak,Yes,Yes,4
31,Male,Others,Transit,1,Hostel,17,Deluxe,Direct Booking,488.51,8304.67,2,1.2,High,2021-11-18,2021-12-05 00:00:00,Off-Peak,Yes,Yes,1
77,Female,American,Transit,5,Hotel,19,Standard,Travel Agency,781.29,14844.51,4.6,3.3,Moderate,2021-11-20,2021-12-09 00:00:00,Peak,No,Yes,3
79,Female,Chinese,Leisure,7,Hostel,11,Suite,Travel Agency,994.62,10940.82,1.3,4.8,Low,2021-11-21,2021-12-02 00:00:00,Peak,No,No,2
59,Male,Chinese,Leisure,1,Hostel,4,Deluxe,Travel Agency,489.86,1959.44,3.8,2.5,High,2021-11-22,2021-11-26 00:00:00,Off-Peak,No,No,0
73,Female,Chinese,Leisure,2,Serviced Apartment,9,Standard,Travel Agency,67.36,606.24,2.5,4.4,Low,2021-11-23,2021-12-02 00:00:00,Off-Peak,No,No,2
45,Male,Chinese,Business,6,Private Home,21,Deluxe,Online,294.32,6180.72,4.1,1.7,High,2021-11-24,2021-12-15 00:00:00,Peak,No,Yes,3
66,Female,Others,Business,4,Hostel,26,Suite,Travel Agency,334.57,8698.82,2.2,3.2,High,2021-11-25,2021-12-21 00:00:00,Off-Peak,No,No,2
74,Female,Chinese,Transit,6,Private Home,27,Deluxe,Direct Booking,869.59,23478.93,2.5,3.7,Low,2021-11-26,2021-12-23 00:00:00,Peak,Yes,Yes,3
56,Male,Australian,Leisure,3,Hostel,19,Standard,Online,448.73,8525.87,1.3,1.4,High,2021-11-27,2021-12-16 00:00:00,Off-Peak,No,No,1
59,Male,Chinese,Visiting Friends/Relatives,4,Others,24,Standard,Direct Booking,148.33,3559.92,1.8,2.3,High,2021-11-28,2021-12-22 00:00:00,Peak,Yes,Yes,0
53,Male,Indian,Business,5,Private Home,6,Deluxe,Travel Agency,515.04,3090.24,3.1,4.3,High,2021-11-29,2021-12-05 00:00:00,Off-Peak,No,Yes,1
52,Female,American,Visiting Friends/Relatives,4,Private Home,15,Standard,Travel Agency,970.21,14553.15,3.4,1.9,Moderate,2021-12-01,2021-12-16 00:00:00,Off-Peak,No,No,3
61,Male,British,Leisure,4,Serviced Apartment,21,Suite,Online,402.35,8449.35,2.9,2.7,None,2021-12-02,2021-12-23 00:00:00,Peak,Yes,No,3
28,Male,Indian,Visiting Friends/Relatives,7,Others,15,Deluxe,Travel Agency,261.1,3916.5,4.3,3.1,None,2021-12-03,2021-12-18 00:00:00,Peak,Yes,Yes,2
25,Female,Australian,Business,9,Serviced Apartment,11,Deluxe,Direct Booking,552.37,6076.07,1.3,2.2,Moderate,2021-12-04,2021-12-15 00:00:00,Peak,No,Yes,0
67,Female,Australian,Transit,4,Hostel,25,Suite,Travel Agency,740.65,18516.25,4,1.2,High,2021-12-05,2021-12-30 00:00:00,Peak,Yes,No,0
68,Female,British,Business,3,Others,23,Deluxe,Travel Agency,975.32,22432.36,1.7,5,Low,2021-12-06,2021-12-29 00:00:00,Peak,No,Yes,0
44,Female,Indian,Visiting Friends/Relatives,4,Hostel,26,Deluxe,Direct Booking,347.89,9045.14,2.8,2.4,High,2021-12-07,2022-01-02 00:00:00,Off-Peak,No,Yes,4
68,Female,Indian,Leisure,8,Hostel,12,Standard,Online,322,3864,4.5,1.1,Moderate,2021-12-08,2021-12-20 00:00:00,Peak,Yes,No,1
51,Male,Others,Transit,6,Private Home,16,Suite,Travel Agency,694.22,11107.52,1.2,3.3,Moderate,2021-12-09,2021-12-25 00:00:00,Peak,No,No,3
