Crime_Type,Incident_Date,Location,Report_Time,Weapon_Used,Victim_Age,Victim_Gender,Victim_Nationality,Offender_Age,Offender_Gender,Offender_Nationality,Previous_Offenses,Charges_Filed,Case_Outcome,Crime_Severity,Reported_to_Police,Public_Area,CCTV_Coverage,Community_Watch_Program
Drug Offense,2021-06-30 16:34:35,Central,2021-06-30 17:18:35,Other,33,Male,Others,27,Male,Indonesian,3,Yes,Pending,Major,No,Yes,No,Yes
Burglary,2021-07-01 18:51:31,West,2021-07-01 19:37:31,None,71,Female,Malaysian,71,Male,Indian,0,No,Convicted,Minor,No,Yes,Yes,Yes
Fraud,2021-07-02 21:08:28,Central,2021-07-02 21:13:28,None,47,Male,Others,32,Female,Others,4,No,Dismissed,Minor,Yes,No,Yes,Yes
Assault,2021-07-03 23:25:24,Central,2021-07-03 23:55:24,Firearm,63,Female,Others,19,Female,Indonesian,1,No,Convicted,Moderate,Yes,Yes,Yes,Yes
Burglary,2021-07-05 01:42:20,Central,2021-07-05 02:22:20,Firearm,71,Male,Singaporean,57,Female,Singaporean,6,Yes,Dismissed,Major,No,No,Yes,Yes
Theft,2021-07-06 03:59:16,East,2021-07-06 04:48:16,Knife,20,Female,Others,20,Male,Others,6,Yes,Acquitted,Moderate,Yes,Yes,No,Yes
Theft,2021-07-07 06:16:12,East,2021-07-07 06:29:12,Other,44,Female,Indonesian,68,Female,Singaporean,0,No,Convicted,Moderate,Yes,No,Yes,Yes
Drug Offense,2021-07-08 08:33:09,East,2021-07-08 09:00:09,Other,28,Male,Singaporean,62,Female,Singaporean,8,Yes,Pending,Minor,No,No,Yes,Yes
Vandalism,2021-07-09 10:50:05,North,2021-07-09 11:46:05,Firearm,24,Female,Singaporean,31,Male,Others,4,Yes,Pending,Major,No,Yes,No,Yes
Fraud,2021-07-10 13:07:01,South,2021-07-10 13:42:01,Other,64,Male,Singaporean,46,Male,Singaporean,1,Yes,Pending,Minor,No,Yes,No,Yes
Assault,2021-07-11 15:23:57,Central,2021-07-11 15:32:57,Knife,57,Male,Singaporean,54,Male,Indonesian,8,No,Dismissed,Moderate,Yes,Yes,No,No
Fraud,2021-07-12 17:40:54,South,2021-07-12 18:05:54,Firearm,60,Female,Malaysian,35,Female,Singaporean,2,Yes,Acquitted,Minor,No,Yes,No,Yes
Burglary,2021-07-13 19:57:50,West,2021-07-13 20:04:50,Other,63,Male,Malaysian,57,Male,Indian,6,Yes,Convicted,Major,Yes,Yes,Yes,Yes
Others,2021-07-14 22:14:46,East,2021-07-14 22:28:46,None,59,Female,Indian,69,Male,Others,7,Yes,Dismissed,Major,No,Yes,No,Yes
Vandalism,2021-07-16 00:31:42,South,2021-07-16 01:29:42,None,40,Female,Indian,73,Male,Indian,6,Yes,Acquitted,Moderate,No,No,No,Yes
Fraud,2021-07-17 02:48:38,West,2021-07-17 03:01:38,None,71,Female,Malaysian,42,Male,Singaporean,7,Yes,Convicted,Moderate,No,No,Yes,No
Assault,2021-07-18 05:05:35,North,2021-07-18 06:02:35,Firearm,60,Male,Indian,71,Male,Singaporean,4,No,Convicted,Moderate,Yes,No,Yes,No
Burglary,2021-07-19 07:22:31,East,2021-07-19 07:38:31,Firearm,21,Male,Indian,66,Male,Malaysian,3,No,Convicted,Major,Yes,Yes,Yes,No
Theft,2021-07-20 09:39:27,Central,2021-07-20 09:53:27,Other,78,Female,Others,22,Female,Indian,5,Yes,Dismissed,Minor,Yes,No,Yes,No
Theft,2021-07-21 11:56:23,South,2021-07-21 12:53:23,Firearm,62,Male,Malaysian,59,Male,Others,3,Yes,Dismissed,Minor,Yes,Yes,Yes,No
Vandalism,2021-07-22 14:13:20,South,2021-07-22 14:24:20,Firearm,43,Male,Others,30,Female,Others,3,No,Dismissed,Minor,No,No,Yes,No
Drug Offense,2021-07-23 16:30:16,East,2021-07-23 17:09:16,Firearm,45,Male,Singaporean,50,Male,Singaporean,2,No,Pending,Major,No,No,Yes,Yes
Theft,2021-07-24 18:47:12,South,2021-07-24 18:49:12,Firearm,72,Male,Others,67,Female,Indonesian,7,Yes,Pending,Major,Yes,No,No,Yes
Theft,2021-07-25 21:04:08,West,2021-07-25 21:08:08,Firearm,27,Male,Others,21,Male,Malaysian,2,Yes,Acquitted,Minor,Yes,Yes,Yes,Yes
Burglary,2021-07-26 23:21:04,East,2021-07-26 23:26:04,Knife,66,Male,Others,26,Male,Indian,8,No,Dismissed,Major,Yes,No,Yes,Yes
Theft,2021-07-28 01:38:01,East,2021-07-28 02:37:01,None,21,Female,Malaysian,18,Female,Malaysian,4,No,Dismissed,Moderate,Yes,No,Yes,Yes
Vandalism,2021-07-29 03:54:57,East,2021-07-29 04:08:57,Knife,66,Male,Singaporean,69,Male,Others,5,No,Pending,Major,No,Yes,No,No
Assault,2021-07-30 06:11:53,West,2021-07-30 06:40:53,Knife,32,Male,Indonesian,76,Male,Indian,7,Yes,Acquitted,Moderate,Yes,Yes,No,No
Fraud,2021-07-31 08:28:49,East,2021-07-31 09:25:49,Knife,62,Male,Others,45,Male,Others,1,Yes,Convicted,Minor,No,Yes,Yes,No
Others,2021-08-01 10:45:45,East,2021-08-01 11:24:45,Knife,57,Female,Singaporean,29,Male,Singaporean,6,Yes,Dismissed,Major,Yes,No,Yes,No
Others,2021-08-02 13:02:42,East,2021-08-02 13:52:42,None,57,Male,Others,63,Female,Indian,2,No,Acquitted,Major,Yes,Yes,Yes,Yes
Assault,2021-08-03 15:19:38,North,2021-08-03 15:56:38,None,19,Female,Singaporean,62,Female,Indian,3,No,Acquitted,Moderate,No,Yes,Yes,No
Assault,2021-08-04 17:36:34,West,2021-08-04 18:12:34,Firearm,56,Female,Indian,49,Male,Malaysian,8,No,Pending,Moderate,No,No,No,Yes
Fraud,2021-08-05 19:53:30,Central,2021-08-05 20:06:30,Other,19,Male,Singaporean,61,Female,Others,5,No,Pending,Major,No,No,No,No
Theft,2021-08-06 22:10:27,South,2021-08-06 22:30:27,Other,42,Male,Others,30,Female,Indonesian,9,Yes,Pending,Major,Yes,Yes,Yes,No
Drug Offense,2021-08-08 00:27:23,West,2021-08-08 01:17:23,None,78,Male,Indonesian,64,Male,Indian,0,No,Dismissed,Major,No,No,Yes,No
Assault,2021-08-09 02:44:19,South,2021-08-09 03:41:19,None,59,Male,Others,62,Male,Indian,1,No,Convicted,Moderate,Yes,No,No,Yes
Others,2021-08-10 05:01:15,North,2021-08-10 05:38:15,Other,41,Female,Indian,74,Female,Indonesian,8,Yes,Dismissed,Moderate,Yes,No,Yes,No
Drug Offense,2021-08-11 07:18:11,East,2021-08-11 08:14:11,Knife,18,Female,Singaporean,64,Male,Others,1,Yes,Convicted,Major,No,Yes,Yes,No
Vandalism,2021-08-12 09:35:08,West,2021-08-12 10:07:08,Other,73,Female,Others,69,Male,Malaysian,7,Yes,Pending,Moderate,Yes,No,Yes,Yes
Drug Offense,2021-08-13 11:52:04,North,2021-08-13 11:54:04,Knife,19,Female,Others,41,Female,Singaporean,5,No,Pending,Major,No,Yes,No,No
Assault,2021-08-14 14:09:00,East,2021-08-14 14:20:00,Knife,51,Female,Others,28,Male,Singaporean,0,No,Pending,Major,No,No,No,No
Assault,2021-08-15 16:25:56,Central,2021-08-15 16:46:56,Firearm,62,Male,Indonesian,19,Female,Others,2,Yes,Dismissed,Major,No,Yes,No,No
Others,2021-08-16 18:42:52,South,2021-08-16 19:29:52,Firearm,78,Female,Others,20,Male,Singaporean,2,Yes,Dismissed,Minor,Yes,No,No,Yes
Theft,2021-08-17 20:59:49,South,2021-08-17 21:12:49,Firearm,18,Male,Others,47,Male,Singaporean,8,No,Pending,Moderate,No,Yes,No,No
Theft,2021-08-18 23:16:45,North,2021-08-18 23:30:45,None,26,Male,Indonesian,65,Female,Indonesian,3,No,Dismissed,Minor,Yes,No,Yes,No
Vandalism,2021-08-20 01:33:41,West,2021-08-20 02:06:41,Other,58,Female,Others,48,Male,Indian,7,Yes,Convicted,Minor,No,No,Yes,No
Fraud,2021-08-21 03:50:37,East,2021-08-21 04:25:37,None,44,Male,Others,52,Female,Indian,8,No,Pending,Minor,No,No,No,No
Fraud,2021-08-22 06:07:34,North,2021-08-22 06:45:34,None,46,Male,Others,42,Female,Singaporean,4,Yes,Acquitted,Minor,Yes,Yes,Yes,Yes
Vandalism,2021-08-23 08:24:30,West,2021-08-23 09:23:30,Knife,67,Female,Indonesian,55,Male,Indonesian,4,Yes,Acquitted,Minor,Yes,Yes,Yes,Yes
Others,2021-08-24 10:41:26,South,2021-08-24 11:06:26,Firearm,70,Male,Singaporean,55,Male,Malaysian,2,Yes,Convicted,Major,Yes,No,Yes,No
Vandalism,2021-08-25 12:58:22,West,2021-08-25 13:15:22,Firearm,20,Female,Indian,55,Male,Singaporean,1,Yes,Convicted,Major,No,No,Yes,No
Drug Offense,2021-08-26 15:15:18,West,2021-08-26 15:55:18,Other,76,Female,Others,59,Female,Singaporean,6,Yes,Acquitted,Minor,Yes,Yes,No,Yes
Assault,2021-08-27 17:32:15,South,2021-08-27 18:06:15,Knife,32,Female,Indian,77,Male,Indian,4,Yes,Dismissed,Major,No,Yes,No,Yes
Assault,2021-08-28 19:49:11,South,2021-08-28 20:11:11,Firearm,39,Male,Singaporean,65,Male,Malaysian,1,No,Pending,Moderate,No,Yes,No,No
Others,2021-08-29 22:06:07,East,2021-08-29 22:52:07,None,38,Male,Indian,35,Female,Others,5,Yes,Pending,Moderate,Yes,No,Yes,No
Vandalism,2021-08-31 00:23:03,North,2021-08-31 00:32:03,Other,50,Male,Others,55,Male,Indian,7,No,Convicted,Major,Yes,No,Yes,No
Drug Offense,2021-09-01 02:40:00,North,2021-09-01 03:23:00,Firearm,53,Female,Singaporean,40,Male,Singaporean,6,No,Acquitted,Minor,Yes,No,No,No
Others,2021-09-02 04:56:56,East,2021-09-02 05:54:56,None,36,Female,Others,52,Female,Indonesian,1,No,Convicted,Minor,Yes,Yes,Yes,Yes
Fraud,2021-09-03 07:13:52,East,2021-09-03 07:36:52,Firearm,57,Male,Singaporean,61,Female,Singaporean,2,No,Pending,Moderate,Yes,Yes,Yes,Yes
Fraud,2021-09-04 09:30:48,Central,2021-09-04 09:45:48,Knife,52,Female,Others,21,Male,Malaysian,2,No,Acquitted,Major,No,Yes,Yes,Yes
Fraud,2021-09-05 11:47:44,East,2021-09-05 12:33:44,Other,71,Female,Singaporean,28,Female,Singaporean,0,Yes,Pending,Minor,No,No,No,Yes
Vandalism,2021-09-06 14:04:41,East,2021-09-06 14:23:41,None,60,Female,Malaysian,60,Male,Indonesian,7,No,Acquitted,Minor,Yes,No,No,No
Burglary,2021-09-07 16:21:37,Central,2021-09-07 16:49:37,Other,64,Male,Indonesian,25,Male,Others,5,No,Convicted,Minor,Yes,Yes,Yes,Yes
Drug Offense,2021-09-08 18:38:33,Central,2021-09-08 19:36:33,Other,57,Male,Malaysian,18,Male,Singaporean,8,No,Convicted,Major,No,No,No,No
Burglary,2021-09-09 20:55:29,South,2021-09-09 21:14:29,Firearm,78,Female,Indian,27,Female,Singaporean,9,No,Acquitted,Major,No,Yes,Yes,No
Drug Offense,2021-09-10 23:12:25,East,2021-09-10 23:54:25,Other,28,Male,Others,28,Female,Indian,9,Yes,Acquitted,Minor,No,No,Yes,No
Drug Offense,2021-09-12 01:29:22,North,2021-09-12 01:54:22,Knife,77,Male,Indonesian,34,Male,Singaporean,0,Yes,Pending,Minor,Yes,Yes,Yes,No
Burglary,2021-09-13 03:46:18,South,2021-09-13 04:26:18,Firearm,22,Female,Singaporean,69,Female,Indonesian,4,Yes,Dismissed,Minor,No,No,Yes,No
Drug Offense,2021-09-14 06:03:14,South,2021-09-14 06:07:14,Other,72,Female,Singaporean,52,Male,Malaysian,0,No,Pending,Moderate,No,No,Yes,No
Others,2021-09-15 08:20:10,South,2021-09-15 08:37:10,Knife,38,Female,Others,21,Male,Others,0,Yes,Acquitted,Major,No,No,Yes,Yes
Others,2021-09-16 10:37:07,East,2021-09-16 10:38:07,None,56,Female,Indonesian,65,Male,Indian,7,Yes,Convicted,Major,Yes,No,No,No
Burglary,2021-09-17 12:54:03,West,2021-09-17 13:33:03,Other,74,Male,Singaporean,74,Male,Indian,7,Yes,Acquitted,Moderate,No,No,No,Yes
Drug Offense,2021-09-18 15:10:59,South,2021-09-18 15:42:59,Knife,22,Male,Others,22,Male,Malaysian,3,No,Acquitted,Major,Yes,Yes,Yes,No
Assault,2021-09-19 17:27:55,North,2021-09-19 17:36:55,Firearm,39,Male,Singaporean,72,Female,Others,0,Yes,Dismissed,Minor,Yes,Yes,No,No
Assault,2021-09-20 19:44:51,North,2021-09-20 20:17:51,Other,79,Female,Others,60,Female,Malaysian,9,No,Convicted,Major,No,No,Yes,Yes
Assault,2021-09-21 22:01:48,South,2021-09-21 22:38:48,Firearm,68,Female,Indian,67,Male,Singaporean,1,Yes,Convicted,Moderate,Yes,Yes,Yes,Yes
Burglary,2021-09-23 00:18:44,West,2021-09-23 01:12:44,Knife,50,Female,Indonesian,21,Female,Indonesian,1,Yes,Pending,Moderate,Yes,No,No,Yes
Theft,2021-09-24 02:35:40,West,2021-09-24 03:22:40,Knife,62,Female,Malaysian,67,Female,Malaysian,2,No,Convicted,Moderate,Yes,No,No,No
Theft,2021-09-25 04:52:36,North,2021-09-25 05:29:36,Other,42,Female,Indonesian,65,Male,Indonesian,1,No,Convicted,Major,Yes,No,Yes,Yes
Assault,2021-09-26 07:09:32,Central,2021-09-26 07:33:32,Other,23,Female,Malaysian,24,Male,Indonesian,7,Yes,Acquitted,Moderate,Yes,Yes,Yes,No
Others,2021-09-27 09:26:29,East,2021-09-27 09:44:29,Other,56,Male,Singaporean,70,Male,Indonesian,8,No,Dismissed,Moderate,Yes,No,Yes,Yes
Burglary,2021-09-28 11:43:25,South,2021-09-28 12:30:25,Knife,79,Female,Indian,66,Female,Indonesian,3,Yes,Dismissed,Moderate,Yes,Yes,No,No
Fraud,2021-09-29 14:00:21,West,2021-09-29 14:29:21,None,63,Male,Indian,39,Female,Indian,9,No,Dismissed,Minor,Yes,No,Yes,No
Drug Offense,2021-09-30 16:17:17,South,2021-09-30 16:26:17,Firearm,69,Male,Indonesian,31,Female,Malaysian,9,Yes,Convicted,Moderate,Yes,Yes,No,No
Theft,2021-10-01 18:34:14,East,2021-10-01 18:39:14,Firearm,27,Male,Indonesian,39,Female,Indian,3,No,Dismissed,Major,No,No,No,No
Drug Offense,2021-10-02 20:51:10,Central,2021-10-02 20:57:10,Other,64,Female,Indian,44,Male,Singaporean,0,Yes,Dismissed,Minor,No,Yes,Yes,Yes
Burglary,2021-10-03 23:08:06,East,2021-10-04 00:02:06,Firearm,79,Female,Malaysian,28,Female,Indonesian,0,Yes,Pending,Major,No,Yes,Yes,No
Assault,2021-10-05 01:25:02,Central,2021-10-05 02:17:02,None,58,Female,Malaysian,46,Female,Singaporean,3,No,Acquitted,Moderate,Yes,No,Yes,Yes
Assault,2021-10-06 03:41:58,East,2021-10-06 04:19:58,Other,78,Female,Indian,51,Male,Indonesian,1,No,Pending,Moderate,Yes,No,Yes,No
Drug Offense,2021-10-07 05:58:55,East,2021-10-07 06:26:55,Other,37,Female,Others,68,Female,Others,8,Yes,Acquitted,Minor,No,No,Yes,Yes
Fraud,2021-10-08 08:15:51,North,2021-10-08 09:05:51,Firearm,54,Female,Malaysian,56,Female,Indian,6,Yes,Acquitted,Moderate,Yes,Yes,No,Yes
Burglary,2021-10-09 10:32:47,West,2021-10-09 11:27:47,None,73,Female,Indian,39,Male,Others,8,Yes,Pending,Minor,No,No,Yes,Yes
Vandalism,2021-10-10 12:49:43,West,2021-10-10 13:29:43,None,77,Male,Indonesian,47,Male,Malaysian,4,No,Dismissed,Moderate,Yes,No,Yes,No
Drug Offense,2021-10-11 15:06:40,North,2021-10-11 15:35:40,Firearm,35,Male,Malaysian,24,Female,Indonesian,5,Yes,Acquitted,Major,Yes,Yes,No,No
Fraud,2021-10-12 17:23:36,Central,2021-10-12 17:35:36,None,18,Male,Indonesian,71,Female,Malaysian,2,Yes,Dismissed,Moderate,No,Yes,No,No
Fraud,2021-10-13 19:40:32,South,2021-10-13 20:16:32,Firearm,51,Female,Malaysian,40,Female,Indonesian,4,No,Dismissed,Minor,No,Yes,Yes,No
Others,2021-10-14 21:57:28,North,2021-10-14 22:55:28,Knife,56,Female,Singaporean,23,Male,Indian,3,No,Convicted,Major,No,No,No,No
Vandalism,2021-10-16 00:14:24,East,2021-10-16 00:19:24,Knife,63,Male,Singaporean,62,Male,Malaysian,0,Yes,Convicted,Moderate,No,Yes,Yes,Yes
Others,2021-10-17 02:31:21,West,2021-10-17 02:54:21,Firearm,30,Female,Indian,60,Male,Indian,9,No,Convicted,Moderate,Yes,Yes,Yes,No
Theft,2021-10-18 04:48:17,South,2021-10-18 05:33:17,Other,19,Female,Others,21,Female,Indian,1,Yes,Dismissed,Moderate,Yes,Yes,Yes,Yes
Vandalism,2021-10-19 07:05:13,North,2021-10-19 07:41:13,Knife,43,Male,Malaysian,64,Male,Indonesian,8,No,Dismissed,Moderate,No,No,No,Yes
Vandalism,2021-10-20 09:22:09,West,2021-10-20 09:23:09,None,69,Female,Singaporean,42,Male,Indian,8,No,Convicted,Minor,No,No,No,Yes
Vandalism,2021-10-21 11:39:05,East,2021-10-21 12:19:05,Firearm,65,Female,Malaysian,19,Male,Others,1,Yes,Acquitted,Moderate,Yes,Yes,Yes,No
Drug Offense,2021-10-22 13:56:02,East,2021-10-22 14:43:02,Knife,71,Male,Indian,44,Male,Indian,8,No,Acquitted,Minor,Yes,Yes,No,No
Others,2021-10-23 16:12:58,East,2021-10-23 16:42:58,None,53,Female,Singaporean,57,Female,Malaysian,6,No,Dismissed,Moderate,No,Yes,Yes,Yes
Drug Offense,2021-10-24 18:29:54,Central,2021-10-24 18:58:54,Other,71,Male,Indian,26,Male,Singaporean,6,No,Convicted,Major,Yes,Yes,Yes,No
Fraud,2021-10-25 20:46:50,North,2021-10-25 21:29:50,Knife,68,Female,Malaysian,57,Female,Malaysian,1,No,Acquitted,Moderate,No,Yes,Yes,No
Assault,2021-10-26 23:03:47,Central,2021-10-26 23:17:47,None,22,Male,Others,72,Female,Malaysian,4,No,Convicted,Moderate,No,No,Yes,Yes
Burglary,2021-10-28 01:20:43,West,2021-10-28 01:41:43,Firearm,21,Female,Malaysian,44,Female,Singaporean,7,Yes,Pending,Major,Yes,Yes,Yes,Yes
Vandalism,2021-10-29 03:37:39,West,2021-10-29 04:20:39,None,54,Female,Indian,49,Male,Malaysian,1,Yes,Dismissed,Moderate,Yes,No,Yes,No
Others,2021-10-30 05:54:35,East,2021-10-30 06:34:35,Knife,32,Male,Malaysian,26,Female,Singaporean,3,Yes,Acquitted,Minor,Yes,Yes,Yes,No
Fraud,2021-10-31 08:11:31,North,2021-10-31 08:26:31,None,71,Female,Malaysian,46,Male,Others,7,No,Acquitted,Minor,Yes,Yes,No,No
Burglary,2021-11-01 10:28:28,West,2021-11-01 11:01:28,Firearm,22,Male,Others,50,Male,Malaysian,1,No,Dismissed,Minor,Yes,No,No,Yes
Vandalism,2021-11-02 12:45:24,Central,2021-11-02 13:15:24,Knife,78,Female,Others,49,Male,Malaysian,0,No,Dismissed,Minor,No,Yes,Yes,Yes
Burglary,2021-11-03 15:02:20,Central,2021-11-03 15:51:20,None,65,Male,Indian,78,Female,Indian,0,Yes,Convicted,Major,Yes,Yes,Yes,Yes
Drug Offense,2021-11-04 17:19:16,North,2021-11-04 18:01:16,Firearm,40,Female,Indonesian,53,Female,Others,8,No,Acquitted,Minor,No,No,No,No
Fraud,2021-11-05 19:36:12,West,2021-11-05 20:29:12,Knife,35,Male,Indonesian,73,Male,Malaysian,5,No,Acquitted,Minor,No,Yes,Yes,No
Others,2021-11-06 21:53:09,South,2021-11-06 22:19:09,None,52,Male,Indian,55,Male,Indian,3,No,Pending,Major,Yes,No,No,Yes
Vandalism,2021-11-08 00:10:05,West,2021-11-08 00:36:05,None,54,Female,Singaporean,70,Female,Singaporean,7,Yes,Convicted,Major,Yes,No,No,Yes
Theft,2021-11-09 02:27:01,Central,2021-11-09 02:48:01,Other,61,Female,Others,45,Female,Singaporean,0,No,Acquitted,Major,Yes,No,No,No
Vandalism,2021-11-10 04:43:57,South,2021-11-10 05:11:57,None,61,Male,Indian,44,Female,Malaysian,2,No,Dismissed,Major,Yes,No,Yes,Yes
Theft,2021-11-11 07:00:54,East,2021-11-11 07:32:54,Firearm,73,Female,Indian,34,Male,Indian,2,No,Convicted,Major,No,No,Yes,Yes
Assault,2021-11-12 09:17:50,East,2021-11-12 09:38:50,None,49,Female,Indonesian,37,Male,Indian,5,No,Pending,Minor,Yes,No,Yes,No
Theft,2021-11-13 11:34:46,Central,2021-11-13 12:12:46,Firearm,75,Male,Others,45,Female,Malaysian,3,No,Pending,Moderate,No,No,Yes,No
Fraud,2021-11-14 13:51:42,North,2021-11-14 13:57:42,None,57,Female,Singaporean,56,Male,Others,3,Yes,Pending,Moderate,Yes,No,No,No
Theft,2021-11-15 16:08:38,West,2021-11-15 16:18:38,Firearm,54,Male,Others,57,Female,Malaysian,2,No,Convicted,Minor,Yes,Yes,No,No
Others,2021-11-16 18:25:35,North,2021-11-16 19:22:35,Firearm,67,Male,Indonesian,61,Male,Indonesian,9,No,Dismissed,Minor,No,No,Yes,No
Assault,2021-11-17 20:42:31,South,2021-11-17 21:12:31,Knife,31,Male,Singaporean,54,Female,Indonesian,4,Yes,Pending,Moderate,No,No,No,No
Burglary,2021-11-18 22:59:27,Central,2021-11-18 23:07:27,Other,26,Female,Others,25,Female,Others,4,Yes,Acquitted,Moderate,No,Yes,No,No
Assault,2021-11-20 01:16:23,Central,2021-11-20 02:12:23,Firearm,64,Female,Others,20,Male,Malaysian,2,No,Acquitted,Major,No,Yes,No,No
Vandalism,2021-11-21 03:33:20,East,2021-11-21 04:10:20,None,51,Female,Others,42,Female,Indonesian,1,Yes,Convicted,Major,Yes,No,No,Yes
Fraud,2021-11-22 05:50:16,East,2021-11-22 06:45:16,Firearm,41,Male,Malaysian,27,Male,Indian,5,No,Dismissed,Major,No,No,No,No
Vandalism,2021-11-23 08:07:12,South,2021-11-23 08:49:12,Firearm,38,Female,Singaporean,74,Female,Indian,5,No,Pending,Major,No,No,No,No
Others,2021-11-24 10:24:08,East,2021-11-24 11:09:08,Knife,54,Female,Indonesian,34,Male,Malaysian,0,Yes,Convicted,Moderate,Yes,No,No,Yes
Fraud,2021-11-25 12:41:04,South,2021-11-25 13:28:04,Firearm,29,Male,Others,76,Male,Indian,0,No,Acquitted,Moderate,No,No,Yes,Yes
Drug Offense,2021-11-26 14:58:01,Central,2021-11-26 15:09:01,None,51,Male,Others,34,Female,Singaporean,5,No,Dismissed,Minor,No,Yes,No,No
Others,2021-11-27 17:14:57,West,2021-11-27 17:19:57,Other,22,Male,Indonesian,60,Male,Indian,0,No,Pending,Major,Yes,No,No,No
Others,2021-11-28 19:31:53,South,2021-11-28 20:11:53,Other,24,Female,Others,70,Male,Singaporean,3,No,Dismissed,Moderate,Yes,No,Yes,Yes
Theft,2021-11-29 21:48:49,North,2021-11-29 22:27:49,Firearm,65,Female,Singaporean,25,Female,Others,8,Yes,Dismissed,Minor,No,Yes,Yes,No
Theft,2021-12-01 00:05:45,West,2021-12-01 00:19:45,Other,53,Male,Singaporean,26,Male,Indian,1,No,Acquitted,Moderate,No,Yes,No,No
Assault,2021-12-02 02:22:42,East,2021-12-02 03:05:42,Firearm,64,Male,Malaysian,24,Male,Malaysian,8,Yes,Dismissed,Minor,Yes,Yes,No,No
Theft,2021-12-03 04:39:38,South,2021-12-03 05:08:38,Knife,34,Male,Malaysian,79,Female,Singaporean,7,Yes,Convicted,Major,No,No,Yes,No
Drug Offense,2021-12-04 06:56:34,Central,2021-12-04 07:55:34,None,30,Male,Singaporean,51,Male,Malaysian,8,No,Convicted,Major,No,Yes,Yes,Yes
Theft,2021-12-05 09:13:30,West,2021-12-05 09:18:30,Other,45,Female,Indian,37,Male,Singaporean,8,Yes,Pending,Major,No,No,Yes,Yes
Drug Offense,2021-12-06 11:30:27,South,2021-12-06 12:09:27,None,52,Male,Singaporean,40,Female,Indian,4,No,Dismissed,Major,No,No,Yes,No
Theft,2021-12-07 13:47:23,West,2021-12-07 14:02:23,Knife,57,Male,Singaporean,70,Female,Singaporean,0,No,Pending,Moderate,Yes,No,Yes,No
Burglary,2021-12-08 16:04:19,North,2021-12-08 16:30:19,None,32,Male,Indian,44,Male,Singaporean,2,No,Dismissed,Minor,Yes,Yes,No,Yes
Burglary,2021-12-09 18:21:15,East,2021-12-09 18:57:15,None,42,Male,Indian,54,Male,Indonesian,8,Yes,Convicted,Major,Yes,No,Yes,No
Burglary,2021-12-10 20:38:11,South,2021-12-10 21:12:11,None,79,Male,Singaporean,57,Female,Indonesian,7,Yes,Acquitted,Minor,Yes,No,No,Yes
Vandalism,2021-12-11 22:55:08,East,2021-12-11 23:41:08,None,23,Female,Indian,60,Female,Malaysian,1,Yes,Dismissed,Moderate,Yes,No,No,No
Theft,2021-12-13 01:12:04,East,2021-12-13 01:42:04,Knife,30,Female,Indian,73,Female,Indian,2,No,Acquitted,Moderate,No,No,No,No
Assault,2021-12-14 03:29:00,Central,2021-12-14 03:46:00,Other,76,Female,Singaporean,18,Male,Singaporean,9,No,Pending,Major,No,No,Yes,Yes
Others,2021-12-15 05:45:56,South,2021-12-15 06:26:56,Firearm,59,Female,Indian,23,Female,Indonesian,9,No,Pending,Minor,Yes,No,Yes,Yes
Fraud,2021-12-16 08:02:52,Central,2021-12-16 08:13:52,Firearm,44,Male,Indonesian,64,Male,Malaysian,7,Yes,Acquitted,Major,Yes,No,No,No
Burglary,2021-12-17 10:19:49,East,2021-12-17 10:33:49,Knife,25,Male,Indian,61,Male,Indian,5,Yes,Pending,Major,No,Yes,No,No
Burglary,2021-12-18 12:36:45,East,2021-12-18 13:32:45,Other,48,Male,Others,28,Female,Others,6,Yes,Convicted,Minor,Yes,No,No,No
Assault,2021-12-19 14:53:41,North,2021-12-19 15:11:41,Other,77,Female,Others,70,Female,Indian,6,Yes,Dismissed,Moderate,Yes,No,No,No
Burglary,2021-12-20 17:10:37,Central,2021-12-20 17:44:37,Other,74,Female,Singaporean,34,Male,Singaporean,9,Yes,Pending,Minor,No,No,Yes,Yes
Others,2021-12-21 19:27:34,West,2021-12-21 19:28:34,Other,78,Female,Singaporean,51,Female,Singaporean,4,No,Dismissed,Minor,Yes,No,Yes,Yes
Theft,2021-12-22 21:44:30,Central,2021-12-22 21:54:30,None,19,Male,Others,35,Female,Others,2,Yes,Dismissed,Major,No,No,No,Yes
Theft,2021-12-24 00:01:26,North,2021-12-24 00:05:26,Firearm,19,Female,Singaporean,62,Male,Others,5,No,Convicted,Major,Yes,No,Yes,No
Burglary,2021-12-25 02:18:22,West,2021-12-25 02:51:22,Other,42,Female,Malaysian,48,Male,Singaporean,2,No,Dismissed,Minor,No,Yes,Yes,Yes
Burglary,2021-12-26 04:35:18,South,2021-12-26 05:12:18,Firearm,25,Male,Others,27,Female,Others,6,Yes,Acquitted,Major,No,No,Yes,No
Burglary,2021-12-27 06:52:15,South,2021-12-27 07:29:15,Firearm,75,Male,Indonesian,46,Female,Indian,9,No,Pending,Moderate,No,No,No,Yes
Others,2021-12-28 09:09:11,East,2021-12-28 10:01:11,None,37,Female,Singaporean,42,Female,Others,1,No,Acquitted,Minor,No,Yes,Yes,No
Drug Offense,2021-12-29 11:26:07,South,2021-12-29 11:36:07,Firearm,29,Male,Singaporean,70,Male,Indonesian,8,Yes,Pending,Major,Yes,No,Yes,No
