Age,Gender,Major,GPA,Enrollment_Status,Year_in_Program,Extracurricular_Activity,Nationality,Language_Spoken,Study_Abroad_Interest,Scholarship_Status,Dormitory_Resident,Visa_Status,Previous_Education,Parental_Occupation,Financial_Aid,Interview_Date
22,Female,Business,3.17,Part-time,2,Volunteering,Malaysian,English,Yes,Non-Recipient,Yes,Others,Others,Education,Yes,2023-12-02
18,Male,Machine Learning,3.6,Full-time,3,Arts,Malaysian,Tamil,Yes,Non-Recipient,No,Others,Local School,Business,Yes,2022-11-13
19,Male,FinTech,3.9,Full-time,2,Volunteering,Indonesian,Others,Yes,Non-Recipient,No,Student Visa,Local School,Business,Yes,2022-07-14
23,Male,Business,3.78,Full-time,2,Sports,Indian,Others,No,Recipient,Yes,Permanent Resident,Others,Business,Yes,2022-05-28
23,Male,Hospitality Management,3.28,Full-time,3,Arts,Indonesian,Others,No,Non-Recipient,No,Citizen,Home Schooling,Service,No,2023-09-19
19,Female,Business,2.59,Part-time,2,Volunteering,Malaysian,Others,No,Non-Recipient,Yes,Student Visa,Home Schooling,Others,No,2022-11-03
24,Male,Hospitality Management,3.26,Full-time,1,Volunteering,Indonesian,English,Yes,Recipient,Yes,Others,International School,Education,No,2022-12-03
21,Female,Business,2.62,Part-time,3,None,Singaporean,Tamil,No,Recipient,No,Student Visa,Local School,Business,No,2023-01-27
22,Male,FinTech,2.16,Full-time,3,None,Singaporean,Malay,No,Recipient,No,Others,Local School,Service,Yes,2021-08-21
21,Female,Business,2.21,Part-time,1,None,Others,Tamil,Yes,Recipient,No,Student Visa,International School,Service,No,2023-11-20
22,Female,Machine Learning,2.88,Full-time,2,Volunteering,Indian,English,Yes,Recipient,No,Citizen,Others,Education,No,2023-10-13
20,Male,AI,3.23,Part-time,4,Volunteering,Singaporean,Malay,No,Recipient,No,Others,Local School,Others,No,2022-06-05
21,Female,Business,2.42,Full-time,4,None,Indonesian,English,No,Non-Recipient,Yes,Others,Others,Service,No,2021-03-10
18,Male,Information Technology,3.48,Part-time,1,Sports,Indian,English,No,Non-Recipient,Yes,Others,Local School,Education,Yes,2021-08-24
21,Female,FinTech,3.75,Full-time,1,Volunteering,Indonesian,Tamil,Yes,Non-Recipient,No,Permanent Resident,International School,Healthcare,No,2023-01-04
23,Male,Service Training,2.42,Full-time,3,Volunteering,Others,Others,No,Recipient,Yes,Student Visa,International School,Others,Yes,2022-03-24
21,Female,Machine Learning,2.21,Full-time,4,Volunteering,Singaporean,Malay,Yes,Non-Recipient,No,Permanent Resident,Home Schooling,Business,Yes,2022-11-21
20,Female,Service Training,2.11,Full-time,3,Volunteering,Indonesian,Others,No,Non-Recipient,Yes,Permanent Resident,Home Schooling,Service,No,2022-02-19
19,Female,Business,3.34,Full-time,3,Arts,Singaporean,Tamil,No,Recipient,No,Others,International School,Education,Yes,2021-07-18
18,Female,Service Training,3.21,Part-time,2,Sports,Others,Tamil,Yes,Non-Recipient,Yes,Permanent Resident,Local School,Education,Yes,2021-03-04
20,Female,FinTech,3.68,Full-time,1,Volunteering,Indian,Mandarin,Yes,Non-Recipient,No,Permanent Resident,Others,Education,No,2022-06-14
18,Male,Service Training,3.42,Part-time,3,Volunteering,Singaporean,Mandarin,Yes,Non-Recipient,No,Permanent Resident,International School,Healthcare,No,2022-03-10
21,Male,Machine Learning,3.8,Part-time,1,Sports,Others,Tamil,No,Recipient,No,Permanent Resident,Local School,Education,No,2023-11-04
24,Female,AI,3.66,Part-time,3,Arts,Malaysian,Tamil,Yes,Non-Recipient,No,Citizen,Others,Education,No,2023-12-21
18,Male,Service Training,2.48,Part-time,1,Arts,Others,Malay,Yes,Non-Recipient,No,Permanent Resident,Local School,Business,No,2022-09-06
19,Female,Information Technology,2.84,Part-time,3,Arts,Malaysian,Others,Yes,Recipient,No,Citizen,Local School,Service,Yes,2023-01-06
19,Male,Information Technology,2.31,Part-time,1,Volunteering,Indian,Mandarin,Yes,Recipient,No,Student Visa,International School,Healthcare,Yes,2023-05-16
18,Female,Machine Learning,3.66,Full-time,3,None,Singaporean,Mandarin,No,Non-Recipient,No,Citizen,Home Schooling,Service,Yes,2023-06-10
21,Female,FinTech,3.25,Full-time,4,Arts,Indian,Malay,Yes,Recipient,Yes,Others,International School,Education,Yes,2023-01-15
24,Male,Hospitality Management,3.26,Full-time,3,Arts,Malaysian,Others,Yes,Non-Recipient,Yes,Student Visa,Local School,Business,No,2021-05-27
23,Male,Service Training,2.76,Part-time,3,Arts,Others,Mandarin,No,Recipient,No,Citizen,International School,Healthcare,Yes,2022-04-23
21,Male,AI,3.13,Part-time,2,None,Singaporean,Others,Yes,Non-Recipient,No,Permanent Resident,Local School,Business,Yes,2021-08-13
24,Male,FinTech,2.36,Full-time,1,Arts,Malaysian,Others,Yes,Non-Recipient,Yes,Student Visa,International School,Others,Yes,2023-10-24
18,Female,Service Training,2.66,Full-time,2,Volunteering,Indonesian,Tamil,No,Non-Recipient,No,Student Visa,Local School,Business,Yes,2021-02-22
24,Female,AI,3.63,Full-time,2,Arts,Indonesian,Malay,Yes,Non-Recipient,No,Others,International School,Healthcare,Yes,2023-03-25
22,Male,Information Technology,2.86,Full-time,4,None,Indonesian,English,Yes,Recipient,Yes,Student Visa,Others,Service,Yes,2021-05-05
20,Male,AI,2.25,Full-time,2,None,Indian,Malay,No,Non-Recipient,No,Citizen,Local School,Education,Yes,2022-07-09
22,Male,Business,2.82,Part-time,4,Arts,Indian,Malay,No,Non-Recipient,Yes,Permanent Resident,Local School,Service,No,2023-04-13
20,Male,Business,2.03,Part-time,4,None,Malaysian,Mandarin,No,Non-Recipient,No,Permanent Resident,Home Schooling,Education,No,2023-10-28
21,Female,Hospitality Management,3.5,Full-time,1,Sports,Indonesian,Malay,Yes,Recipient,Yes,Permanent Resident,Local School,Service,Yes,2022-07-24
19,Male,Business,2.17,Full-time,3,Volunteering,Singaporean,Mandarin,Yes,Recipient,No,Permanent Resident,Others,Education,Yes,2022-08-28
20,Female,Hospitality Management,2.15,Full-time,4,Volunteering,Others,Malay,Yes,Non-Recipient,No,Student Visa,International School,Business,Yes,2022-09-27
18,Female,Information Technology,3.22,Part-time,4,Arts,Others,Tamil,Yes,Recipient,Yes,Others,Others,Education,No,2023-11-16
20,Female,Machine Learning,3.35,Part-time,3,Arts,Singaporean,Malay,Yes,Recipient,Yes,Student Visa,Others,Business,Yes,2022-05-04
20,Male,Information Technology,3.18,Full-time,3,Arts,Malaysian,Tamil,Yes,Recipient,No,Permanent Resident,Local School,Business,No,2021-11-10
19,Male,Hospitality Management,3.16,Full-time,3,Sports,Malaysian,Tamil,Yes,Recipient,Yes,Others,Home Schooling,Others,No,2021-12-26
24,Female,Hospitality Management,3.76,Full-time,2,None,Malaysian,Tamil,Yes,Non-Recipient,No,Others,Local School,Others,Yes,2021-11-26
19,Male,Hospitality Management,2.72,Part-time,1,None,Singaporean,Tamil,No,Recipient,Yes,Permanent Resident,Local School,Others,No,2023-03-18
20,Male,Information Technology,3,Full-time,3,None,Singaporean,Mandarin,Yes,Non-Recipient,Yes,Permanent Resident,Others,Education,Yes,2022-07-23
21,Male,Information Technology,3.6,Full-time,2,Volunteering,Indonesian,Others,Yes,Recipient,No,Permanent Resident,Local School,Others,Yes,2023-08-17
20,Male,Service Training,3.7,Part-time,4,Sports,Indian,English,No,Non-Recipient,No,Others,Local School,Healthcare,No,2023-10-06
18,Male,Machine Learning,3.01,Part-time,2,Sports,Singaporean,Mandarin,No,Non-Recipient,Yes,Citizen,Others,Others,No,2021-11-28
23,Male,AI,3.78,Part-time,1,Volunteering,Singaporean,Mandarin,Yes,Recipient,No,Permanent Resident,Others,Service,No,2021-07-02
21,Male,Information Technology,3.74,Full-time,2,Volunteering,Singaporean,Others,Yes,Non-Recipient,Yes,Others,Others,Education,No,2022-07-21
24,Male,Machine Learning,2.99,Part-time,2,Volunteering,Singaporean,Others,Yes,Recipient,Yes,Student Visa,Local School,Service,No,2021-03-15
22,Female,AI,3.37,Full-time,1,Arts,Indian,Tamil,Yes,Recipient,Yes,Others,Others,Service,No,2022-07-22
23,Female,Information Technology,3.15,Full-time,3,Sports,Indonesian,English,No,Non-Recipient,No,Permanent Resident,Others,Service,No,2023-08-26
21,Female,Business,2.79,Part-time,2,None,Indian,Others,Yes,Recipient,Yes,Others,Home Schooling,Healthcare,Yes,2022-07-08
20,Male,Hospitality Management,2.04,Full-time,4,Arts,Singaporean,Others,No,Recipient,Yes,Others,Local School,Healthcare,Yes,2023-02-11
24,Female,Service Training,3.05,Part-time,1,Volunteering,Indonesian,Tamil,No,Recipient,Yes,Citizen,International School,Service,Yes,2021-05-05
22,Male,AI,2.37,Full-time,1,None,Indonesian,Others,Yes,Recipient,Yes,Student Visa,Home Schooling,Healthcare,Yes,2022-11-21
19,Female,Machine Learning,2.64,Part-time,2,Volunteering,Indonesian,Tamil,No,Recipient,No,Permanent Resident,International School,Others,Yes,2022-11-01
21,Male,Information Technology,3.67,Part-time,1,Sports,Singaporean,Mandarin,Yes,Non-Recipient,No,Student Visa,International School,Education,No,2022-04-02
21,Male,Machine Learning,2.16,Full-time,4,Sports,Others,Mandarin,No,Recipient,Yes,Student Visa,International School,Healthcare,Yes,2023-10-19
20,Male,Information Technology,2.66,Part-time,3,Arts,Indian,Tamil,Yes,Non-Recipient,No,Others,International School,Healthcare,Yes,2022-11-08
21,Male,Business,3.7,Full-time,1,None,Malaysian,Malay,No,Non-Recipient,Yes,Student Visa,Local School,Education,Yes,2021-11-21
21,Male,Business,3.37,Full-time,4,Sports,Indian,English,Yes,Non-Recipient,No,Citizen,International School,Education,No,2022-02-06
22,Female,Information Technology,2.66,Part-time,3,Sports,Indonesian,English,No,Non-Recipient,No,Others,Others,Business,No,2022-01-11
21,Male,Hospitality Management,2.32,Full-time,3,None,Others,Malay,Yes,Non-Recipient,No,Citizen,Home Schooling,Healthcare,No,2021-03-12
21,Male,Service Training,3.66,Full-time,4,Arts,Indonesian,English,No,Recipient,No,Permanent Resident,Home Schooling,Healthcare,No,2022-12-19
18,Female,Machine Learning,3.83,Part-time,1,Volunteering,Others,Malay,No,Non-Recipient,No,Permanent Resident,Home Schooling,Healthcare,No,2021-04-07
18,Female,Service Training,2.78,Full-time,4,None,Others,English,No,Recipient,Yes,Others,International School,Healthcare,Yes,2022-04-04
21,Male,Machine Learning,3.8,Full-time,3,None,Others,Mandarin,No,Non-Recipient,No,Student Visa,Others,Education,Yes,2022-12-04
22,Female,AI,3.03,Full-time,4,None,Indian,English,Yes,Non-Recipient,Yes,Student Visa,Home Schooling,Education,Yes,2021-04-02
23,Male,Machine Learning,3.76,Full-time,1,None,Malaysian,Mandarin,Yes,Non-Recipient,Yes,Student Visa,Others,Service,Yes,2021-07-03
18,Female,FinTech,3.6,Full-time,4,Sports,Indian,Malay,No,Recipient,No,Citizen,Local School,Healthcare,No,2021-09-06
23,Male,Business,2.15,Part-time,4,Arts,Malaysian,Others,No,Non-Recipient,Yes,Others,Home Schooling,Service,Yes,2022-11-13
20,Female,Hospitality Management,2.71,Full-time,2,Sports,Others,Tamil,Yes,Recipient,Yes,Citizen,Local School,Service,No,2022-01-03
19,Female,Information Technology,3.24,Part-time,3,None,Malaysian,English,No,Non-Recipient,No,Citizen,Home Schooling,Education,No,2022-07-07
18,Female,FinTech,3.62,Part-time,4,None,Singaporean,Others,No,Non-Recipient,Yes,Others,Others,Business,Yes,2021-01-20
18,Male,Machine Learning,2.31,Full-time,1,Arts,Indian,Tamil,Yes,Recipient,Yes,Others,Others,Education,Yes,2023-01-08
18,Female,Information Technology,3.08,Full-time,4,None,Singaporean,Malay,Yes,Non-Recipient,Yes,Student Visa,Home Schooling,Others,No,2021-03-27
22,Female,Information Technology,3.52,Part-time,3,Arts,Indian,English,No,Non-Recipient,No,Permanent Resident,Home Schooling,Business,Yes,2022-02-15
23,Female,Hospitality Management,3.34,Full-time,4,Sports,Malaysian,Tamil,No,Recipient,No,Permanent Resident,Local School,Healthcare,Yes,2023-07-07
23,Female,Hospitality Management,2.1,Part-time,3,None,Indonesian,Tamil,Yes,Recipient,No,Permanent Resident,International School,Others,Yes,2022-02-21
18,Female,Business,2.85,Full-time,3,Arts,Malaysian,English,No,Non-Recipient,Yes,Citizen,International School,Business,No,2023-01-07
19,Male,Business,2.85,Part-time,3,Volunteering,Indian,Malay,No,Non-Recipient,Yes,Others,Local School,Healthcare,Yes,2022-04-24
19,Male,Machine Learning,3.4,Part-time,3,Arts,Singaporean,Malay,No,Recipient,Yes,Citizen,Others,Business,Yes,2021-04-06
19,Female,Service Training,2.67,Full-time,2,Volunteering,Malaysian,English,Yes,Recipient,No,Student Visa,International School,Business,No,2023-07-24
19,Female,Information Technology,3.94,Part-time,3,Volunteering,Malaysian,Tamil,Yes,Recipient,Yes,Others,Home Schooling,Education,Yes,2023-01-13
19,Female,AI,3.49,Full-time,2,None,Others,Mandarin,No,Non-Recipient,Yes,Student Visa,Others,Service,Yes,2021-11-01
24,Male,Information Technology,2.35,Part-time,1,Volunteering,Malaysian,Tamil,No,Recipient,Yes,Permanent Resident,Home Schooling,Business,Yes,2023-08-06
21,Female,Hospitality Management,3.43,Full-time,4,Sports,Indonesian,Mandarin,Yes,Recipient,No,Citizen,Home Schooling,Service,Yes,2022-10-04
21,Male,Service Training,2.7,Full-time,3,Sports,Indonesian,Malay,Yes,Recipient,No,Citizen,Others,Education,Yes,2022-06-06
22,Male,Hospitality Management,3.72,Part-time,1,Arts,Indian,Tamil,No,Non-Recipient,No,Student Visa,Others,Business,No,2023-09-23
22,Male,Business,3.22,Full-time,3,Arts,Singaporean,Others,No,Recipient,Yes,Permanent Resident,International School,Service,Yes,2023-01-23
20,Male,AI,2.23,Full-time,4,Volunteering,Indian,Tamil,Yes,Recipient,Yes,Student Visa,Home Schooling,Service,No,2022-06-26
18,Male,AI,2.9,Part-time,3,Arts,Indonesian,Malay,No,Recipient,No,Others,International School,Education,Yes,2023-03-27
18,Male,Hospitality Management,2.47,Full-time,1,Volunteering,Malaysian,Others,Yes,Non-Recipient,No,Student Visa,Home Schooling,Healthcare,No,2023-11-05
20,Male,Information Technology,2.69,Part-time,3,None,Indonesian,Tamil,No,Recipient,Yes,Others,International School,Service,No,2023-08-21
18,Male,Hospitality Management,3.05,Part-time,4,Arts,Indonesian,Mandarin,Yes,Non-Recipient,Yes,Citizen,Home Schooling,Healthcare,Yes,2023-11-22
19,Female,Hospitality Management,2.43,Full-time,3,None,Indonesian,English,Yes,Recipient,No,Citizen,International School,Business,Yes,2021-04-01
20,Female,Information Technology,2.05,Full-time,2,Arts,Indian,Malay,No,Non-Recipient,Yes,Citizen,Local School,Education,No,2021-05-22
20,Female,Machine Learning,2.57,Full-time,2,None,Malaysian,Tamil,Yes,Non-Recipient,Yes,Student Visa,Home Schooling,Education,Yes,2021-05-04
23,Female,Hospitality Management,3.09,Part-time,1,None,Singaporean,Tamil,Yes,Non-Recipient,Yes,Student Visa,International School,Healthcare,Yes,2022-03-10
21,Male,Service Training,3.58,Full-time,2,Sports,Singaporean,Mandarin,No,Non-Recipient,No,Others,Local School,Healthcare,Yes,2023-10-27
18,Female,Machine Learning,2.99,Full-time,2,Volunteering,Others,English,No,Recipient,Yes,Others,Local School,Service,No,2021-09-21
22,Female,FinTech,2.99,Full-time,4,Sports,Indian,English,Yes,Non-Recipient,Yes,Student Visa,Others,Others,Yes,2021-11-04
22,Female,Hospitality Management,2.82,Part-time,2,Arts,Malaysian,Mandarin,No,Recipient,No,Permanent Resident,Local School,Business,No,2021-01-24
22,Female,FinTech,2.36,Full-time,3,Arts,Singaporean,Mandarin,Yes,Recipient,Yes,Permanent Resident,International School,Education,No,2021-02-14
21,Male,AI,3,Full-time,4,Volunteering,Malaysian,Malay,No,Non-Recipient,No,Permanent Resident,International School,Business,No,2023-08-07
19,Female,Information Technology,2.19,Part-time,2,None,Others,Others,Yes,Recipient,No,Permanent Resident,Local School,Healthcare,No,2021-05-12
20,Female,Hospitality Management,3.79,Part-time,3,None,Others,English,Yes,Non-Recipient,Yes,Others,Others,Education,No,2021-12-11
21,Female,Service Training,2.01,Part-time,4,Volunteering,Indonesian,Malay,No,Recipient,Yes,Student Visa,Local School,Business,No,2021-06-16
18,Male,Information Technology,3.01,Part-time,2,None,Indian,Malay,No,Non-Recipient,No,Permanent Resident,Local School,Service,No,2023-08-16
20,Male,Information Technology,3.86,Part-time,2,None,Singaporean,Malay,No,Recipient,Yes,Permanent Resident,International School,Healthcare,Yes,2023-06-11
19,Male,Hospitality Management,2.83,Part-time,4,Sports,Singaporean,Tamil,Yes,Non-Recipient,No,Permanent Resident,Home Schooling,Business,No,2021-11-05
19,Female,AI,3.28,Full-time,3,Volunteering,Singaporean,Others,Yes,Recipient,No,Others,International School,Education,Yes,2022-05-15
24,Female,Machine Learning,2.7,Part-time,1,Sports,Indian,Malay,Yes,Recipient,No,Student Visa,Home Schooling,Others,Yes,2022-07-14
19,Male,Business,2.78,Full-time,2,Sports,Singaporean,Malay,No,Recipient,No,Student Visa,Home Schooling,Education,No,2022-06-27
18,Female,Machine Learning,2.89,Part-time,3,Volunteering,Indonesian,Malay,Yes,Recipient,No,Permanent Resident,Local School,Others,No,2022-07-16
18,Female,Hospitality Management,2.01,Part-time,3,Sports,Singaporean,Mandarin,Yes,Recipient,No,Citizen,Home Schooling,Others,Yes,2023-05-24
24,Male,Hospitality Management,2.08,Full-time,4,Volunteering,Indian,Tamil,Yes,Recipient,No,Student Visa,Local School,Others,Yes,2022-04-09
19,Female,Hospitality Management,3.25,Full-time,1,Volunteering,Malaysian,Tamil,Yes,Non-Recipient,No,Student Visa,Local School,Others,Yes,2022-04-21
24,Male,Business,3.53,Full-time,4,Arts,Indian,Mandarin,No,Non-Recipient,No,Citizen,Others,Education,No,2023-05-11
18,Male,Machine Learning,3.72,Part-time,3,None,Others,Malay,No,Non-Recipient,No,Permanent Resident,Home Schooling,Others,No,2021-04-03
24,Female,Business,3.48,Part-time,1,None,Others,Malay,No,Non-Recipient,Yes,Permanent Resident,Others,Healthcare,Yes,2021-03-23
20,Male,Information Technology,3.62,Part-time,1,Arts,Singaporean,Mandarin,No,Non-Recipient,Yes,Student Visa,Home Schooling,Business,No,2021-01-18
19,Female,Information Technology,2.83,Part-time,2,None,Singaporean,English,Yes,Recipient,No,Citizen,International School,Healthcare,Yes,2023-06-13
23,Female,Hospitality Management,2.06,Part-time,2,Arts,Indonesian,Mandarin,Yes,Non-Recipient,Yes,Others,International School,Others,No,2022-03-13
21,Male,Service Training,3.4,Full-time,1,None,Singaporean,English,No,Recipient,Yes,Permanent Resident,Home Schooling,Business,No,2023-04-28
20,Male,FinTech,2.91,Full-time,1,Arts,Indian,Mandarin,No,Recipient,Yes,Citizen,Others,Others,No,2023-05-07
19,Male,AI,2.21,Part-time,2,Arts,Indian,Malay,No,Non-Recipient,No,Student Visa,International School,Business,No,2023-10-11
24,Male,Service Training,3.12,Full-time,3,Arts,Indonesian,Tamil,Yes,Non-Recipient,Yes,Others,Others,Healthcare,Yes,2023-07-21
20,Female,FinTech,2.9,Part-time,1,Sports,Singaporean,Tamil,Yes,Recipient,No,Permanent Resident,Home Schooling,Service,No,2023-09-06
20,Male,FinTech,3.02,Part-time,2,Volunteering,Others,Mandarin,No,Non-Recipient,Yes,Citizen,International School,Service,Yes,2021-01-07
21,Male,Business,2.31,Full-time,2,Volunteering,Malaysian,Malay,Yes,Non-Recipient,No,Citizen,International School,Others,No,2021-12-07
20,Female,Machine Learning,2.89,Part-time,2,Arts,Indonesian,Others,Yes,Recipient,Yes,Others,Local School,Others,No,2023-12-22
18,Female,Information Technology,3.37,Full-time,2,None,Indonesian,Malay,No,Non-Recipient,No,Permanent Resident,Home Schooling,Service,No,2022-05-01
18,Male,AI,3.51,Part-time,4,Arts,Singaporean,Mandarin,No,Non-Recipient,No,Others,International School,Service,Yes,2022-09-12
20,Female,Service Training,3.99,Full-time,3,Sports,Singaporean,Others,No,Recipient,No,Citizen,International School,Healthcare,Yes,2021-11-16
21,Female,Hospitality Management,3.42,Full-time,4,None,Others,Tamil,Yes,Recipient,No,Citizen,Home Schooling,Healthcare,No,2023-09-06
24,Male,AI,2.59,Part-time,2,Volunteering,Malaysian,Tamil,No,Recipient,Yes,Permanent Resident,Local School,Others,No,2022-08-06
20,Female,AI,3.4,Part-time,2,Arts,Malaysian,Tamil,Yes,Non-Recipient,No,Permanent Resident,International School,Business,No,2021-02-21
19,Female,Business,3.77,Part-time,3,Sports,Malaysian,English,Yes,Recipient,No,Citizen,Others,Healthcare,No,2022-03-09
20,Male,Business,3.76,Part-time,3,Sports,Others,Others,No,Recipient,Yes,Citizen,Home Schooling,Healthcare,Yes,2023-12-08
22,Female,AI,3.85,Part-time,1,Volunteering,Indian,Malay,Yes,Recipient,No,Citizen,International School,Healthcare,No,2023-05-28
22,Male,FinTech,3.48,Full-time,3,Volunteering,Malaysian,Malay,No,Non-Recipient,Yes,Permanent Resident,International School,Education,No,2021-11-23
20,Male,AI,3.53,Full-time,4,None,Singaporean,Mandarin,Yes,Non-Recipient,Yes,Others,International School,Healthcare,No,2022-09-15
23,Male,Machine Learning,2.04,Full-time,2,Volunteering,Malaysian,English,Yes,Non-Recipient,No,Permanent Resident,International School,Business,Yes,2023-05-17
19,Female,Business,3.3,Full-time,1,Arts,Indian,Malay,Yes,Non-Recipient,Yes,Student Visa,Others,Others,Yes,2021-12-03
22,Female,Business,3.72,Full-time,4,Sports,Indian,English,Yes,Non-Recipient,No,Permanent Resident,Home Schooling,Service,No,2022-11-03
20,Female,AI,2.18,Part-time,3,Arts,Indonesian,Others,No,Recipient,Yes,Student Visa,Others,Others,No,2022-02-20
22,Male,AI,3.18,Part-time,2,Volunteering,Others,Malay,No,Non-Recipient,Yes,Student Visa,Local School,Service,No,2021-05-01
22,Female,Service Training,2.23,Full-time,2,Sports,Singaporean,Mandarin,Yes,Recipient,Yes,Others,Home Schooling,Education,Yes,2022-11-27
19,Female,AI,2.92,Full-time,4,None,Malaysian,Tamil,Yes,Recipient,No,Permanent Resident,International School,Service,Yes,2023-11-03
20,Female,Hospitality Management,3.98,Full-time,3,None,Indian,Malay,Yes,Recipient,No,Citizen,Local School,Business,Yes,2023-08-15
20,Male,Service Training,2.97,Part-time,1,Arts,Singaporean,Malay,No,Recipient,No,Student Visa,Local School,Education,Yes,2023-04-23
23,Female,Information Technology,3.57,Part-time,3,None,Indian,Malay,Yes,Non-Recipient,No,Citizen,Local School,Service,No,2022-02-01
22,Male,Business,3.29,Part-time,2,None,Others,Others,Yes,Non-Recipient,Yes,Citizen,Local School,Service,No,2022-08-13
22,Male,Information Technology,2.28,Full-time,2,Sports,Others,English,No,Non-Recipient,Yes,Others,Others,Others,Yes,2021-03-06
20,Female,Information Technology,2.71,Full-time,2,Volunteering,Indian,Others,No,Recipient,No,Others,Others,Service,Yes,2023-05-07
19,Male,AI,3.64,Part-time,3,Volunteering,Malaysian,English,No,Non-Recipient,No,Student Visa,Local School,Business,Yes,2023-10-03
21,Male,AI,3.34,Full-time,4,Sports,Indonesian,Tamil,Yes,Recipient,No,Student Visa,Local School,Others,No,2023-09-12
21,Female,AI,2.23,Part-time,1,Sports,Others,Malay,Yes,Non-Recipient,No,Student Visa,Others,Business,No,2021-08-22
22,Female,Business,2.28,Full-time,4,Sports,Indian,Malay,No,Non-Recipient,Yes,Permanent Resident,Home Schooling,Service,Yes,2021-07-02
20,Male,Information Technology,3.25,Full-time,4,Arts,Singaporean,Mandarin,Yes,Non-Recipient,Yes,Citizen,Home Schooling,Healthcare,Yes,2021-04-04
20,Female,Machine Learning,2.61,Part-time,4,Volunteering,Singaporean,Malay,No,Recipient,No,Permanent Resident,Local School,Service,No,2022-05-03
18,Female,FinTech,3.57,Part-time,4,None,Malaysian,Tamil,Yes,Recipient,No,Others,Home Schooling,Healthcare,No,2023-03-26
20,Female,Information Technology,3.72,Part-time,2,Arts,Others,Malay,No,Recipient,Yes,Others,Home Schooling,Education,No,2021-08-04
20,Male,Information Technology,2.79,Part-time,2,None,Indonesian,Malay,No,Non-Recipient,Yes,Others,Others,Education,No,2022-08-12
23,Male,Information Technology,3.27,Full-time,4,None,Malaysian,Malay,No,Recipient,No,Student Visa,Local School,Business,Yes,2021-02-02
20,Male,FinTech,2.06,Full-time,4,None,Indonesian,Malay,Yes,Non-Recipient,Yes,Permanent Resident,International School,Business,Yes,2022-12-04
18,Female,AI,3.05,Part-time,3,Sports,Indonesian,Others,Yes,Recipient,No,Citizen,International School,Others,No,2022-02-11
20,Male,AI,3.17,Full-time,3,None,Indonesian,Others,No,Non-Recipient,Yes,Student Visa,Others,Others,No,2022-10-25
21,Female,Information Technology,3.07,Full-time,4,None,Indian,Others,No,Recipient,No,Permanent Resident,Home Schooling,Healthcare,No,2021-07-01
18,Female,Hospitality Management,2.97,Full-time,2,Arts,Indonesian,English,Yes,Non-Recipient,Yes,Student Visa,Local School,Healthcare,Yes,2021-04-11
21,Male,Machine Learning,2.19,Part-time,2,Sports,Indian,Tamil,Yes,Recipient,Yes,Permanent Resident,International School,Business,No,2021-12-24
20,Male,Business,2.97,Full-time,3,Sports,Indian,English,Yes,Recipient,No,Others,International School,Business,Yes,2022-02-12
20,Female,Service Training,2.39,Full-time,4,Volunteering,Singaporean,Others,Yes,Non-Recipient,Yes,Permanent Resident,International School,Business,Yes,2022-05-07
21,Male,Business,3.24,Part-time,4,Volunteering,Malaysian,Mandarin,No,Non-Recipient,No,Student Visa,Local School,Service,No,2022-08-23
21,Female,Hospitality Management,3.71,Full-time,4,Volunteering,Indonesian,Malay,Yes,Recipient,No,Student Visa,Home Schooling,Others,No,2021-11-26
20,Male,Hospitality Management,3.29,Part-time,2,Sports,Malaysian,Mandarin,Yes,Recipient,Yes,Others,Others,Education,No,2021-10-21
20,Female,FinTech,3.65,Full-time,2,Arts,Singaporean,English,No,Non-Recipient,No,Permanent Resident,Local School,Others,No,2023-05-11
24,Female,Information Technology,3.99,Full-time,1,None,Singaporean,Tamil,Yes,Recipient,Yes,Student Visa,International School,Education,Yes,2022-02-16
18,Female,Service Training,2.59,Full-time,2,None,Singaporean,Tamil,No,Recipient,Yes,Others,Others,Education,No,2023-10-16
23,Male,Business,2.75,Part-time,3,Arts,Singaporean,English,Yes,Non-Recipient,Yes,Citizen,Local School,Education,Yes,2023-03-07
24,Female,FinTech,3.01,Full-time,3,Arts,Malaysian,Tamil,No,Non-Recipient,No,Permanent Resident,Local School,Others,No,2022-08-09
18,Male,Information Technology,3.1,Part-time,2,Sports,Singaporean,Mandarin,No,Recipient,No,Citizen,Home Schooling,Healthcare,Yes,2021-05-21
21,Female,Hospitality Management,3,Part-time,2,None,Indonesian,Tamil,No,Recipient,No,Others,Home Schooling,Service,No,2021-08-26
24,Female,Business,2.03,Part-time,4,Arts,Singaporean,Others,Yes,Recipient,Yes,Others,International School,Education,No,2021-12-09
19,Female,Information Technology,3.27,Full-time,1,Sports,Indian,Tamil,No,Non-Recipient,No,Citizen,Others,Business,Yes,2023-02-22
23,Female,Service Training,2.22,Full-time,2,Arts,Indonesian,Others,No,Recipient,No,Others,Local School,Others,Yes,2022-08-08
24,Female,FinTech,3.82,Part-time,1,Volunteering,Others,English,Yes,Recipient,Yes,Permanent Resident,Others,Education,Yes,2023-05-15
22,Female,Machine Learning,2.67,Part-time,1,None,Indonesian,Malay,Yes,Non-Recipient,No,Citizen,International School,Service,No,2022-02-01
24,Male,AI,3.67,Full-time,1,Sports,Indonesian,Others,Yes,Non-Recipient,Yes,Permanent Resident,Local School,Others,Yes,2021-06-01
24,Male,Business,2.2,Full-time,3,Sports,Malaysian,Malay,Yes,Recipient,Yes,Others,International School,Education,Yes,2023-08-12
