Transport_Mode,Vehicle_Type,Trip_Purpose,Trip_Duration_Minutes,Distance_Km,Start_Time,End_Time,Passenger_Age,Gender,Nationality,Trip_Cost_SGD,Payment_Method,Service_Rating,Traffic_Condition,CO2_Emissions_Kg,Frequent_User,Peak_Hour_Travel,Accessibility_Features_Needed,Incidents_Reported
Private Car,Electric Scooter,Shopping,31.93,47.99,2021-06-16 10:54:24,2021-06-16 11:26:20,62,Female,Indian,25.5,Cash,3.7,Moderate,7.97,No,Yes,Yes,Yes
Taxi,Van,Shopping,61.55,19.23,2021-06-17 13:11:21,2021-06-17 14:12:54,73,Male,Others,48.45,Cash,3.2,Heavy,8.06,No,No,No,No
Taxi,None,Leisure,41.5,25.52,2021-06-18 15:28:17,2021-06-18 16:09:47,79,Female,Indonesian,41.93,Travel Pass,4.2,Heavy,4.44,Yes,Yes,No,Yes
Private Car,Van,Others,34.27,36.03,2021-06-19 17:45:13,2021-06-19 18:19:29,39,Male,Malaysian,31.54,Travel Pass,3,Heavy,5.18,No,No,Yes,No
Taxi,Van,Commuting,113.47,49.89,2021-06-20 20:02:09,2021-06-20 21:55:37,28,Female,Singaporean,8.1,Mobile App,3.4,Moderate,4.38,No,Yes,Yes,No
Walk,None,Commuting,38.62,7.11,2021-06-21 22:19:05,2021-06-21 22:57:42,32,Male,Others,9.99,Travel Pass,2.2,Light,5.56,Yes,No,Yes,No
Walk,SUV,Leisure,86.13,23.92,2021-06-23 00:36:02,2021-06-23 02:02:10,46,Male,Singaporean,42.5,Mobile App,4.3,Light,5.42,No,No,No,No
Train,Van,Business,102.55,15.93,2021-06-24 02:52:58,2021-06-24 04:35:31,30,Male,Indian,22.43,Mobile App,4.9,Heavy,7.05,No,No,No,Yes
Taxi,None,Others,51.02,24.28,2021-06-25 05:09:54,2021-06-25 06:00:55,40,Male,Malaysian,26.54,Travel Pass,3.2,Light,5.57,No,No,Yes,No
Taxi,SUV,Shopping,60.73,49.13,2021-06-26 07:26:50,2021-06-26 08:27:34,44,Male,Others,12.99,Card,4,Light,5.44,Yes,No,No,No
Private Car,None,Commuting,43.14,8.88,2021-06-27 09:43:47,2021-06-27 10:26:55,72,Male,Malaysian,42,Travel Pass,4.5,Moderate,0.77,Yes,No,No,Yes
Bicycle,Motorcycle,School,38.54,5.19,2021-06-28 12:00:43,2021-06-28 12:39:15,69,Male,Malaysian,10.57,Mobile App,1.2,Light,4.78,No,Yes,Yes,No
Bicycle,Electric Scooter,School,119.76,1.03,2021-06-29 14:17:39,2021-06-29 16:17:25,22,Male,Others,13.38,Card,4.9,Moderate,0.4,Yes,Yes,Yes,No
Taxi,Van,School,43.23,1.61,2021-06-30 16:34:35,2021-06-30 17:17:49,52,Male,Malaysian,40.73,Cash,3.8,Heavy,9.65,No,Yes,No,No
Train,SUV,Commuting,11.3,0.75,2021-07-01 18:51:31,2021-07-01 19:02:49,54,Female,Indonesian,43.07,Card,2.8,Moderate,0.58,Yes,No,Yes,Yes
Train,None,Business,62.41,37.94,2021-07-02 21:08:28,2021-07-02 22:10:53,48,Female,Indonesian,5.72,Mobile App,3.3,Moderate,9.46,Yes,Yes,No,Yes
Bus,Sedan,Leisure,49.89,19.22,2021-07-03 23:25:24,2021-07-04 00:15:17,54,Female,Others,47.9,Card,4.8,Light,1.65,No,No,Yes,No
Walk,Electric Scooter,Others,59.79,49.8,2021-07-05 01:42:20,2021-07-05 02:42:07,50,Male,Indonesian,0.46,Travel Pass,4.5,Moderate,6.88,Yes,Yes,No,No
Private Car,SUV,Commuting,34.72,9.07,2021-07-06 03:59:16,2021-07-06 04:33:59,78,Male,Others,45.68,Cash,4.9,Moderate,9.42,No,No,Yes,Yes
Walk,Van,Business,24.49,18.62,2021-07-07 06:16:12,2021-07-07 06:40:41,37,Male,Indian,16.77,Mobile App,4,Moderate,2.67,No,No,No,Yes
Bicycle,Motorcycle,Others,56.78,23.81,2021-07-08 08:33:09,2021-07-08 09:29:56,53,Male,Singaporean,10.97,Cash,1.2,Light,8.01,Yes,No,Yes,Yes
Bicycle,Sedan,Leisure,74.6,33.34,2021-07-09 10:50:05,2021-07-09 12:04:41,34,Female,Singaporean,49.59,Mobile App,4.1,Moderate,7.28,Yes,No,Yes,No
Private Car,Electric Scooter,Leisure,92.09,41.63,2021-07-10 13:07:01,2021-07-10 14:39:06,51,Male,Indonesian,12.48,Cash,2.3,Light,4.18,No,Yes,Yes,Yes
Taxi,SUV,Commuting,38.69,15.34,2021-07-11 15:23:57,2021-07-11 16:02:38,43,Female,Singaporean,43.57,Cash,2,Heavy,4.45,No,Yes,No,Yes
Bus,Van,Shopping,53.91,32.16,2021-07-12 17:40:54,2021-07-12 18:34:49,32,Female,Others,0.24,Card,4.4,Heavy,1.49,No,Yes,Yes,No
Train,Sedan,Shopping,61.7,34.11,2021-07-13 19:57:50,2021-07-13 20:59:32,43,Female,Indonesian,2.32,Mobile App,2.4,Moderate,6.66,No,No,Yes,Yes
Bus,None,Business,113.16,2.36,2021-07-14 22:14:46,2021-07-15 00:07:56,63,Male,Indonesian,29.69,Card,2.4,Moderate,0.47,Yes,No,Yes,Yes
Walk,Electric Scooter,Commuting,55.41,18.22,2021-07-16 00:31:42,2021-07-16 01:27:07,54,Male,Others,9.97,Travel Pass,1.3,Moderate,9.94,Yes,Yes,No,Yes
Bicycle,Electric Scooter,Others,62.94,0.89,2021-07-17 02:48:38,2021-07-17 03:51:34,42,Female,Malaysian,34.87,Cash,3.6,Heavy,6.29,No,Yes,Yes,No
Walk,Sedan,Shopping,38.15,20.37,2021-07-18 05:05:35,2021-07-18 05:43:44,73,Female,Singaporean,1.85,Travel Pass,4.2,Heavy,1.08,No,No,Yes,Yes
Bicycle,Sedan,Shopping,72.8,33.34,2021-07-19 07:22:31,2021-07-19 08:35:19,28,Male,Singaporean,31.9,Cash,2.4,Moderate,8.46,Yes,Yes,Yes,Yes
Taxi,Motorcycle,Others,94.34,40.69,2021-07-20 09:39:27,2021-07-20 11:13:47,21,Female,Indonesian,18.91,Cash,4.7,Heavy,7.41,Yes,No,No,No
Private Car,Electric Scooter,School,87.62,18.13,2021-07-21 11:56:23,2021-07-21 13:24:00,60,Male,Others,2.1,Cash,2.1,Moderate,6.52,Yes,No,No,Yes
Bicycle,Electric Scooter,Leisure,13.86,12.01,2021-07-22 14:13:20,2021-07-22 14:27:12,29,Female,Others,37.62,Travel Pass,3.6,Light,9.92,No,No,No,Yes
Taxi,Van,Others,19.04,23.8,2021-07-23 16:30:16,2021-07-23 16:49:18,54,Female,Indonesian,4.79,Card,2.5,Light,8.21,No,No,Yes,Yes
Private Car,None,Others,56.86,34.32,2021-07-24 18:47:12,2021-07-24 19:44:04,44,Female,Indian,35.72,Cash,3.5,Heavy,9.34,Yes,No,No,No
Walk,SUV,Commuting,84.88,48.35,2021-07-25 21:04:08,2021-07-25 22:29:01,62,Male,Indonesian,29.12,Mobile App,3.2,Moderate,9.97,No,Yes,Yes,Yes
Bus,Sedan,Others,6.05,4.34,2021-07-26 23:21:04,2021-07-26 23:27:07,35,Male,Indonesian,28.75,Travel Pass,2.5,Moderate,7.33,Yes,No,Yes,Yes
Bicycle,Van,Commuting,28.67,9.92,2021-07-28 01:38:01,2021-07-28 02:06:41,31,Male,Indian,34.94,Travel Pass,2.2,Moderate,5.99,Yes,Yes,No,No
Private Car,SUV,Shopping,91.28,20.31,2021-07-29 03:54:57,2021-07-29 05:26:14,78,Male,Indian,35.02,Cash,2.3,Heavy,5.68,Yes,No,Yes,Yes
Bicycle,Motorcycle,Business,17.08,29.02,2021-07-30 06:11:53,2021-07-30 06:28:58,22,Male,Singaporean,18.8,Cash,2,Light,8.66,No,No,No,Yes
Private Car,Van,Leisure,77.78,7.27,2021-07-31 08:28:49,2021-07-31 09:46:36,27,Female,Malaysian,38.82,Card,3.8,Heavy,1.37,Yes,Yes,Yes,Yes
Taxi,SUV,Others,62.86,1.33,2021-08-01 10:45:45,2021-08-01 11:48:37,28,Male,Others,28.13,Mobile App,2.1,Light,1.58,Yes,Yes,No,No
Train,SUV,Business,53.87,26.71,2021-08-02 13:02:42,2021-08-02 13:56:34,59,Male,Indian,39.36,Card,2.1,Light,9.28,No,No,No,No
Taxi,None,Leisure,81.61,49.19,2021-08-03 15:19:38,2021-08-03 16:41:15,38,Female,Indonesian,44.25,Card,4.7,Light,8.36,Yes,Yes,Yes,Yes
Bus,Electric Scooter,Shopping,13.25,37.3,2021-08-04 17:36:34,2021-08-04 17:49:49,38,Male,Indonesian,38.11,Mobile App,2.5,Moderate,1.4,No,No,No,Yes
Bus,Van,Leisure,113.87,31.52,2021-08-05 19:53:30,2021-08-05 21:47:22,63,Male,Singaporean,16.85,Mobile App,4.5,Light,5.48,Yes,Yes,Yes,No
Walk,SUV,Leisure,58.56,5.74,2021-08-06 22:10:27,2021-08-06 23:09:01,29,Male,Indonesian,1.95,Card,3.3,Light,2.27,No,Yes,No,Yes
Train,Van,Business,29.25,27.61,2021-08-08 00:27:23,2021-08-08 00:56:38,56,Male,Singaporean,28.8,Mobile App,2.2,Moderate,1.74,No,Yes,Yes,Yes
Walk,Sedan,Commuting,26.31,3.67,2021-08-09 02:44:19,2021-08-09 03:10:38,40,Male,Indian,40.13,Mobile App,3.3,Moderate,9.43,Yes,No,No,No
Taxi,None,Leisure,36.35,33.28,2021-08-10 05:01:15,2021-08-10 05:37:36,50,Male,Indian,8.89,Cash,3.7,Heavy,2.56,No,Yes,No,No
Bicycle,Electric Scooter,School,86.39,36.13,2021-08-11 07:18:11,2021-08-11 08:44:34,68,Male,Indonesian,17.09,Card,1.9,Moderate,8.22,Yes,Yes,No,No
Walk,Motorcycle,School,17.5,44.54,2021-08-12 09:35:08,2021-08-12 09:52:38,62,Male,Indonesian,17.75,Card,4.2,Moderate,7.75,Yes,No,No,No
Bus,Electric Scooter,School,85.22,47.38,2021-08-13 11:52:04,2021-08-13 13:17:17,19,Male,Indonesian,16.79,Mobile App,1.1,Heavy,9.52,No,Yes,No,No
Private Car,Electric Scooter,Others,112.12,44.64,2021-08-14 14:09:00,2021-08-14 16:01:07,64,Male,Others,46.52,Mobile App,4.1,Light,6.26,Yes,Yes,No,Yes
Bus,Sedan,Business,58.54,5.95,2021-08-15 16:25:56,2021-08-15 17:24:28,45,Male,Indian,18.46,Mobile App,2.2,Moderate,1.44,No,No,Yes,Yes
Taxi,Van,Business,115.65,46.08,2021-08-16 18:42:52,2021-08-16 20:38:31,53,Female,Indonesian,17.26,Mobile App,4.7,Heavy,5.84,Yes,Yes,Yes,Yes
Train,Electric Scooter,Commuting,25.35,7.49,2021-08-17 20:59:49,2021-08-17 21:25:10,18,Male,Others,47.74,Travel Pass,4.4,Light,6.07,Yes,Yes,No,Yes
Taxi,Van,Business,18.72,44.23,2021-08-18 23:16:45,2021-08-18 23:35:28,30,Male,Malaysian,3.79,Cash,2,Moderate,8.95,No,Yes,Yes,No
Taxi,None,Shopping,115.85,49.55,2021-08-20 01:33:41,2021-08-20 03:29:32,69,Female,Indian,37.34,Card,2.6,Moderate,3.18,Yes,Yes,Yes,Yes
Private Car,Motorcycle,Others,17.96,17.21,2021-08-21 03:50:37,2021-08-21 04:08:35,52,Female,Indian,36.54,Mobile App,1.1,Heavy,4.23,Yes,Yes,No,Yes
Bus,Motorcycle,Business,111.1,32.85,2021-08-22 06:07:34,2021-08-22 07:58:40,56,Female,Malaysian,6.9,Cash,1.8,Light,8.51,No,No,Yes,No
Private Car,Motorcycle,Shopping,42.14,4.81,2021-08-23 08:24:30,2021-08-23 09:06:38,64,Male,Indonesian,8.92,Travel Pass,4.8,Light,5.36,No,No,No,Yes
Train,Electric Scooter,Business,92.37,48,2021-08-24 10:41:26,2021-08-24 12:13:48,43,Male,Singaporean,17.64,Cash,2.4,Heavy,1.19,Yes,Yes,Yes,Yes
Train,SUV,Business,86.04,44.02,2021-08-25 12:58:22,2021-08-25 14:24:24,58,Female,Others,34.25,Card,4.2,Heavy,0.73,No,No,No,Yes
Bicycle,Motorcycle,Commuting,28.29,38.07,2021-08-26 15:15:18,2021-08-26 15:43:35,46,Male,Malaysian,8.82,Travel Pass,3.3,Moderate,8.66,Yes,No,Yes,Yes
Bicycle,SUV,Shopping,92.29,33.82,2021-08-27 17:32:15,2021-08-27 19:04:32,40,Female,Singaporean,22.65,Mobile App,3.9,Heavy,6.61,No,No,Yes,No
Bicycle,SUV,Others,66.65,42.88,2021-08-28 19:49:11,2021-08-28 20:55:50,78,Male,Malaysian,6.17,Mobile App,3.8,Heavy,1.53,No,No,Yes,Yes
Private Car,SUV,Commuting,81.32,24.37,2021-08-29 22:06:07,2021-08-29 23:27:26,47,Female,Singaporean,13.54,Mobile App,1.3,Heavy,7.03,Yes,Yes,No,No
Train,None,Shopping,117.8,2.92,2021-08-31 00:23:03,2021-08-31 02:20:51,42,Male,Singaporean,4.19,Cash,4.8,Moderate,9.2,Yes,Yes,No,No
Taxi,SUV,Commuting,98.22,44.11,2021-09-01 02:40:00,2021-09-01 04:18:13,71,Male,Indian,15.79,Mobile App,4.7,Heavy,2.81,No,Yes,No,No
Train,SUV,Leisure,41.72,15.96,2021-09-02 04:56:56,2021-09-02 05:38:39,51,Female,Others,33.77,Mobile App,2,Moderate,9.42,No,Yes,No,Yes
Walk,SUV,School,11.34,24.75,2021-09-03 07:13:52,2021-09-03 07:25:12,56,Male,Singaporean,27.29,Mobile App,2.3,Heavy,6.04,No,No,Yes,Yes
Bicycle,None,Commuting,119.44,24.32,2021-09-04 09:30:48,2021-09-04 11:30:14,32,Male,Malaysian,17.3,Travel Pass,3.8,Heavy,8.36,No,No,No,No
Walk,SUV,Leisure,41.49,7.04,2021-09-05 11:47:44,2021-09-05 12:29:13,68,Male,Indonesian,22.86,Card,1.1,Heavy,0.74,Yes,Yes,Yes,No
Train,Sedan,Leisure,10.56,25.04,2021-09-06 14:04:41,2021-09-06 14:15:15,75,Male,Indonesian,11.27,Mobile App,3.4,Moderate,8.69,Yes,Yes,No,Yes
Taxi,None,School,87.9,29.73,2021-09-07 16:21:37,2021-09-07 17:49:31,30,Male,Malaysian,0.41,Mobile App,4.9,Light,6.71,No,Yes,Yes,Yes
Train,Motorcycle,Commuting,57.66,34.87,2021-09-08 18:38:33,2021-09-08 19:36:13,33,Female,Indonesian,22.9,Cash,3.8,Heavy,8.66,Yes,No,Yes,Yes
Bus,Electric Scooter,Business,49.09,23.01,2021-09-09 20:55:29,2021-09-09 21:44:34,54,Male,Others,47.54,Travel Pass,4.3,Light,5.2,Yes,No,No,Yes
Private Car,SUV,Business,31.73,1.47,2021-09-10 23:12:25,2021-09-10 23:44:09,40,Female,Indonesian,36.89,Mobile App,4.3,Light,6.61,Yes,Yes,Yes,No
Bus,None,Leisure,98.81,1.52,2021-09-12 01:29:22,2021-09-12 03:08:11,20,Female,Singaporean,23.99,Travel Pass,1.1,Moderate,3.1,No,Yes,Yes,Yes
Walk,SUV,Shopping,98.49,3.74,2021-09-13 03:46:18,2021-09-13 05:24:47,66,Male,Singaporean,13.67,Mobile App,4.1,Light,9.9,Yes,Yes,No,Yes
Taxi,Electric Scooter,Others,53.67,40.5,2021-09-14 06:03:14,2021-09-14 06:56:54,61,Female,Others,9.31,Travel Pass,3.8,Moderate,6.75,No,No,No,No
Taxi,Motorcycle,Commuting,49.61,32.72,2021-09-15 08:20:10,2021-09-15 09:09:47,70,Male,Others,14.61,Card,3.5,Light,3.33,No,Yes,Yes,Yes
Bus,SUV,Leisure,72,27.61,2021-09-16 10:37:07,2021-09-16 11:49:07,79,Male,Singaporean,48.56,Cash,4.6,Moderate,4.25,Yes,No,No,No
Bicycle,None,Commuting,22.17,47.48,2021-09-17 12:54:03,2021-09-17 13:16:13,24,Male,Others,44.1,Mobile App,2.2,Moderate,0.81,Yes,Yes,No,Yes
Train,None,School,18.98,36.66,2021-09-18 15:10:59,2021-09-18 15:29:58,56,Female,Singaporean,8.75,Cash,2.1,Heavy,3.21,Yes,Yes,No,Yes
Private Car,Van,Shopping,110.75,4.88,2021-09-19 17:27:55,2021-09-19 19:18:40,24,Female,Singaporean,35.68,Mobile App,3.1,Light,7.16,No,Yes,Yes,Yes
Private Car,Sedan,Leisure,10.94,1.21,2021-09-20 19:44:51,2021-09-20 19:55:47,66,Male,Indonesian,29.22,Cash,4.2,Light,3.97,Yes,Yes,Yes,Yes
Taxi,Motorcycle,School,58.51,11.7,2021-09-21 22:01:48,2021-09-21 23:00:19,31,Male,Indian,26.2,Cash,2.2,Light,0.84,No,No,Yes,No
Private Car,Sedan,Business,64.72,10.41,2021-09-23 00:18:44,2021-09-23 01:23:27,53,Female,Others,30.38,Travel Pass,3.7,Moderate,1.29,Yes,Yes,Yes,No
Walk,Motorcycle,School,30.99,41.62,2021-09-24 02:35:40,2021-09-24 03:06:39,24,Female,Indonesian,7.29,Card,1.9,Light,6.79,No,Yes,Yes,Yes
Private Car,None,Commuting,23.55,23.05,2021-09-25 04:52:36,2021-09-25 05:16:09,74,Male,Indian,41.35,Card,4.1,Light,3.4,No,Yes,Yes,Yes
Walk,Sedan,Business,103.97,49.12,2021-09-26 07:09:32,2021-09-26 08:53:30,52,Male,Indian,8.01,Travel Pass,1.5,Moderate,8.75,No,No,Yes,No
Private Car,Sedan,Shopping,86.94,24.83,2021-09-27 09:26:29,2021-09-27 10:53:25,47,Male,Malaysian,22.38,Mobile App,3.7,Heavy,8.34,No,Yes,No,Yes
Bicycle,Electric Scooter,Business,67.43,23,2021-09-28 11:43:25,2021-09-28 12:50:51,39,Male,Indonesian,5.28,Card,2.1,Heavy,2.81,No,No,Yes,No
Bus,Electric Scooter,Shopping,106.17,5.39,2021-09-29 14:00:21,2021-09-29 15:46:31,61,Male,Malaysian,46.43,Cash,3.3,Heavy,5.05,Yes,No,No,No
Private Car,SUV,Shopping,86.05,34.19,2021-09-30 16:17:17,2021-09-30 17:43:20,34,Female,Singaporean,0.23,Mobile App,1.1,Moderate,5.26,Yes,No,No,No
Walk,Sedan,School,43.99,4.59,2021-10-01 18:34:14,2021-10-01 19:18:13,74,Female,Others,29.13,Travel Pass,4,Moderate,9.55,Yes,Yes,Yes,Yes
Taxi,Motorcycle,Shopping,100.26,43.84,2021-10-02 20:51:10,2021-10-02 22:31:26,79,Female,Others,22.83,Mobile App,2.7,Moderate,3.88,No,Yes,No,Yes
Bus,Electric Scooter,Others,113.54,20.97,2021-10-03 23:08:06,2021-10-04 01:01:38,73,Male,Others,47.27,Travel Pass,2.3,Heavy,7.17,Yes,No,No,No
Walk,Electric Scooter,Others,52.79,40.97,2021-10-05 01:25:02,2021-10-05 02:17:49,77,Female,Indonesian,13.75,Card,2.7,Moderate,1.79,Yes,Yes,No,No
Taxi,None,Business,41.46,20.26,2021-10-06 03:41:58,2021-10-06 04:23:26,53,Female,Malaysian,49.8,Cash,2.3,Heavy,0.17,No,Yes,Yes,No
Private Car,Van,Commuting,27.46,22.37,2021-10-07 05:58:55,2021-10-07 06:26:23,55,Female,Others,6.83,Mobile App,4.2,Light,0.81,No,Yes,Yes,No
Private Car,Motorcycle,Shopping,67.46,35.28,2021-10-08 08:15:51,2021-10-08 09:23:19,58,Female,Malaysian,10.66,Travel Pass,2.8,Light,2.31,Yes,Yes,Yes,Yes
Taxi,Electric Scooter,School,91.15,41.7,2021-10-09 10:32:47,2021-10-09 12:03:56,67,Female,Indian,10.2,Mobile App,1.6,Moderate,9.74,Yes,No,No,No
Taxi,Van,School,31.83,14.08,2021-10-10 12:49:43,2021-10-10 13:21:33,60,Male,Malaysian,4.67,Cash,5,Heavy,0.24,No,Yes,No,Yes
Taxi,SUV,Shopping,38.98,5.63,2021-10-11 15:06:40,2021-10-11 15:45:39,76,Female,Indonesian,34.31,Mobile App,4.2,Moderate,6.26,Yes,Yes,Yes,Yes
Taxi,Electric Scooter,School,16.33,46.8,2021-10-12 17:23:36,2021-10-12 17:39:56,21,Female,Malaysian,12.65,Card,2.6,Light,7.05,Yes,Yes,Yes,No
Taxi,SUV,School,75.88,20.39,2021-10-13 19:40:32,2021-10-13 20:56:25,56,Female,Indian,0.51,Cash,2.4,Light,9.1,No,Yes,Yes,Yes
Walk,Sedan,Others,26.72,7.71,2021-10-14 21:57:28,2021-10-14 22:24:11,73,Female,Indian,46.19,Card,4.9,Heavy,9.07,Yes,Yes,Yes,No
Taxi,Van,Business,66.52,23.84,2021-10-16 00:14:24,2021-10-16 01:20:55,25,Female,Singaporean,49.37,Card,1.4,Heavy,9.12,No,No,No,No
Bicycle,None,Commuting,54.65,44.27,2021-10-17 02:31:21,2021-10-17 03:26:00,52,Female,Others,47.43,Cash,2.3,Moderate,7.27,Yes,Yes,Yes,No
Bicycle,SUV,Business,91.39,29.1,2021-10-18 04:48:17,2021-10-18 06:19:40,46,Male,Others,0.57,Card,4.6,Heavy,6.07,Yes,No,No,No
Private Car,Sedan,Shopping,61.66,40.34,2021-10-19 07:05:13,2021-10-19 08:06:53,58,Male,Indonesian,42.16,Travel Pass,2.5,Moderate,0.48,Yes,Yes,Yes,No
Train,Van,Business,36.16,29.01,2021-10-20 09:22:09,2021-10-20 09:58:19,44,Female,Others,16.19,Card,3,Light,1.14,No,No,No,Yes
Walk,Sedan,Leisure,88.26,17.06,2021-10-21 11:39:05,2021-10-21 13:07:21,72,Male,Indonesian,21.37,Cash,3.7,Moderate,8.21,Yes,Yes,Yes,Yes
Bus,Sedan,Commuting,96.6,43.12,2021-10-22 13:56:02,2021-10-22 15:32:38,61,Female,Others,29.57,Cash,1.7,Light,1.09,Yes,No,No,No
Taxi,None,Others,51.68,36.07,2021-10-23 16:12:58,2021-10-23 17:04:39,68,Male,Indian,19.23,Card,1.2,Moderate,0.01,No,No,Yes,Yes
Train,Motorcycle,Business,11.38,26.56,2021-10-24 18:29:54,2021-10-24 18:41:17,74,Female,Others,20.23,Travel Pass,4.4,Moderate,4.7,No,No,No,No
Private Car,Van,School,35.46,6.17,2021-10-25 20:46:50,2021-10-25 21:22:18,35,Male,Others,40.15,Cash,4.3,Light,4.26,Yes,No,Yes,No
Walk,SUV,Business,73.21,23.6,2021-10-26 23:03:47,2021-10-27 00:17:00,31,Male,Indian,4.81,Cash,3.9,Light,0.26,No,No,No,Yes
Taxi,SUV,Business,51.82,48.41,2021-10-28 01:20:43,2021-10-28 02:12:32,45,Male,Malaysian,47.45,Cash,3.2,Moderate,1.04,No,No,No,Yes
Bicycle,Sedan,Commuting,89.22,24.06,2021-10-29 03:37:39,2021-10-29 05:06:52,68,Female,Indonesian,43.56,Card,1.6,Light,0.5,No,No,No,No
Taxi,SUV,Leisure,98.41,33.4,2021-10-30 05:54:35,2021-10-30 07:33:00,36,Female,Singaporean,3.6,Travel Pass,2.1,Moderate,8.3,Yes,No,Yes,No
Bicycle,None,Leisure,66,43.21,2021-10-31 08:11:31,2021-10-31 09:17:31,20,Female,Others,46.08,Travel Pass,4,Moderate,1.73,No,Yes,Yes,Yes
Walk,Sedan,Others,87.03,27.16,2021-11-01 10:28:28,2021-11-01 11:55:30,71,Female,Indian,36.65,Mobile App,1.4,Heavy,4.56,Yes,Yes,Yes,Yes
Taxi,Motorcycle,Commuting,63.69,30.19,2021-11-02 12:45:24,2021-11-02 13:49:05,78,Female,Indonesian,29.78,Travel Pass,3.9,Light,4.43,No,No,No,No
Bicycle,Sedan,Shopping,106.11,3.13,2021-11-03 15:02:20,2021-11-03 16:48:27,46,Male,Indian,12.77,Mobile App,2.4,Moderate,5.55,Yes,No,Yes,No
Train,None,Shopping,30.83,32.91,2021-11-04 17:19:16,2021-11-04 17:50:06,49,Male,Singaporean,22.4,Cash,1.1,Moderate,8.84,Yes,Yes,No,Yes
Train,None,School,19.93,9.42,2021-11-05 19:36:12,2021-11-05 19:56:08,20,Male,Indonesian,37.83,Mobile App,3.3,Moderate,2.04,Yes,Yes,No,Yes
Private Car,Motorcycle,Others,60.06,40.02,2021-11-06 21:53:09,2021-11-06 22:53:13,78,Male,Others,47.99,Card,1.9,Light,2.31,No,No,No,No
Bus,Van,Shopping,53.77,25.08,2021-11-08 00:10:05,2021-11-08 01:03:51,39,Male,Singaporean,31.38,Mobile App,2.8,Light,0.73,No,No,No,Yes
Bus,Motorcycle,Others,119.13,26.44,2021-11-09 02:27:01,2021-11-09 04:26:09,50,Male,Indian,12,Card,1.4,Heavy,1.27,Yes,Yes,Yes,Yes
Private Car,Motorcycle,Others,59.73,38.46,2021-11-10 04:43:57,2021-11-10 05:43:41,70,Male,Malaysian,33.02,Travel Pass,2.4,Moderate,2.96,Yes,No,Yes,Yes
Train,Electric Scooter,Leisure,110.42,43.31,2021-11-11 07:00:54,2021-11-11 08:51:19,21,Male,Indian,40.62,Mobile App,3,Moderate,6.9,No,Yes,Yes,No
Bicycle,None,Commuting,73,12.68,2021-11-12 09:17:50,2021-11-12 10:30:50,54,Male,Singaporean,32.52,Mobile App,4,Heavy,9.73,Yes,No,No,No
Bicycle,None,School,33.06,13.85,2021-11-13 11:34:46,2021-11-13 12:07:50,20,Male,Others,45.38,Cash,1.3,Light,3.15,Yes,No,No,No
Taxi,Electric Scooter,Leisure,29.81,25.59,2021-11-14 13:51:42,2021-11-14 14:21:31,60,Female,Indonesian,47.71,Mobile App,2.9,Moderate,2.01,Yes,No,No,Yes
Private Car,None,Others,18.76,25.85,2021-11-15 16:08:38,2021-11-15 16:27:24,24,Male,Malaysian,33.84,Travel Pass,4.9,Moderate,4.4,Yes,Yes,No,Yes
Walk,Electric Scooter,Leisure,19.12,4.34,2021-11-16 18:25:35,2021-11-16 18:44:42,56,Female,Others,40.61,Travel Pass,2.9,Heavy,7.44,Yes,Yes,Yes,Yes
Bus,Electric Scooter,School,82.78,17.81,2021-11-17 20:42:31,2021-11-17 22:05:18,54,Female,Indian,45.86,Cash,4.3,Light,0.25,No,No,Yes,Yes
Walk,Sedan,Shopping,25.26,12.72,2021-11-18 22:59:27,2021-11-18 23:24:43,33,Female,Indonesian,20.11,Cash,1.4,Moderate,4.79,Yes,No,Yes,No
Walk,None,Others,17.02,2.03,2021-11-20 01:16:23,2021-11-20 01:33:24,77,Male,Malaysian,23.66,Mobile App,3.3,Light,3.27,No,No,No,No
Walk,None,Leisure,103.77,31.47,2021-11-21 03:33:20,2021-11-21 05:17:06,40,Female,Others,44.06,Card,3.1,Heavy,2.04,No,No,Yes,Yes
Private Car,Electric Scooter,Leisure,64.43,37.23,2021-11-22 05:50:16,2021-11-22 06:54:42,26,Male,Others,8.48,Cash,4.6,Moderate,6.28,Yes,Yes,No,Yes
Private Car,Electric Scooter,School,52.31,7.08,2021-11-23 08:07:12,2021-11-23 08:59:31,44,Male,Malaysian,46.82,Cash,3.8,Moderate,1.54,Yes,Yes,Yes,No
Taxi,Sedan,Commuting,56.06,5.53,2021-11-24 10:24:08,2021-11-24 11:20:12,63,Male,Indonesian,26.14,Card,1,Heavy,8.74,No,No,Yes,No
Bus,Electric Scooter,Business,117.34,18.4,2021-11-25 12:41:04,2021-11-25 14:38:24,21,Male,Malaysian,26.57,Mobile App,1.3,Light,5.39,No,Yes,No,No
Walk,Electric Scooter,Shopping,110.53,9.44,2021-11-26 14:58:01,2021-11-26 16:48:33,19,Female,Indonesian,15.28,Card,4.8,Light,8.74,No,No,No,No
Taxi,Sedan,Leisure,30.84,47.86,2021-11-27 17:14:57,2021-11-27 17:45:47,57,Female,Singaporean,14.36,Travel Pass,1.1,Light,2.22,Yes,No,Yes,Yes
Bus,Van,Business,29.47,8.21,2021-11-28 19:31:53,2021-11-28 20:01:21,28,Female,Singaporean,18.6,Travel Pass,2.7,Moderate,2.78,Yes,Yes,Yes,No
