Age,Gender,Race,Educational_Level,Marital_Status,Industry,Occupation,Years_in_Current_Job,Employment_Type,Monthly_Income_SGD,Job_Satisfaction_Level,Skills_Training,Promotion_in_Last_5_Years,Looking_for_Job_Change,Work_Hours_per_Week,Commute_Time_One_Way_Hours,Previous_Employment_Status,Residency_Status,Languages_Spoken,Work_Location_Preference,Recent_Training_or_Courses,Expected_Salary_Increase_%,Job_Security_Concerns,Interview_Date
54,Female,Others,PhD,Widowed,Information Technology,Teacher,8,Full-time,4208.65,Satisfied,No,No,No,56.8,0.54,Student,Foreigner,Mandarin,Hybrid,No,16.5,Yes,2022-10-08
38,Female,Others,Bachelor,Married,Construction,Doctor,12,Full-time,3400.31,Unsatisfied,Yes,Yes,Yes,53.5,1.58,Employed,Foreigner,English,Remote,Yes,11.6,Yes,2022-03-15
30,Female,Chinese,High School,Married,Healthcare,Clerk,21,Self-employed,7078.63,Very Satisfied,No,Yes,Yes,48.6,1.15,Unemployed,Foreigner,Tamil,Hybrid,No,13.6,No,2022-04-11
58,Female,Others,PhD,Single,Healthcare,Teacher,2,Contract,2100.34,Very Unsatisfied,No,No,Yes,59.1,1.79,Retired,Citizen,Mandarin,On-site,Yes,11.5,Yes,2022-09-12
43,Female,Others,High School,Single,Information Technology,Engineer,9,Self-employed,8482.5,Neutral,No,No,Yes,38.5,1.88,Retired,Citizen,Mandarin,Hybrid,No,11.2,No,2022-03-22
50,Male,Malay,Bachelor,Divorced,Education,Clerk,2,Self-employed,9395.51,Neutral,No,Yes,Yes,50.9,0.98,Employed,Citizen,Mandarin,Hybrid,No,13.1,No,2022-08-23
33,Female,Chinese,High School,Widowed,Construction,Teacher,27,Part-time,8946.1,Very Satisfied,No,No,Yes,54.1,1.03,Student,Foreigner,Mandarin,Hybrid,Yes,18.1,Yes,2022-10-03
45,Male,Chinese,High School,Married,Education,Manager,1,Part-time,5794.87,Unsatisfied,No,Yes,Yes,44.7,1.78,Employed,Citizen,English,Hybrid,No,17.3,Yes,2021-04-24
58,Male,Indian,PhD,Single,Construction,Technician,24,Full-time,13405.28,Satisfied,Yes,No,No,55.1,1.88,Unemployed,Foreigner,Mandarin,Remote,No,16.5,No,2021-02-27
40,Female,Indian,PhD,Single,Construction,Doctor,18,Part-time,4222.65,Neutral,No,No,No,40,1.14,Retired,Permanent Resident,English,Hybrid,Yes,16.5,No,2022-03-19
44,Male,Chinese,High School,Single,Finance,Clerk,29,Full-time,7293.99,Unsatisfied,No,Yes,No,45.9,1.48,Employed,Citizen,English,On-site,No,11.2,No,2021-03-05
40,Female,Others,PhD,Married,Education,Engineer,12,Part-time,12320.29,Very Satisfied,Yes,Yes,No,38.8,1.48,Student,Foreigner,Others,On-site,No,7.1,No,2023-08-22
55,Male,Malay,High School,Divorced,Information Technology,Doctor,18,Part-time,6075.5,Neutral,No,Yes,No,47.9,0.73,Employed,Permanent Resident,English,On-site,No,9.6,Yes,2022-03-04
42,Male,Indian,Master,Single,Construction,Doctor,19,Contract,11188.6,Very Unsatisfied,Yes,Yes,No,39.2,1.86,Retired,Foreigner,Tamil,On-site,No,15.3,No,2023-11-25
59,Female,Malay,High School,Married,Hospitality,Engineer,3,Part-time,8699.2,Satisfied,No,Yes,No,49.6,1.08,Unemployed,Foreigner,Others,Remote,No,16.3,Yes,2023-10-23
50,Male,Indian,Diploma,Widowed,Information Technology,Manager,22,Contract,12309.02,Unsatisfied,Yes,Yes,No,53.4,0.66,Employed,Foreigner,English,Remote,No,18.4,Yes,2021-07-02
50,Female,Others,Bachelor,Divorced,Finance,Teacher,11,Part-time,11306.19,Satisfied,Yes,No,No,39.3,0.66,Employed,Permanent Resident,English,Remote,Yes,12.9,No,2021-04-25
21,Female,Chinese,Bachelor,Widowed,Education,Engineer,26,Full-time,4544.74,Very Unsatisfied,Yes,No,No,52,1.62,Unemployed,Foreigner,English,Remote,No,7.4,No,2023-09-03
55,Female,Others,Bachelor,Divorced,Healthcare,Manager,5,Part-time,10425.19,Very Unsatisfied,No,No,No,51.6,1.06,Unemployed,Foreigner,Malay,Hybrid,No,8.7,No,2021-02-04
30,Male,Indian,Bachelor,Widowed,Hospitality,Teacher,11,Contract,8348.94,Very Unsatisfied,No,No,No,45.8,0.67,Student,Foreigner,Others,Hybrid,Yes,10.6,No,2021-03-03
38,Male,Malay,Master,Married,Finance,Clerk,10,Full-time,3327.53,Satisfied,Yes,No,No,58.3,0.71,Employed,Permanent Resident,English,Remote,Yes,19.5,Yes,2021-05-15
51,Female,Malay,Master,Single,Finance,Engineer,0,Part-time,8570.21,Neutral,Yes,No,No,46.9,0.68,Retired,Permanent Resident,Others,Hybrid,Yes,7,No,2021-09-24
26,Male,Others,High School,Divorced,Education,Manager,26,Full-time,11156.5,Very Satisfied,Yes,Yes,Yes,50.3,1.96,Unemployed,Foreigner,Others,Hybrid,No,8.5,Yes,2022-03-12
36,Male,Others,Diploma,Married,Information Technology,Engineer,18,Part-time,12270.39,Very Unsatisfied,No,No,Yes,54.5,1.16,Student,Citizen,Tamil,Hybrid,No,7.7,Yes,2023-07-24
46,Female,Indian,High School,Married,Education,Manager,15,Full-time,7932.44,Very Unsatisfied,Yes,Yes,Yes,42.9,0.81,Student,Citizen,English,On-site,No,12.2,No,2021-04-17
41,Female,Indian,High School,Widowed,Construction,Technician,22,Full-time,10488.69,Very Satisfied,Yes,No,No,52.2,1.07,Unemployed,Citizen,Mandarin,Remote,No,10.7,Yes,2021-08-06
30,Male,Malay,Master,Single,Information Technology,Technician,23,Full-time,11103.6,Satisfied,No,Yes,Yes,56.3,0.92,Student,Citizen,Others,Hybrid,Yes,6.5,No,2021-10-27
20,Male,Others,Bachelor,Single,Construction,Engineer,20,Contract,14476.5,Neutral,Yes,Yes,No,38,1.04,Retired,Foreigner,Tamil,Remote,Yes,20,Yes,2022-01-15
60,Female,Others,PhD,Widowed,Construction,Clerk,4,Part-time,14890.98,Neutral,Yes,No,Yes,56,0.7,Student,Permanent Resident,Tamil,Hybrid,Yes,9.2,Yes,2021-11-19
20,Female,Indian,Diploma,Widowed,Healthcare,Teacher,19,Part-time,14310.52,Very Unsatisfied,Yes,No,Yes,56.1,1.86,Employed,Permanent Resident,Mandarin,Hybrid,No,5.2,Yes,2021-03-02
63,Female,Malay,Bachelor,Single,Healthcare,Doctor,6,Self-employed,7519.55,Neutral,No,Yes,Yes,59.8,1.57,Employed,Foreigner,Others,Remote,No,9.9,Yes,2023-06-15
32,Male,Malay,Master,Single,Construction,Manager,1,Self-employed,2186.11,Satisfied,No,No,Yes,41.7,1.54,Unemployed,Citizen,Mandarin,On-site,No,18,Yes,2023-09-11
29,Female,Others,PhD,Married,Healthcare,Manager,1,Contract,5476.82,Very Unsatisfied,No,Yes,Yes,56,1.93,Employed,Foreigner,Mandarin,On-site,No,5.2,Yes,2021-12-09
30,Female,Others,PhD,Married,Finance,Laborer,6,Full-time,6063.94,Very Unsatisfied,Yes,No,No,50.2,1.93,Unemployed,Permanent Resident,Malay,Remote,Yes,18.5,Yes,2021-08-03
36,Female,Others,Diploma,Married,Education,Laborer,26,Full-time,8923.64,Very Satisfied,No,Yes,No,49.7,1.91,Unemployed,Permanent Resident,Others,On-site,No,12.1,Yes,2023-03-22
31,Male,Indian,Diploma,Widowed,Healthcare,Teacher,23,Self-employed,14190.85,Very Unsatisfied,No,No,No,53.9,0.75,Retired,Citizen,English,Hybrid,Yes,9.4,No,2022-10-20
39,Male,Indian,Master,Married,Hospitality,Clerk,12,Part-time,2221.27,Very Satisfied,No,No,No,56.7,1.09,Unemployed,Foreigner,Mandarin,Remote,No,16.1,Yes,2022-01-26
61,Female,Chinese,High School,Single,Construction,Laborer,9,Self-employed,11570.49,Very Satisfied,Yes,No,Yes,48.3,1.16,Retired,Permanent Resident,Mandarin,Remote,No,10.5,No,2021-01-13
48,Male,Indian,High School,Married,Education,Laborer,29,Part-time,14256.26,Unsatisfied,Yes,Yes,No,58.8,0.85,Unemployed,Foreigner,Mandarin,Hybrid,No,10.8,No,2023-06-16
29,Male,Malay,Bachelor,Married,Hospitality,Manager,7,Part-time,5129.61,Neutral,Yes,No,Yes,54.2,1.08,Unemployed,Foreigner,English,Remote,No,9.8,Yes,2021-07-03
41,Female,Indian,Diploma,Single,Hospitality,Clerk,10,Contract,3244.82,Unsatisfied,Yes,No,No,56.7,0.76,Student,Foreigner,Mandarin,On-site,No,16.1,Yes,2023-11-20
46,Male,Chinese,Diploma,Single,Information Technology,Technician,23,Contract,7760.7,Very Satisfied,Yes,No,Yes,49.2,0.63,Employed,Permanent Resident,English,Hybrid,No,12.5,No,2022-02-13
51,Female,Others,PhD,Single,Construction,Engineer,3,Part-time,5628.13,Very Unsatisfied,Yes,No,Yes,39.4,1.93,Unemployed,Permanent Resident,Others,Hybrid,No,18,Yes,2021-09-05
57,Female,Indian,Master,Married,Healthcare,Clerk,29,Self-employed,6010.29,Very Unsatisfied,No,Yes,Yes,43.3,0.54,Retired,Citizen,Tamil,On-site,Yes,16.3,No,2021-02-26
61,Female,Malay,Diploma,Single,Information Technology,Teacher,15,Self-employed,3587.9,Very Satisfied,No,Yes,No,45.3,1.69,Student,Foreigner,English,Remote,Yes,13.7,Yes,2023-02-18
28,Female,Malay,Master,Married,Education,Clerk,7,Full-time,13282.32,Satisfied,Yes,Yes,No,59.8,1.21,Unemployed,Permanent Resident,English,On-site,No,10.4,No,2023-10-14
32,Female,Malay,Diploma,Widowed,Healthcare,Clerk,18,Self-employed,13173.66,Very Satisfied,Yes,Yes,No,40.7,1.61,Unemployed,Foreigner,Mandarin,Remote,Yes,16.4,No,2021-01-10
47,Female,Malay,Master,Widowed,Hospitality,Clerk,2,Full-time,2464.4,Neutral,Yes,Yes,No,36.2,0.93,Student,Permanent Resident,Others,Remote,No,19.5,Yes,2021-06-07
56,Female,Indian,Diploma,Single,Hospitality,Laborer,15,Part-time,8947.25,Very Unsatisfied,Yes,Yes,No,52.2,1.82,Retired,Citizen,Others,Remote,No,19.2,No,2023-02-05
61,Male,Indian,PhD,Widowed,Education,Laborer,24,Part-time,11201.87,Very Unsatisfied,No,No,No,43.5,1.03,Unemployed,Foreigner,Mandarin,On-site,No,6.8,Yes,2021-08-25
21,Male,Others,Bachelor,Widowed,Education,Doctor,24,Contract,11899.83,Satisfied,No,No,Yes,48.3,0.88,Unemployed,Permanent Resident,English,On-site,No,13.2,Yes,2021-07-17
21,Female,Malay,Bachelor,Widowed,Healthcare,Doctor,21,Contract,8565.92,Satisfied,No,No,Yes,41.9,0.71,Retired,Foreigner,Tamil,Hybrid,No,14.9,Yes,2021-03-06
30,Female,Malay,PhD,Married,Education,Engineer,9,Self-employed,2114.14,Very Satisfied,Yes,No,No,36.6,1.37,Unemployed,Permanent Resident,Mandarin,Hybrid,Yes,17.6,Yes,2021-02-01
63,Male,Indian,Master,Single,Healthcare,Laborer,2,Contract,13748.77,Satisfied,Yes,No,Yes,57.2,0.65,Retired,Foreigner,Others,Hybrid,No,13.8,Yes,2021-10-05
59,Male,Indian,Bachelor,Widowed,Education,Technician,29,Part-time,2929.68,Unsatisfied,No,Yes,No,52.6,1.65,Employed,Citizen,Tamil,Remote,No,18,Yes,2023-10-20
58,Female,Indian,Bachelor,Widowed,Hospitality,Engineer,8,Part-time,5223.51,Very Satisfied,Yes,No,Yes,35.9,0.92,Employed,Permanent Resident,Others,Remote,No,11.7,Yes,2021-12-09
43,Female,Chinese,Diploma,Widowed,Healthcare,Engineer,3,Full-time,8533.07,Very Satisfied,Yes,No,No,50.5,1.14,Unemployed,Foreigner,English,Remote,No,6.2,No,2021-10-24
59,Male,Others,Bachelor,Widowed,Information Technology,Laborer,6,Full-time,3777.92,Satisfied,Yes,Yes,Yes,51.5,0.54,Employed,Foreigner,English,Remote,No,19,Yes,2023-07-15
33,Female,Malay,Diploma,Married,Hospitality,Laborer,26,Self-employed,14489.55,Very Unsatisfied,No,No,Yes,35.6,0.64,Employed,Citizen,Malay,On-site,No,13,Yes,2021-11-01
49,Male,Chinese,Master,Widowed,Hospitality,Technician,21,Contract,12102,Very Unsatisfied,No,Yes,Yes,44.1,1.9,Retired,Foreigner,Mandarin,Hybrid,No,16,Yes,2023-10-17
23,Male,Indian,Bachelor,Widowed,Hospitality,Technician,5,Part-time,7129.84,Very Satisfied,Yes,Yes,Yes,47.1,0.89,Retired,Permanent Resident,Tamil,On-site,No,18.5,No,2021-10-21
22,Male,Chinese,High School,Married,Healthcare,Engineer,24,Part-time,3332.49,Very Unsatisfied,No,No,No,45.9,1.66,Employed,Citizen,English,On-site,No,10.9,Yes,2022-12-24
45,Female,Indian,High School,Divorced,Construction,Teacher,1,Self-employed,3812.28,Very Unsatisfied,No,No,No,37.5,1.47,Employed,Foreigner,Others,Hybrid,No,15.6,Yes,2023-12-22
55,Male,Others,Diploma,Married,Information Technology,Technician,7,Self-employed,7907.61,Unsatisfied,No,No,Yes,37.9,0.58,Employed,Foreigner,English,Remote,No,10.3,Yes,2022-08-27
31,Male,Others,Bachelor,Married,Education,Manager,19,Self-employed,6562.47,Very Unsatisfied,No,No,No,58.7,1.63,Unemployed,Citizen,English,Hybrid,No,17.4,No,2022-10-06
21,Male,Indian,Diploma,Divorced,Information Technology,Technician,18,Contract,2068.76,Satisfied,No,No,No,42.6,1.21,Retired,Foreigner,Tamil,On-site,No,5.4,No,2021-07-03
32,Male,Malay,Diploma,Widowed,Construction,Doctor,0,Contract,2025.5,Neutral,No,Yes,Yes,37.3,1.35,Employed,Foreigner,English,Remote,No,18,Yes,2022-03-18
30,Male,Malay,PhD,Married,Education,Clerk,11,Part-time,6314.06,Satisfied,Yes,Yes,Yes,44.3,0.64,Retired,Foreigner,Mandarin,Hybrid,No,6.9,No,2023-03-26
28,Male,Indian,Bachelor,Widowed,Education,Doctor,24,Full-time,8878.29,Neutral,Yes,No,Yes,53.9,1.75,Unemployed,Citizen,Mandarin,Remote,No,10.8,Yes,2021-03-06
54,Female,Chinese,Diploma,Widowed,Construction,Manager,12,Contract,3195.56,Unsatisfied,No,No,Yes,44,1.49,Employed,Citizen,English,On-site,No,19.9,No,2021-10-16
40,Female,Chinese,Master,Widowed,Hospitality,Engineer,25,Self-employed,14491.52,Very Satisfied,No,No,No,38.6,1.01,Unemployed,Foreigner,Tamil,Hybrid,Yes,9.4,Yes,2023-05-01
58,Female,Malay,Bachelor,Divorced,Information Technology,Manager,14,Contract,5096.21,Satisfied,Yes,Yes,Yes,57.3,0.86,Unemployed,Foreigner,Others,Remote,Yes,9.2,No,2021-01-17
28,Male,Indian,Master,Married,Hospitality,Manager,7,Contract,12173.94,Very Satisfied,No,Yes,No,41.2,1.07,Student,Permanent Resident,Mandarin,Hybrid,Yes,8.7,No,2021-08-26
61,Female,Chinese,PhD,Married,Construction,Manager,2,Part-time,5066.39,Unsatisfied,Yes,No,Yes,56.2,0.84,Unemployed,Permanent Resident,Tamil,Hybrid,No,16.9,Yes,2022-02-02
37,Male,Indian,High School,Single,Construction,Teacher,29,Full-time,12782.52,Satisfied,No,No,No,54.4,0.82,Unemployed,Foreigner,Tamil,Hybrid,No,7.3,No,2022-12-24
43,Female,Indian,PhD,Widowed,Hospitality,Teacher,7,Self-employed,10161.77,Very Satisfied,Yes,No,Yes,50.1,1.04,Employed,Permanent Resident,English,Remote,Yes,15.6,No,2021-06-13
21,Female,Others,PhD,Widowed,Education,Engineer,3,Part-time,4182.93,Very Unsatisfied,Yes,No,No,47.7,1.47,Unemployed,Permanent Resident,Mandarin,On-site,No,15,No,2022-01-08
38,Female,Indian,Master,Divorced,Finance,Clerk,25,Contract,14240.35,Satisfied,No,Yes,Yes,57.8,1.71,Retired,Foreigner,Malay,Remote,No,17.8,Yes,2023-04-19
32,Female,Malay,PhD,Single,Education,Technician,6,Full-time,4221.99,Unsatisfied,Yes,No,Yes,58.1,1.88,Employed,Permanent Resident,Tamil,Remote,No,12.5,Yes,2022-02-26
59,Female,Malay,Master,Widowed,Construction,Engineer,4,Self-employed,7450.95,Satisfied,Yes,Yes,No,44.5,0.7,Retired,Foreigner,Mandarin,Hybrid,No,14.7,Yes,2021-09-08
56,Female,Chinese,Master,Divorced,Construction,Doctor,5,Part-time,5735.54,Neutral,Yes,No,Yes,42.9,0.78,Student,Citizen,Tamil,Remote,No,17.1,No,2023-07-05
51,Female,Chinese,High School,Married,Hospitality,Engineer,13,Part-time,7212.49,Satisfied,Yes,No,No,44.5,0.88,Retired,Foreigner,Tamil,On-site,No,17.9,No,2022-10-09
23,Male,Others,PhD,Single,Construction,Technician,6,Full-time,5685.11,Satisfied,No,Yes,Yes,53.5,0.62,Student,Permanent Resident,Others,Remote,No,14.1,No,2021-04-03
32,Female,Others,Master,Widowed,Healthcare,Teacher,26,Self-employed,11739.07,Very Satisfied,Yes,Yes,No,56,1.08,Employed,Permanent Resident,Malay,Remote,Yes,10.6,Yes,2023-02-18
51,Female,Others,PhD,Widowed,Construction,Technician,8,Full-time,4004.63,Satisfied,Yes,No,Yes,39.7,1.55,Retired,Permanent Resident,Mandarin,Remote,Yes,14.6,Yes,2022-12-19
60,Female,Chinese,Bachelor,Divorced,Education,Doctor,10,Part-time,2312.23,Very Unsatisfied,No,Yes,Yes,42,0.7,Employed,Citizen,Tamil,Remote,Yes,13.8,Yes,2021-06-19
23,Male,Malay,Master,Divorced,Finance,Clerk,20,Full-time,13741.65,Very Unsatisfied,Yes,Yes,No,54.3,1.05,Unemployed,Permanent Resident,Tamil,Hybrid,No,17.3,No,2021-03-16
42,Female,Indian,Master,Married,Education,Teacher,15,Contract,5806.78,Unsatisfied,No,No,Yes,39.1,1.52,Retired,Permanent Resident,Malay,On-site,Yes,9.3,No,2022-12-23
63,Female,Chinese,High School,Married,Finance,Manager,3,Part-time,5133.25,Neutral,No,Yes,Yes,35.6,1.11,Employed,Foreigner,Tamil,On-site,No,11.9,No,2022-06-10
37,Female,Malay,Diploma,Widowed,Hospitality,Laborer,15,Self-employed,10601.83,Satisfied,No,No,No,35.9,0.79,Student,Citizen,Malay,On-site,Yes,11.4,Yes,2021-01-21
45,Male,Malay,Diploma,Single,Education,Teacher,13,Self-employed,14204.85,Satisfied,No,No,No,42.7,1.3,Student,Citizen,Mandarin,On-site,Yes,8.9,Yes,2021-04-28
36,Male,Malay,Bachelor,Single,Education,Teacher,16,Full-time,6204.85,Unsatisfied,No,No,Yes,47.5,1.97,Retired,Foreigner,Malay,On-site,Yes,19.8,No,2023-07-27
31,Female,Chinese,High School,Married,Education,Manager,12,Full-time,5147.61,Neutral,No,Yes,Yes,36.5,1.93,Student,Permanent Resident,Mandarin,Hybrid,Yes,10.5,No,2023-06-13
37,Male,Others,High School,Divorced,Healthcare,Technician,9,Part-time,8572.03,Unsatisfied,No,Yes,Yes,46.6,0.56,Retired,Citizen,Tamil,Remote,Yes,18.2,Yes,2022-07-22
29,Male,Chinese,High School,Widowed,Information Technology,Laborer,1,Full-time,11218.06,Satisfied,Yes,Yes,No,40.7,1.08,Unemployed,Permanent Resident,Mandarin,Remote,Yes,16.3,Yes,2023-04-07
55,Male,Others,Master,Widowed,Construction,Doctor,29,Self-employed,10158.16,Unsatisfied,No,No,No,37.9,1.36,Retired,Citizen,Tamil,Remote,Yes,18,Yes,2023-05-12
30,Male,Others,Diploma,Single,Hospitality,Teacher,21,Self-employed,3294.84,Neutral,Yes,No,Yes,59.9,0.51,Student,Foreigner,Others,On-site,No,15.1,Yes,2021-05-22
41,Male,Malay,Diploma,Widowed,Hospitality,Doctor,1,Part-time,6082.98,Very Unsatisfied,Yes,Yes,Yes,48.9,1.15,Unemployed,Citizen,Others,Hybrid,No,19.7,Yes,2021-11-15
31,Female,Chinese,High School,Widowed,Finance,Manager,14,Part-time,3364.74,Satisfied,No,No,Yes,35.6,0.81,Student,Foreigner,Tamil,On-site,Yes,19.1,No,2022-10-13
31,Female,Others,Master,Divorced,Construction,Clerk,3,Self-employed,7999.66,Satisfied,No,Yes,Yes,51.8,1.2,Student,Foreigner,Mandarin,Hybrid,No,13.6,No,2021-03-04
30,Male,Others,PhD,Single,Finance,Engineer,17,Contract,11223.08,Satisfied,No,Yes,No,37.3,1.15,Unemployed,Permanent Resident,Malay,On-site,Yes,8.3,No,2021-07-23
28,Female,Indian,PhD,Divorced,Finance,Clerk,6,Self-employed,5905.42,Satisfied,No,No,No,46.2,1.59,Student,Permanent Resident,Malay,On-site,No,6.7,No,2021-01-16
52,Male,Chinese,PhD,Widowed,Healthcare,Clerk,28,Contract,4645.73,Unsatisfied,Yes,Yes,Yes,38.3,0.52,Retired,Citizen,Tamil,Hybrid,Yes,11,Yes,2022-09-24
52,Male,Others,High School,Widowed,Finance,Teacher,11,Full-time,4396.35,Satisfied,Yes,No,Yes,51.7,0.98,Unemployed,Permanent Resident,Others,Remote,No,14.7,Yes,2023-07-17
26,Female,Indian,PhD,Married,Hospitality,Technician,29,Self-employed,11708.15,Satisfied,No,No,No,43.5,1.68,Student,Permanent Resident,Others,Remote,No,9.7,Yes,2023-05-24
60,Male,Chinese,PhD,Widowed,Construction,Manager,14,Part-time,6337.91,Very Unsatisfied,Yes,Yes,No,47.3,1.71,Employed,Foreigner,English,Remote,No,19.3,Yes,2021-12-11
48,Male,Malay,PhD,Widowed,Hospitality,Technician,15,Self-employed,10820.48,Neutral,No,No,Yes,58.8,0.8,Retired,Foreigner,Tamil,On-site,Yes,16.5,No,2023-01-10
56,Female,Others,High School,Single,Information Technology,Laborer,23,Self-employed,10820.96,Satisfied,Yes,Yes,No,44.2,1.37,Unemployed,Permanent Resident,English,Remote,Yes,15.1,No,2021-02-24
52,Female,Chinese,High School,Widowed,Information Technology,Manager,21,Full-time,13025.88,Satisfied,No,Yes,No,40.8,1.7,Student,Citizen,Tamil,On-site,Yes,19.5,No,2022-02-09
40,Male,Chinese,Master,Single,Construction,Teacher,14,Full-time,11868.28,Satisfied,Yes,Yes,Yes,50.3,0.96,Student,Permanent Resident,Malay,Remote,No,16.2,Yes,2023-11-18
49,Male,Malay,High School,Divorced,Finance,Laborer,9,Contract,9599.51,Neutral,No,No,No,43.2,1.46,Student,Citizen,Malay,On-site,Yes,10.1,No,2022-08-10
34,Female,Malay,PhD,Single,Construction,Clerk,21,Full-time,9283.81,Very Satisfied,No,Yes,Yes,46.8,0.88,Retired,Permanent Resident,English,On-site,Yes,15.4,Yes,2021-03-26
25,Male,Chinese,High School,Single,Hospitality,Technician,4,Contract,6473.76,Satisfied,Yes,Yes,No,36.6,0.9,Employed,Foreigner,English,Remote,Yes,16.9,Yes,2022-05-02
62,Female,Malay,High School,Divorced,Information Technology,Technician,21,Contract,10283.24,Very Satisfied,Yes,Yes,Yes,44.6,1.73,Retired,Citizen,Tamil,Hybrid,Yes,11.5,Yes,2022-04-18
46,Female,Malay,Bachelor,Married,Information Technology,Teacher,2,Part-time,11469.52,Satisfied,Yes,Yes,Yes,56.1,0.63,Unemployed,Citizen,Malay,Remote,Yes,11.1,Yes,2021-02-19
29,Male,Malay,Master,Widowed,Education,Engineer,12,Part-time,6097.71,Very Unsatisfied,No,No,No,36,0.72,Retired,Citizen,Others,On-site,No,5.2,Yes,2021-02-17
44,Female,Malay,High School,Divorced,Construction,Clerk,8,Contract,7794.66,Unsatisfied,No,Yes,No,45.7,0.91,Student,Permanent Resident,Mandarin,Hybrid,No,15.8,Yes,2022-11-21
63,Male,Indian,High School,Single,Construction,Manager,9,Contract,10203.09,Unsatisfied,No,No,No,53.4,0.81,Student,Citizen,Others,On-site,Yes,9.4,Yes,2022-12-06
34,Female,Indian,High School,Widowed,Information Technology,Doctor,20,Contract,7442.36,Unsatisfied,Yes,No,Yes,46.6,0.63,Student,Citizen,English,Hybrid,Yes,17.6,Yes,2022-01-08
54,Male,Indian,Bachelor,Divorced,Hospitality,Engineer,27,Full-time,10689.68,Neutral,Yes,Yes,No,50,0.91,Unemployed,Foreigner,Tamil,Hybrid,Yes,16.3,No,2021-11-23
35,Female,Malay,Bachelor,Single,Finance,Technician,8,Full-time,4905.33,Satisfied,Yes,No,Yes,58.8,0.65,Unemployed,Permanent Resident,Others,Remote,No,11.3,Yes,2022-01-05
60,Male,Chinese,Bachelor,Divorced,Healthcare,Clerk,11,Full-time,10806.84,Neutral,No,No,No,59.7,0.68,Unemployed,Permanent Resident,Tamil,On-site,No,17.5,Yes,2021-02-05
22,Male,Malay,High School,Widowed,Finance,Doctor,22,Contract,8272.01,Satisfied,Yes,No,No,55.5,1.72,Student,Citizen,Tamil,On-site,Yes,16.6,Yes,2022-08-17
25,Male,Indian,Master,Divorced,Education,Manager,1,Part-time,3737.27,Neutral,No,Yes,No,37.2,1.92,Unemployed,Foreigner,Others,Remote,Yes,10.2,Yes,2022-11-10
43,Male,Others,High School,Married,Information Technology,Teacher,0,Full-time,14643.31,Satisfied,Yes,Yes,Yes,55.2,1.54,Employed,Permanent Resident,Malay,Remote,Yes,19.8,No,2023-03-17
54,Female,Indian,PhD,Widowed,Construction,Technician,15,Contract,6020.68,Very Unsatisfied,Yes,No,No,48.2,0.73,Unemployed,Citizen,Others,On-site,Yes,18.5,No,2022-02-10
22,Female,Indian,High School,Married,Construction,Doctor,5,Self-employed,7417.37,Very Unsatisfied,Yes,Yes,No,40.8,0.51,Student,Permanent Resident,English,On-site,Yes,7.3,Yes,2023-11-17
36,Male,Indian,High School,Divorced,Education,Technician,9,Part-time,10091.95,Satisfied,Yes,No,Yes,54.5,0.79,Unemployed,Permanent Resident,Mandarin,Remote,No,14.4,No,2023-12-11
58,Female,Malay,Bachelor,Married,Finance,Teacher,4,Part-time,8912.11,Unsatisfied,Yes,Yes,Yes,48.4,1.9,Employed,Citizen,English,Hybrid,Yes,13.8,No,2023-01-20
37,Male,Malay,Bachelor,Single,Healthcare,Technician,28,Self-employed,9825.04,Unsatisfied,Yes,No,Yes,56.9,0.65,Retired,Citizen,Tamil,Hybrid,No,6.2,Yes,2021-09-15
27,Male,Malay,Bachelor,Married,Construction,Clerk,28,Contract,10798.96,Very Satisfied,Yes,No,No,56.6,1.28,Student,Foreigner,Tamil,On-site,Yes,16.8,Yes,2023-05-08
29,Female,Chinese,Master,Single,Construction,Teacher,9,Contract,9121.25,Neutral,Yes,No,Yes,54.2,1.11,Unemployed,Permanent Resident,English,Hybrid,Yes,17.3,Yes,2022-10-16
34,Male,Others,Diploma,Single,Information Technology,Teacher,26,Contract,13422.92,Very Satisfied,No,Yes,Yes,50.4,1.45,Unemployed,Foreigner,English,Remote,No,10.2,No,2022-03-05
28,Female,Others,Master,Divorced,Healthcare,Technician,29,Part-time,9232.64,Unsatisfied,No,Yes,Yes,55.9,0.75,Student,Foreigner,Others,On-site,No,8.9,Yes,2021-02-13
22,Male,Chinese,High School,Widowed,Hospitality,Laborer,14,Contract,9489.14,Neutral,Yes,No,Yes,56,0.89,Student,Citizen,English,Remote,Yes,9.7,No,2021-07-05
32,Female,Chinese,Master,Divorced,Hospitality,Teacher,12,Part-time,3915.66,Very Unsatisfied,Yes,Yes,No,58.1,1.32,Employed,Permanent Resident,Mandarin,Remote,No,14.7,No,2022-05-10
55,Female,Malay,Diploma,Married,Information Technology,Teacher,10,Contract,14686.49,Very Unsatisfied,Yes,Yes,Yes,49.3,0.62,Unemployed,Permanent Resident,Others,On-site,No,8.1,No,2023-01-18
50,Female,Chinese,Bachelor,Widowed,Construction,Teacher,8,Part-time,9301.78,Satisfied,No,No,Yes,46.7,0.67,Unemployed,Foreigner,English,Remote,Yes,10.3,Yes,2022-10-06
33,Male,Chinese,High School,Single,Information Technology,Clerk,8,Self-employed,2033.34,Satisfied,No,No,No,46,1.87,Student,Citizen,English,On-site,Yes,11.3,No,2021-09-27
