Year,Month,Region,Category,Product,Units Sold,Unit Price,Cost of Goods Sold,Marketing Spend,Customer Ratings
2021,7,Philippines,Computers,Keyboard,1234.0,1174.63,1329.62,21591.14,1.5
2022,9,Indonesia,Computers,Desktop,868.0,642.73,393.88,23183.91,3.2
2019,1,Indonesia,Home Appliances,Washing Machine,1036.0,273.82,1420.01,30692.33,4.1
2020,4,Malaysia,Home Appliances,Refrigerator,280.0,1815.95,1011.3,17164.39,3.0
2020,4,Singapore,Personal Care,Massager,605.0,1883.69,1225.23,16133.48,3.0
2022,4,Indonesia,Computers,Printer,541.0,1490.46,854.07,47365.78,4.0
2020,4,Philippines,Personal Care,Massager,611.0,972.36,94.51,48443.05,5.0
2020,2,Malaysia,Entertainment,VR Headset,1098.0,1135.03,330.44,35167.64,1.7
2019,10,Philippines,Computers,External Hard Drive,1101.0,1808.46,1186.67,34706.98,1.5
2019,6,Singapore,Personal Care,Hair Dryer,551.0,798.37,422.6,22152.39,2.7
2019,4,Malaysia,Electronics,E-reader,271.0,1689.7,1089.22,4773.52,3.9
2022,3,Indonesia,Personal Care,Hair Dryer,1229.0,1353.19,1466.91,7558.38,3.1
2022,3,Philippines,Entertainment,DVD Player,333.0,300.77,962.53,22609.2,3.8
2022,8,Singapore,Personal Care,Massager,795.0,1325.19,164.79,24572.83,3.1
2020,2,Philippines,Computers,Monitor,556.0,1294.97,213.89,36785.77,3.4
2021,11,Philippines,Computers,Keyboard,104.0,562.69,1490.37,5884.23,3.7
2020,11,Thailand,Personal Care,Hair Straightener,503.0,1436.73,866.54,10788.63,2.2
2019,10,Thailand,Entertainment,Television,1050.0,313.64,196.83,1156.33,4.8
2021,3,Thailand,Personal Care,Hair Straightener,1426.0,217.97,274.33,19153.02,2.0
2018,5,Thailand,Computers,Monitor,953.0,894.01,916.92,40674.29,2.3
2021,1,Singapore,Computers,Laptop,570.0,1615.55,876.72,4904.96,2.5
2019,6,Thailand,Entertainment,Streaming Device,1468.0,1265.78,323.15,48245.61,4.3
2019,11,Indonesia,Computers,Monitor,314.0,1174.07,98.79,49262.6,3.6
2019,7,Thailand,Electronics,Camera,1234.0,986.36,660.03,30606.75,3.9
2019,5,Philippines,Home Appliances,Blender,809.0,569.69,189.69,6974.67,3.2
2018,7,Indonesia,Home Appliances,Air Conditioner,212.0,1263.9,1316.95,29701.67,4.1
2021,12,Thailand,Electronics,Smartwatch,,,445.87,1893.11,
2018,7,Philippines,Home Appliances,Dryer,369.0,819.34,947.25,49475.98,3.2
2020,7,Singapore,Personal Care,Hair Dryer,1225.0,614.9,447.29,47110.94,1.7
2021,7,Philippines,Personal Care,Facial Cleanser,180.0,724.92,376.88,12167.89,1.6
2020,2,Malaysia,Home Appliances,Washing Machine,831.0,446.27,220.63,31599.43,2.2
2020,3,Singapore,Entertainment,Streaming Device,863.0,411.78,498.51,39676.54,4.4
2020,9,Philippines,Electronics,Portable Speaker,1082.0,66.08,1044.67,21618.76,4.8
2019,7,Malaysia,Electronics,Smartphone,859.0,1455.88,1376.47,13150.68,4.0
2021,4,Thailand,Personal Care,Hair Straightener,162.0,135.88,1079.16,7230.8,4.0
2022,12,Malaysia,Computers,Monitor,1455.0,357.44,155.36,49865.07,2.3
2021,10,Philippines,Home Appliances,Microwave,745.0,792.56,1131.22,38665.74,3.2
2019,11,Singapore,Personal Care,Electric Toothbrush,186.0,549.31,167.09,41692.62,3.2
2021,8,Singapore,Computers,Desktop,124.0,897.18,1135.72,13184.53,4.5
2019,1,Indonesia,Computers,Keyboard,931.0,1291.16,753.17,34799.25,1.7
2021,6,Malaysia,Personal Care,Electric Toothbrush,885.0,1305.49,732.2,13065.89,4.7
2021,3,Malaysia,Home Appliances,Dryer,1037.0,968.71,1479.73,46829.92,1.1
2020,6,Philippines,Home Appliances,Refrigerator,597.0,887.11,1252.69,1660.93,3.6
2018,8,Indonesia,Entertainment,Gaming Console,1135.0,846.31,1280.41,22859.1,4.7
2021,6,Indonesia,Home Appliances,Air Conditioner,1063.0,1048.85,590.02,42987.6,3.7
2022,1,Indonesia,Electronics,Smartphone,228.0,72.55,233.87,44987.37,1.3
2018,1,Indonesia,Home Appliances,Washing Machine,101.0,1162.47,703.83,25992.07,3.1
2022,3,Thailand,Computers,Laptop,73.0,1987.98,341.27,41319.9,3.4
2021,3,Malaysia,Entertainment,Gaming Console,14990.0,72.34,1211.46,21723.74,1.4
2019,12,Singapore,Electronics,Smartphone,,,192.18,6541.17,
2021,6,Singapore,Home Appliances,Refrigerator,334.0,670.17,956.94,44348.24,4.7
2020,7,Thailand,Computers,Keyboard,232.0,234.94,530.09,14883.75,3.5
2019,5,Indonesia,Computers,External Hard Drive,158.0,415.55,608.11,7807.13,4.6
2022,10,Thailand,Personal Care,Massager,856.0,1993.58,1175.39,45016.64,2.7
2021,8,Malaysia,Entertainment,DVD Player,1396.0,1592.57,1314.58,14465.08,4.5
2021,3,Philippines,Electronics,E-reader,413.0,1357.88,882.19,47228.63,2.3
2019,10,Malaysia,Electronics,Tablet,777.0,740.34,906.79,21930.21,1.4
2021,8,Philippines,Entertainment,Gaming Console,1122.0,1467.61,679.53,37722.69,2.2
2018,3,Indonesia,Computers,Desktop,1436.0,180.43,598.97,40919.56,2.6
2022,10,Singapore,Computers,Monitor,,,1024.82,30199.03,
2021,5,Malaysia,Personal Care,Massager,670.0,825.7,327.64,3837.96,1.0
2021,12,Malaysia,Entertainment,Streaming Device,281.0,71.4,141.34,37928.44,4.1
2019,9,Singapore,Home Appliances,Blender,736.0,1247.6,961.81,1122.27,2.5
2020,6,Philippines,Electronics,Smartphone,266.0,673.56,936.54,43078.83,4.8
2022,12,Indonesia,Computers,Keyboard,371.0,1234.61,1064.56,16702.38,3.9
2018,8,Malaysia,Home Appliances,Blender,474.0,412.35,1239.64,42625.11,1.7
2018,7,Thailand,Computers,Laptop,1009.0,65.64,971.54,11212.48,3.5
2019,7,Malaysia,Electronics,Camera,137.0,1545.39,91.98,40124.36,4.5
2018,1,Singapore,Entertainment,DVD Player,1283.0,19999.4,451.33,49546.21,4.7
2020,2,Thailand,Electronics,E-reader,786.0,1493.08,304.24,2713.11,1.8
2021,3,Malaysia,Personal Care,Massager,326.0,1009.71,303.88,8149.79,3.3
2022,11,Indonesia,Computers,Printer,1153.0,1811.06,825.92,48762.73,4.8
2021,11,Singapore,Computers,External Hard Drive,495.0,202.93,930.07,21283.59,2.8
2019,12,Thailand,Computers,Printer,788.0,1153.36,1235.21,30008.31,1.0
2021,11,Thailand,Personal Care,Shaver,,,194.77,48878.12,
2020,1,Indonesia,Home Appliances,Air Conditioner,1437.0,304.48,803.83,27580.52,1.9
2018,9,Singapore,Entertainment,VR Headset,174.0,1205.43,305.86,4052.8,3.4
2022,9,Malaysia,Computers,External Hard Drive,474.0,1596.78,593.3,22981.5,2.7
2020,3,Singapore,Electronics,Camera,,,1086.17,5124.16,
2019,7,Indonesia,Entertainment,Sound System,234.0,19999.4,765.09,14399.59,2.7
2022,9,Philippines,Electronics,Smartwatch,438.0,1977.78,1499.66,22342.94,3.6
2021,1,Indonesia,Computers,Monitor,962.0,1219.88,1229.53,10772.24,2.2
2019,5,Singapore,Entertainment,Streaming Device,1003.0,544.15,433.39,38796.27,4.3
2021,11,Philippines,Computers,Monitor,678.0,1392.69,887.07,24019.48,4.0
2020,11,Philippines,Home Appliances,Air Conditioner,1284.0,682.99,835.13,17584.8,1.4
2020,12,Philippines,Computers,Desktop,1092.0,1953.71,1325.3,19948.72,4.5
2019,3,Thailand,Personal Care,Massager,874.0,1079.0,402.26,37028.96,4.0
2018,1,Malaysia,Computers,Laptop,1100.0,708.4,96.36,34464.9,4.6
2019,4,Indonesia,Home Appliances,Blender,1371.0,492.08,1336.6,4286.08,3.0
2018,8,Singapore,Computers,External Hard Drive,1394.0,1649.76,616.95,39483.04,2.4
2019,5,Indonesia,Home Appliances,Washing Machine,811.0,345.64,1331.64,27973.18,4.3
2019,5,Thailand,Electronics,Portable Speaker,225.0,679.12,473.2,21278.94,4.8
2022,10,Indonesia,Home Appliances,Air Conditioner,322.0,1172.84,852.78,21449.76,3.1
2018,4,Thailand,Computers,External Hard Drive,892.0,19999.4,704.47,5620.79,3.0
2018,2,Thailand,Electronics,Camera,1378.0,764.89,807.36,26411.13,2.9
2020,1,Singapore,Personal Care,Facial Cleanser,1267.0,1849.91,1223.37,38412.97,1.5
2021,7,Philippines,Entertainment,Sound System,437.0,1525.0,550.99,24712.84,4.8
2020,2,Thailand,Entertainment,Television,426.0,931.81,380.28,35392.39,1.9
2018,2,Indonesia,Entertainment,Gaming Console,1196.0,1361.67,225.48,9923.3,1.5
2022,12,Singapore,Electronics,Smartphone,630.0,1636.02,519.71,23754.29,1.2
2018,11,Indonesia,Home Appliances,Blender,703.0,1552.05,986.23,28238.86,4.8
2021,9,Malaysia,Entertainment,Streaming Device,848.0,1458.72,917.74,3062.18,4.5
2021,3,Singapore,Entertainment,Television,1097.0,1408.28,787.74,17398.77,3.4
2019,2,Thailand,Home Appliances,Dryer,649.0,1335.16,1081.48,22383.66,4.4
2022,3,Indonesia,Personal Care,Hair Dryer,1181.0,1530.3,560.47,6788.59,4.6
2020,6,Indonesia,Electronics,E-reader,995.0,618.4,722.31,22069.79,1.5
2022,8,Singapore,Entertainment,Streaming Device,1128.0,896.96,59.7,24039.35,4.8
2019,3,Thailand,Electronics,Tablet,1355.0,519.11,459.53,7424.75,1.1
2018,11,Malaysia,Computers,Monitor,1077.0,1256.48,180.26,7094.84,4.0
2021,6,Singapore,Home Appliances,Washing Machine,1473.0,1535.71,1221.47,45852.64,5.0
2018,5,Singapore,Home Appliances,Refrigerator,1148.0,849.51,1439.27,10169.31,1.4
2018,9,Indonesia,Personal Care,Facial Cleanser,980.0,489.67,905.5,33635.17,3.6
2019,6,Thailand,Home Appliances,Refrigerator,973.0,357.65,797.08,48807.6,4.8
2020,4,Singapore,Electronics,Camera,530.0,881.28,1229.34,44162.79,4.5
2018,5,Thailand,Computers,External Hard Drive,1044.0,1517.39,1292.05,20559.67,4.6
2021,5,Philippines,Entertainment,DVD Player,1465.0,1205.33,602.93,36198.33,2.5
2021,4,Philippines,Computers,Desktop,14990.0,757.27,529.33,39249.34,4.4
2020,2,Singapore,Computers,External Hard Drive,1410.0,1522.19,1206.04,7852.08,2.0
2020,6,Philippines,Home Appliances,Blender,659.0,534.21,98.18,44587.12,2.7
2019,7,Malaysia,Computers,Keyboard,374.0,1934.66,976.26,31851.89,3.2
2022,9,Thailand,Entertainment,VR Headset,105.0,1376.21,917.38,18036.8,1.4
2021,7,Thailand,Home Appliances,Blender,1107.0,1609.63,56.79,26002.62,3.3
2018,6,Indonesia,Electronics,Smartphone,14990.0,,1467.14,20347.36,
2019,5,Philippines,Personal Care,Hair Straightener,373.0,1257.91,1329.41,28024.17,2.7
2020,11,Malaysia,Electronics,Camera,1127.0,1000.11,699.4,1830.92,2.5
2018,8,Indonesia,Entertainment,Streaming Device,920.0,1881.01,105.11,13652.07,3.2
2022,1,Indonesia,Personal Care,Massager,666.0,1246.96,1182.42,6542.91,2.9
2020,10,Malaysia,Electronics,Camera,,,766.61,19026.54,
2022,11,Thailand,Entertainment,Sound System,654.0,1111.57,604.63,13155.65,1.4
2022,5,Thailand,Personal Care,Shaver,1007.0,1738.3,29.31,40112.7,2.7
2021,4,Singapore,Home Appliances,Refrigerator,481.0,1013.5,801.96,36306.33,2.3
2021,11,Malaysia,Electronics,Tablet,710.0,528.11,304.12,43726.8,3.0
2022,12,Philippines,Computers,External Hard Drive,1097.0,282.63,879.97,26058.19,2.5
2021,1,Philippines,Personal Care,Hair Dryer,311.0,1309.73,682.68,36054.2,3.8
2020,3,Singapore,Computers,Printer,1287.0,1357.9,1346.52,35792.05,4.5
2022,6,Thailand,Personal Care,Electric Toothbrush,141.0,1636.74,239.26,31243.82,3.1
2022,11,Malaysia,Home Appliances,Air Conditioner,427.0,195.29,428.84,17561.26,4.6
2019,4,Singapore,Computers,Keyboard,129.0,761.47,1029.36,14904.13,2.9
2019,1,Singapore,Electronics,Camera,445.0,1840.76,1264.85,47972.61,3.4
2019,1,Thailand,Entertainment,Gaming Console,,,867.57,5014.45,
2019,4,Philippines,Personal Care,Hair Straightener,138.0,1865.27,463.39,17983.97,4.7
2018,10,Philippines,Home Appliances,Refrigerator,1145.0,1806.87,82.89,34838.36,3.9
2019,4,Malaysia,Computers,External Hard Drive,405.0,661.89,1092.3,49741.0,4.7
2020,12,Philippines,Computers,External Hard Drive,1139.0,1413.38,892.53,5934.35,2.4
2018,8,Indonesia,Personal Care,Shaver,1111.0,528.47,1168.11,33140.46,2.7
2020,5,Philippines,Electronics,E-reader,638.0,1670.28,160.24,21822.5,4.7
2019,11,Thailand,Computers,Monitor,1291.0,346.08,958.41,20082.16,1.9
2022,8,Philippines,Personal Care,Hair Dryer,1387.0,1349.71,210.35,25100.0,1.7
2018,11,Indonesia,Entertainment,Sound System,108.0,1093.11,600.85,10595.63,3.2
2022,9,Philippines,Home Appliances,Blender,64.0,1128.83,1456.27,14122.34,3.5
2020,7,Philippines,Personal Care,Facial Cleanser,1059.0,1528.84,746.6,39968.41,1.3
2020,1,Thailand,Personal Care,Electric Toothbrush,549.0,1691.67,869.25,19337.02,1.9
2018,12,Philippines,Computers,Printer,614.0,314.27,674.97,11293.38,1.9
2020,1,Singapore,Electronics,Smartphone,376.0,151.01,48.42,12042.6,3.0
2018,4,Singapore,Computers,Printer,627.0,1755.76,1192.82,16541.78,2.3
2020,12,Thailand,Computers,Keyboard,1021.0,916.66,1118.55,49228.88,1.0
2022,1,Singapore,Personal Care,Electric Toothbrush,,,1411.43,44950.74,
2021,6,Singapore,Home Appliances,Washing Machine,570.0,1594.39,167.61,18398.46,3.6
2019,4,Indonesia,Computers,Monitor,,,384.89,34510.78,
2019,6,Malaysia,Personal Care,Facial Cleanser,1304.0,450.46,915.34,23728.21,4.3
2021,11,Malaysia,Entertainment,Sound System,1450.0,1943.28,310.37,19827.22,4.0
2021,10,Indonesia,Electronics,Portable Speaker,285.0,1172.64,800.81,48454.74,3.9
2018,10,Malaysia,Entertainment,Television,1246.0,1393.36,29.39,9066.48,2.6
2020,5,Singapore,Electronics,E-reader,529.0,778.81,1084.65,43456.88,2.9
2022,12,Thailand,Electronics,Tablet,813.0,1326.61,784.57,21484.12,1.4
2019,5,Thailand,Personal Care,Hair Straightener,1453.0,703.97,332.42,11286.73,4.8
2021,8,Malaysia,Personal Care,Massager,513.0,1724.23,379.55,8276.24,4.6
2021,6,Singapore,Entertainment,VR Headset,1150.0,1040.02,755.64,2208.37,3.8
2021,3,Malaysia,Electronics,Smartphone,936.0,672.66,620.12,8646.56,2.4
2020,7,Thailand,Computers,Desktop,1076.0,248.27,1205.28,30914.96,3.0
2022,5,Thailand,Personal Care,Hair Straightener,1069.0,1697.92,242.53,5817.19,1.9
2021,7,Malaysia,Computers,Desktop,1114.0,1847.58,53.93,47666.03,3.8
2022,9,Indonesia,Entertainment,Gaming Console,352.0,270.63,886.36,40171.89,4.1
2019,6,Malaysia,Electronics,Camera,494.0,1574.94,816.37,45853.67,4.3
2018,3,Singapore,Entertainment,Sound System,1088.0,260.42,539.57,7897.48,4.3
2018,10,Thailand,Entertainment,Streaming Device,1451.0,1741.5,901.42,13271.86,4.3
2019,5,Philippines,Computers,External Hard Drive,868.0,1124.13,142.65,46482.48,1.5
2018,10,Philippines,Electronics,Portable Speaker,253.0,65.36,121.24,1468.74,4.2
2021,11,Indonesia,Computers,Desktop,595.0,373.02,1065.94,40304.42,4.0
2020,11,Malaysia,Computers,Desktop,1104.0,1563.01,897.55,22531.93,3.3
2018,12,Malaysia,Entertainment,Gaming Console,325.0,368.0,192.17,37468.93,2.2
2019,1,Indonesia,Home Appliances,Washing Machine,484.0,521.21,1370.26,38810.49,2.0
2020,3,Philippines,Entertainment,VR Headset,1081.0,993.05,52.44,27192.25,2.5
2019,7,Malaysia,Entertainment,VR Headset,1219.0,481.23,1351.09,11735.79,2.0
2021,5,Malaysia,Home Appliances,Dryer,1235.0,605.22,1104.54,23950.87,1.5
2019,9,Thailand,Home Appliances,Blender,1274.0,744.35,620.99,33012.99,3.2
2021,11,Philippines,Entertainment,Gaming Console,182.0,57.59,495.4,16717.53,3.6
2018,8,Malaysia,Home Appliances,Microwave,1220.0,51.97,710.44,40837.05,2.4
2020,12,Malaysia,Electronics,Smartwatch,471.0,1320.01,1349.73,42941.44,3.4
2022,1,Singapore,Home Appliances,Microwave,126.0,1712.77,600.93,1979.73,5.0
2020,2,Malaysia,Entertainment,Gaming Console,1327.0,382.61,513.07,13546.04,2.2
2022,5,Malaysia,Entertainment,Sound System,176.0,1320.12,845.2,32186.43,3.4
2018,9,Thailand,Computers,Laptop,607.0,222.2,1413.77,48390.96,3.9
2019,1,Indonesia,Home Appliances,Blender,133.0,1878.71,808.96,36078.38,3.7
2021,9,Indonesia,Home Appliances,Washing Machine,,,920.98,26235.52,
2021,1,Philippines,Electronics,Smartphone,1084.0,176.54,593.43,6243.17,1.8
2021,2,Indonesia,Electronics,E-reader,69.0,743.28,351.29,28262.75,3.7
2018,1,Thailand,Personal Care,Hair Dryer,,,496.21,32935.64,
2018,8,Malaysia,Entertainment,DVD Player,985.0,1143.61,737.14,44623.93,2.0
2022,8,Singapore,Personal Care,Hair Straightener,485.0,1332.08,697.74,6684.62,4.3
2020,6,Indonesia,Home Appliances,Dryer,1196.0,517.5,708.26,19830.5,3.6
2020,2,Philippines,Home Appliances,Microwave,1341.0,962.85,365.59,41161.1,4.0
2019,1,Malaysia,Electronics,E-reader,1120.0,818.05,300.98,43690.34,3.5
2022,9,Philippines,Personal Care,Electric Toothbrush,1324.0,1607.07,310.23,12394.0,4.9
2018,10,Philippines,Entertainment,DVD Player,1337.0,1435.59,646.46,37928.66,2.6
2018,8,Singapore,Home Appliances,Dryer,1139.0,1826.71,22.76,25842.34,4.2
2021,1,Philippines,Entertainment,DVD Player,1020.0,1290.93,1207.1,8389.18,2.5
2022,11,Malaysia,Personal Care,Hair Dryer,420.0,1853.11,88.57,40917.54,4.6
2022,10,Singapore,Home Appliances,Dryer,625.0,1503.89,216.8,29194.45,3.4
2018,5,Philippines,Personal Care,Massager,569.0,171.67,630.73,20755.27,4.1
2022,11,Singapore,Entertainment,Streaming Device,672.0,1529.81,387.31,11418.94,3.8
2021,1,Indonesia,Electronics,Camera,169.0,1480.15,1112.52,48941.07,1.2
2021,1,Indonesia,Home Appliances,Washing Machine,,,356.25,25427.17,
2018,5,Malaysia,Computers,Keyboard,877.0,19999.4,819.54,41378.9,3.3
2018,11,Singapore,Electronics,Portable Speaker,491.0,1333.17,1408.36,42820.74,1.1
2022,10,Singapore,Entertainment,DVD Player,1441.0,1297.38,1205.93,36008.51,4.8
2022,3,Thailand,Computers,Printer,1158.0,499.31,399.06,16625.95,3.0
2020,5,Philippines,Electronics,Portable Speaker,450.0,849.03,1095.01,40828.81,3.4
2022,2,Philippines,Entertainment,Gaming Console,1263.0,1416.52,159.7,38551.08,2.8
2022,7,Malaysia,Computers,Keyboard,1096.0,1658.99,423.65,20890.76,3.2
2019,10,Singapore,Entertainment,Television,784.0,892.96,936.27,38535.79,3.5
2018,4,Philippines,Entertainment,Streaming Device,405.0,1239.97,670.4,40896.25,2.1
2022,9,Malaysia,Entertainment,Streaming Device,1043.0,210.52,158.47,35554.24,4.7
2019,10,Singapore,Computers,Printer,527.0,735.88,727.79,3920.25,1.6
2022,10,Thailand,Electronics,E-reader,352.0,165.53,462.39,34472.28,2.3
2018,12,Thailand,Personal Care,Hair Straightener,288.0,1124.83,566.78,21521.71,2.4
2020,4,Indonesia,Electronics,Smartwatch,,,572.42,34181.66,
2021,2,Singapore,Electronics,E-reader,824.0,1311.1,384.26,45092.75,2.6
2018,5,Thailand,Electronics,Camera,695.0,1551.13,858.61,13836.78,4.1
2018,6,Philippines,Personal Care,Facial Cleanser,395.0,535.62,294.66,48324.02,1.4
2019,4,Indonesia,Personal Care,Hair Dryer,200.0,943.01,912.9,18065.13,2.8
2019,11,Singapore,Personal Care,Hair Straightener,457.0,649.02,1417.02,37351.43,1.4
2019,3,Thailand,Entertainment,Streaming Device,865.0,311.62,1191.26,10942.9,4.9
2020,3,Philippines,Entertainment,VR Headset,827.0,19999.4,1228.06,19135.31,1.6
2019,10,Indonesia,Home Appliances,Air Conditioner,173.0,1583.31,418.18,31174.85,1.1
2018,9,Malaysia,Electronics,Smartwatch,302.0,524.45,26.64,37367.61,1.1
2019,6,Singapore,Entertainment,Gaming Console,958.0,1774.64,250.14,3660.74,2.3
2022,8,Singapore,Home Appliances,Washing Machine,1115.0,457.75,967.08,11601.85,2.4
2022,11,Malaysia,Home Appliances,Microwave,1048.0,1715.14,982.53,5034.48,1.7
2021,5,Philippines,Electronics,Smartwatch,866.0,250.12,899.93,5005.84,4.9
2022,8,Singapore,Electronics,Camera,1272.0,1336.64,1045.34,23104.19,3.7
2021,3,Malaysia,Electronics,Smartphone,627.0,880.05,195.96,27105.92,1.4
2022,1,Philippines,Personal Care,Electric Toothbrush,1367.0,96.15,247.67,37361.12,2.9
2020,4,Indonesia,Entertainment,Sound System,677.0,1884.1,1148.69,28041.02,4.2
2021,12,Singapore,Entertainment,DVD Player,1496.0,440.95,355.69,12668.87,4.8
2022,6,Philippines,Entertainment,VR Headset,1172.0,1660.99,1164.82,10761.74,1.6
2021,8,Malaysia,Electronics,E-reader,958.0,1552.95,492.55,4466.05,1.0
2021,4,Singapore,Electronics,Smartwatch,855.0,1792.13,542.8,4951.37,3.0
2022,6,Malaysia,Electronics,Smartwatch,1177.0,1911.04,406.01,4195.64,4.0
2018,7,Thailand,Computers,Monitor,895.0,436.35,558.26,23385.95,2.1
2019,11,Indonesia,Electronics,E-reader,1249.0,1300.22,638.34,24016.46,2.8
2021,3,Malaysia,Electronics,Portable Speaker,909.0,692.74,681.05,33851.61,2.3
2021,5,Thailand,Personal Care,Massager,1470.0,1532.33,1451.66,29767.8,1.2
2021,7,Indonesia,Entertainment,Gaming Console,63.0,334.71,510.37,28790.4,3.2
2019,10,Philippines,Electronics,E-reader,1247.0,671.57,665.07,16003.34,1.5
2021,7,Singapore,Home Appliances,Refrigerator,544.0,404.53,291.11,35037.64,3.7
2021,1,Indonesia,Computers,Laptop,1419.0,1849.43,1068.85,34542.5,4.4
2022,12,Philippines,Electronics,Camera,435.0,238.69,517.86,18637.87,3.8
2018,2,Indonesia,Computers,Monitor,,,951.35,43618.34,
2020,9,Malaysia,Computers,Keyboard,1071.0,251.73,919.23,48135.88,3.3
2020,4,Malaysia,Entertainment,Sound System,1126.0,447.81,1375.25,11158.29,2.0
2019,4,Philippines,Computers,Desktop,,,1040.52,1939.15,
2020,6,Singapore,Home Appliances,Washing Machine,637.0,576.48,154.05,17782.9,3.8
2018,2,Thailand,Personal Care,Shaver,249.0,666.41,1030.58,43553.66,4.8
2020,6,Indonesia,Computers,Printer,1379.0,189.02,310.12,24340.53,1.5
2018,9,Indonesia,Home Appliances,Washing Machine,1289.0,874.35,1435.79,44888.0,2.2
2018,5,Indonesia,Home Appliances,Dryer,1185.0,1780.86,1351.27,12139.28,3.5
2022,6,Malaysia,Entertainment,DVD Player,228.0,1840.44,989.19,15863.27,4.0
2020,4,Indonesia,Computers,Keyboard,1457.0,350.03,680.47,34304.42,3.7
2021,7,Malaysia,Entertainment,Gaming Console,702.0,1007.42,498.51,47776.33,4.4
2019,10,Malaysia,Electronics,Tablet,14990.0,1490.41,1444.09,42743.23,4.6
2021,10,Malaysia,Entertainment,Television,403.0,1035.65,595.11,30049.69,4.4
2020,7,Malaysia,Home Appliances,Air Conditioner,836.0,391.75,945.81,43886.47,3.0
2020,6,Philippines,Personal Care,Hair Straightener,1399.0,1978.09,219.36,27293.23,2.0
2021,7,Thailand,Electronics,Smartphone,519.0,1432.88,221.96,34042.43,1.4
2022,5,Singapore,Entertainment,Television,97.0,1919.44,513.06,2757.72,2.4
2020,8,Thailand,Entertainment,Gaming Console,954.0,1425.81,426.53,18740.55,4.1
2022,10,Philippines,Computers,Printer,1417.0,1252.53,784.52,19608.77,3.4
2019,2,Singapore,Computers,Laptop,1113.0,1331.58,1077.61,38628.66,1.5
2020,8,Malaysia,Personal Care,Shaver,644.0,1460.16,873.84,15333.86,1.0
2021,3,Malaysia,Electronics,E-reader,965.0,1507.07,1033.61,15172.19,3.9
2022,1,Philippines,Personal Care,Massager,365.0,571.25,1363.58,7844.52,2.0
2019,5,Indonesia,Personal Care,Electric Toothbrush,,,678.31,21523.3,
2018,2,Indonesia,Home Appliances,Microwave,1075.0,1689.63,351.22,1814.19,3.7
2019,6,Singapore,Electronics,Tablet,488.0,1937.75,91.51,11791.16,4.8
2022,7,Indonesia,Electronics,Smartphone,1233.0,1452.01,1397.62,21309.4,2.6
2020,4,Indonesia,Computers,Keyboard,1350.0,1648.8,416.91,22285.69,4.2
2020,1,Indonesia,Computers,Monitor,1210.0,1884.13,1372.06,25679.02,1.1
2018,6,Malaysia,Personal Care,Facial Cleanser,879.0,1374.92,806.63,20258.42,1.9
2022,2,Singapore,Personal Care,Facial Cleanser,,,1497.17,34935.93,
2020,1,Philippines,Home Appliances,Air Conditioner,1396.0,678.23,673.36,40979.63,1.4
2020,6,Malaysia,Electronics,E-reader,1211.0,300.6,903.5,12792.65,2.6
2022,10,Malaysia,Entertainment,VR Headset,615.0,1526.32,1341.26,26966.02,4.8
2019,5,Philippines,Computers,External Hard Drive,1270.0,567.15,526.7,37487.42,2.7
2021,12,Indonesia,Computers,Keyboard,660.0,1177.37,393.79,6675.4,2.0
2019,3,Thailand,Electronics,Camera,1468.0,1510.66,378.61,4332.26,2.5
2022,2,Singapore,Entertainment,Gaming Console,1287.0,1343.27,1144.14,22737.16,2.9
2019,2,Thailand,Entertainment,Sound System,245.0,988.52,666.26,32437.33,1.6
2020,8,Indonesia,Electronics,Smartwatch,801.0,352.93,129.75,16247.04,4.3
2022,7,Singapore,Personal Care,Electric Toothbrush,1249.0,1283.04,573.53,9387.86,2.4
2020,5,Singapore,Entertainment,VR Headset,857.0,874.11,1398.56,24417.37,2.3
2020,11,Thailand,Entertainment,DVD Player,1144.0,217.69,789.13,47163.02,1.2
2020,10,Singapore,Entertainment,DVD Player,,,239.36,47977.14,
2019,5,Indonesia,Personal Care,Hair Straightener,887.0,524.72,944.58,23307.94,1.1
2021,8,Philippines,Personal Care,Shaver,334.0,89.25,1303.53,23319.41,4.2
2018,8,Indonesia,Entertainment,Streaming Device,970.0,1836.83,1346.41,37288.33,3.6
2021,1,Indonesia,Computers,Keyboard,344.0,418.79,100.9,42934.98,3.9
2018,9,Thailand,Personal Care,Shaver,1014.0,271.75,69.45,6306.7,2.4
2022,8,Indonesia,Home Appliances,Refrigerator,922.0,1039.82,449.26,18505.17,1.7
2021,1,Singapore,Home Appliances,Air Conditioner,165.0,72.24,256.73,34039.6,4.1
2018,3,Indonesia,Home Appliances,Washing Machine,279.0,1740.04,804.4,17412.59,3.0
2020,9,Malaysia,Home Appliances,Blender,1065.0,1220.63,179.76,14718.1,3.6
2022,4,Malaysia,Computers,Printer,1121.0,1748.34,1439.92,42442.83,1.5
2021,11,Philippines,Personal Care,Shaver,420.0,1437.16,286.29,3028.95,3.7
2019,7,Indonesia,Electronics,E-reader,585.0,873.7,1265.2,18198.71,2.3
2022,8,Indonesia,Electronics,Portable Speaker,908.0,1119.26,920.56,1374.14,1.1
2020,6,Indonesia,Home Appliances,Microwave,64.0,1193.48,1149.31,48252.3,2.0
2020,4,Indonesia,Electronics,Smartphone,770.0,679.51,282.6,34890.18,4.6
2020,9,Thailand,Home Appliances,Dryer,489.0,722.47,731.89,49663.11,3.2
